keV,response
0.000,1.73500000E-004
1.000,3.79500000E-004
2.000,3.46500000E-004
3.000,3.46000000E-004
4.000,3.30000000E-004
5.000,3.70500000E-004
6.000,3.43000000E-004
7.000,3.33000000E-004
8.000,3.58000000E-004
9.000,3.75500000E-004
10.000,3.80500000E-004
11.000,3.23000000E-004
12.000,2.29500000E-004
13.000,2.01000000E-004
14.000,1.75000000E-004
15.000,1.64500000E-004
16.000,1.53500000E-004
17.000,1.39000000E-004
18.000,1.29500000E-004
19.000,1.08500000E-004
20.000,1.08000000E-004
21.000,1.17000000E-004
22.000,9.40000000E-005
23.000,8.35000000E-005
24.000,7.85000000E-005
25.000,7.85000000E-005
26.000,9.75000000E-005
27.000,1.85475000E-002
28.000,1.19500000E-004
29.000,2.18500000E-004
30.000,2.05500000E-004
31.000,6.87615000E-002
32.000,2.88000000E-004
33.000,3.25500000E-004
34.000,2.55000000E-004
35.000,1.99500000E-004
36.000,1.65500000E-004
37.000,1.76000000E-004
38.000,1.73000000E-004
39.000,1.43500000E-004
40.000,1.42500000E-004
41.000,1.62000000E-004
42.000,1.26500000E-004
43.000,1.35000000E-004
44.000,1.18500000E-004
45.000,9.80000000E-005
46.000,9.65000000E-005
47.000,1.26000000E-004
48.000,9.45000000E-005
49.000,1.06500000E-004
50.000,8.90000000E-005
51.000,7.85000000E-005
52.000,7.65000000E-005
53.000,6.60000000E-005
54.000,5.80000000E-005
55.000,2.29500000E-004
56.000,2.04500000E-004
57.000,2.90000000E-005
58.000,3.50000000E-005
59.000,1.40000000E-005
60.000,4.00954500E-001
