keV,response
0.000,5.25000000E-006
1.000,9.25000000E-006
2.000,1.05000000E-005
3.000,1.20000000E-005
4.000,1.57500000E-005
5.000,1.55000000E-005
6.000,1.82500000E-005
7.000,1.42500000E-005
8.000,2.52500000E-005
9.000,2.25000000E-005
10.000,2.42500000E-005
11.000,2.10000000E-005
12.000,2.40000000E-005
13.000,2.60000000E-005
14.000,3.20000000E-005
15.000,2.87500000E-005
16.000,4.15000000E-005
17.000,5.27500000E-005
18.000,7.27500000E-005
19.000,8.85000000E-005
20.000,9.67500000E-005
21.000,1.09250000E-004
22.000,1.27000000E-004
23.000,1.13000000E-004
24.000,4.41500000E-004
25.000,1.14250000E-004
26.000,1.24250000E-004
27.000,6.69000000E-004
28.000,1.25250000E-004
29.000,2.31125000E-003
30.000,7.80000000E-005
31.000,1.94000000E-003
32.000,1.70000000E-005
33.000,1.25000000E-005
34.000,1.60000000E-005
35.000,1.00000000E-005
36.000,1.12500000E-005
37.000,1.32500000E-005
38.000,1.60000000E-005
39.000,2.15000000E-005
40.000,2.05000000E-005
41.000,2.80000000E-005
42.000,4.05000000E-005
43.000,5.10000000E-005
44.000,6.07500000E-005
45.000,8.17500000E-005
46.000,1.02500000E-004
47.000,1.17750000E-004
48.000,2.15250000E-004
49.000,3.51000000E-004
50.000,4.45250000E-004
51.000,4.86750000E-004
52.000,5.01250000E-004
53.000,5.17250000E-004
54.000,5.56750000E-004
55.000,6.09750000E-004
56.000,7.31250000E-004
57.000,8.44750000E-004
58.000,8.97500000E-004
59.000,8.85000000E-004
60.000,2.95841689E-002
