keV,response
0.000,4.25000000E-006
1.000,1.07500000E-005
2.000,1.07500000E-005
3.000,1.20000000E-005
4.000,1.32500000E-005
5.000,1.50000000E-005
6.000,1.75000000E-005
7.000,1.70000000E-005
8.000,2.30000000E-005
9.000,2.60000000E-005
10.000,2.20000000E-005
11.000,2.30000000E-005
12.000,2.42500000E-005
13.000,2.50000000E-005
14.000,3.20000000E-005
15.000,2.65000000E-005
16.000,4.25000000E-005
17.000,5.37500000E-005
18.000,6.75000000E-005
19.000,8.72500000E-005
20.000,1.01000000E-004
21.000,1.13500000E-004
22.000,1.17750000E-004
23.000,1.11250000E-004
24.000,4.33000000E-004
25.000,1.26000000E-004
26.000,1.22250000E-004
27.000,6.59250000E-004
28.000,1.25500000E-004
29.000,2.32025000E-003
30.000,7.75000000E-005
31.000,1.89425000E-003
32.000,1.50000000E-005
33.000,1.32500000E-005
34.000,1.25000000E-005
35.000,1.05000000E-005
36.000,9.50000000E-006
37.000,1.47500000E-005
38.000,1.70000000E-005
39.000,2.12500000E-005
40.000,2.20000000E-005
41.000,2.55000000E-005
42.000,3.65000000E-005
43.000,5.70000000E-005
44.000,6.47500000E-005
45.000,7.65000000E-005
46.000,9.62500000E-005
47.000,1.22250000E-004
48.000,2.15250000E-004
49.000,3.60500000E-004
50.000,4.54250000E-004
51.000,5.01750000E-004
52.000,4.89250000E-004
53.000,5.18750000E-004
54.000,5.42500000E-004
55.000,6.10000000E-004
56.000,7.08000000E-004
57.000,8.43500000E-004
58.000,8.93500000E-004
59.000,8.88750000E-004
60.000,2.95939752E-002
