keV,response
0.000,9.25000000E-006
1.000,3.25000000E-005
2.000,3.72500000E-005
3.000,4.42500000E-005
4.000,5.50000000E-005
5.000,6.00000000E-005
6.000,7.35000000E-005
7.000,6.80000000E-005
8.000,7.65000000E-005
9.000,9.12500000E-005
10.000,1.13750000E-004
11.000,3.82250000E-004
12.000,1.09500000E-004
13.000,4.87000000E-004
14.000,3.72500000E-005
15.000,9.10000000E-005
16.000,4.30000000E-005
17.000,4.20000000E-005
18.000,4.05000000E-005
19.000,4.67500000E-005
20.000,4.52500000E-005
21.000,4.67500000E-005
22.000,4.67500000E-005
23.000,5.40000000E-005
24.000,5.50000000E-005
25.000,5.77500000E-005
26.000,7.10000000E-005
27.000,4.50125000E-003
28.000,7.70000000E-005
29.000,8.00000000E-005
30.000,8.90000000E-005
31.000,1.57230000E-002
32.000,1.00500000E-004
33.000,9.35000000E-005
34.000,8.72500000E-005
35.000,6.57500000E-005
36.000,6.47500000E-005
37.000,8.40000000E-005
38.000,5.85000000E-005
39.000,6.80000000E-005
40.000,8.60000000E-005
41.000,1.34250000E-004
42.000,1.01750000E-004
43.000,7.72500000E-005
44.000,1.89750000E-004
45.000,6.72500000E-005
46.000,7.35000000E-005
47.000,6.15000000E-005
48.000,5.95000000E-005
49.000,7.62500000E-005
50.000,8.02500000E-005
51.000,8.80000000E-005
52.000,8.57500000E-005
53.000,8.02500000E-005
54.000,9.00000000E-005
55.000,1.36750000E-004
56.000,1.47500000E-004
57.000,1.30750000E-004
58.000,1.59250000E-004
59.000,1.44500000E-004
60.000,1.28705730E-001
