keV,response
0.000,1.15000000E-005
1.000,3.07500000E-005
2.000,4.20000000E-005
3.000,4.90000000E-005
4.000,4.90000000E-005
5.000,6.15000000E-005
6.000,6.92500000E-005
7.000,6.87500000E-005
8.000,8.30000000E-005
9.000,8.70000000E-005
10.000,9.60000000E-005
11.000,9.45000000E-005
12.000,6.75000000E-005
13.000,5.52500000E-005
14.000,5.72500000E-005
15.000,4.90000000E-005
16.000,5.42500000E-005
17.000,5.90000000E-005
18.000,5.40000000E-005
19.000,5.85000000E-005
20.000,5.60000000E-005
21.000,5.45000000E-005
22.000,6.80000000E-005
23.000,6.07500000E-005
24.000,6.40000000E-005
25.000,6.70000000E-005
26.000,7.12500000E-005
27.000,4.55375000E-003
28.000,8.52500000E-005
29.000,9.47500000E-005
30.000,9.82500000E-005
31.000,1.60775000E-002
32.000,1.14500000E-004
33.000,1.02500000E-004
34.000,9.17500000E-005
35.000,8.25000000E-005
36.000,7.57500000E-005
37.000,7.60000000E-005
38.000,7.62500000E-005
39.000,8.12500000E-005
40.000,7.00000000E-005
41.000,7.05000000E-005
42.000,7.52500000E-005
43.000,7.62500000E-005
44.000,7.70000000E-005
45.000,7.17500000E-005
46.000,7.12500000E-005
47.000,7.42500000E-005
48.000,7.25000000E-005
49.000,7.90000000E-005
50.000,8.32500000E-005
51.000,8.55000000E-005
52.000,9.57500000E-005
53.000,9.75000000E-005
54.000,8.65000000E-005
55.000,1.04000000E-004
56.000,1.28750000E-004
57.000,1.22500000E-004
58.000,1.60250000E-004
59.000,1.35750000E-004
60.000,1.28605270E-001
