keV,response
0.000,9.00000000E-006
1.000,3.27500000E-005
2.000,3.60000000E-005
3.000,4.37500000E-005
4.000,5.32500000E-005
5.000,5.25000000E-005
6.000,6.57500000E-005
7.000,8.12500000E-005
8.000,8.22500000E-005
9.000,8.67500000E-005
10.000,1.04250000E-004
11.000,2.30000000E-004
12.000,1.10000000E-004
13.000,4.52750000E-004
14.000,4.32500000E-005
15.000,9.17500000E-005
16.000,3.97500000E-005
17.000,4.85000000E-005
18.000,4.60000000E-005
19.000,4.87500000E-005
20.000,5.40000000E-005
21.000,5.12500000E-005
22.000,5.67500000E-005
23.000,5.75000000E-005
24.000,5.62500000E-005
25.000,6.42500000E-005
26.000,7.10000000E-005
27.000,4.52100000E-003
28.000,8.27500000E-005
29.000,8.20000000E-005
30.000,9.25000000E-005
31.000,1.58140000E-002
32.000,1.08250000E-004
33.000,9.25000000E-005
34.000,8.30000000E-005
35.000,6.17500000E-005
36.000,7.50000000E-005
37.000,8.07500000E-005
38.000,6.80000000E-005
39.000,7.45000000E-005
40.000,9.12500000E-005
41.000,1.12000000E-004
42.000,9.45000000E-005
43.000,7.70000000E-005
44.000,1.75250000E-004
45.000,6.50000000E-005
46.000,7.70000000E-005
47.000,6.47500000E-005
48.000,6.42500000E-005
49.000,7.27500000E-005
50.000,7.20000000E-005
51.000,8.30000000E-005
52.000,8.60000000E-005
53.000,8.12500000E-005
54.000,9.27500000E-005
55.000,1.30500000E-004
56.000,1.46750000E-004
57.000,1.30750000E-004
58.000,1.49000000E-004
59.000,1.49250000E-004
60.000,1.28699170E-001
