keV,response
0.000,4.65000000E-005
1.000,1.39750000E-004
2.000,1.43750000E-004
3.000,1.45750000E-004
4.000,1.54000000E-004
5.000,1.82500000E-004
6.000,1.93500000E-004
7.000,1.87000000E-004
8.000,2.09750000E-004
9.000,2.46500000E-004
10.000,2.43500000E-004
11.000,2.02250000E-004
12.000,1.38000000E-004
13.000,9.80000000E-005
14.000,8.17500000E-005
15.000,7.67500000E-005
16.000,6.55000000E-005
17.000,6.15000000E-005
18.000,6.85000000E-005
19.000,4.85000000E-005
20.000,5.47500000E-005
21.000,4.82500000E-005
22.000,4.17500000E-005
23.000,3.70000000E-005
24.000,3.80000000E-005
25.000,4.07500000E-005
26.000,4.95000000E-005
27.000,1.49455000E-002
28.000,7.75000000E-005
29.000,1.03000000E-004
30.000,9.65000000E-005
31.000,5.42655000E-002
32.000,2.06750000E-004
33.000,1.90750000E-004
34.000,1.32000000E-004
35.000,9.52500000E-005
36.000,8.37500000E-005
37.000,8.50000000E-005
38.000,7.35000000E-005
39.000,7.07500000E-005
40.000,6.72500000E-005
41.000,6.27500000E-005
42.000,6.22500000E-005
43.000,5.65000000E-005
44.000,6.30000000E-005
45.000,5.40000000E-005
46.000,5.90000000E-005
47.000,5.60000000E-005
48.000,4.35000000E-005
49.000,4.85000000E-005
50.000,4.77500000E-005
51.000,3.87500000E-005
52.000,3.50000000E-005
53.000,3.15000000E-005
54.000,3.17500000E-005
55.000,1.23250000E-004
56.000,1.09250000E-004
57.000,1.60000000E-005
58.000,1.67500000E-005
59.000,8.00000000E-006
60.000,3.62184500E-001
