keV,response
0.000,8.40000000E-006
1.000,1.97000000E-005
2.000,2.01000000E-005
3.000,1.94000000E-005
4.000,1.83000000E-005
5.000,2.42000000E-005
6.000,2.81000000E-005
7.000,2.94000000E-005
8.000,3.07000000E-005
9.000,3.69000000E-005
10.000,4.16000000E-005
11.000,3.73000000E-005
12.000,2.38000000E-005
13.000,1.69000000E-005
14.000,1.21000000E-005
15.000,1.26000000E-005
16.000,1.32000000E-005
17.000,1.08000000E-005
18.000,9.60000000E-006
19.000,8.20000000E-006
20.000,8.50000000E-006
21.000,6.80000000E-006
22.000,6.30000000E-006
23.000,6.90000000E-006
24.000,8.65000000E-004
25.000,8.20000000E-006
26.000,1.00000000E-005
27.000,1.55950000E-003
28.000,9.50000000E-006
29.000,6.37230000E-003
30.000,2.12000000E-005
31.000,5.29460000E-003
32.000,3.13000000E-005
33.000,2.49000000E-005
34.000,2.18000000E-005
35.000,1.22000000E-005
36.000,1.57000000E-005
37.000,1.51000000E-005
38.000,1.58000000E-005
39.000,1.45000000E-005
40.000,1.30000000E-005
41.000,1.27000000E-005
42.000,1.17000000E-005
43.000,9.20000000E-006
44.000,1.28000000E-005
45.000,1.01000000E-005
46.000,8.50000000E-006
47.000,1.12000000E-005
48.000,9.20000000E-006
49.000,8.80000000E-006
50.000,7.80000000E-006
51.000,7.00000000E-006
52.000,6.40000000E-006
53.000,7.50000000E-006
54.000,5.50000000E-006
55.000,2.49000000E-005
56.000,1.02000000E-005
57.000,3.50000000E-006
58.000,3.50000000E-006
59.000,2.00000000E-006
60.000,8.54094800E-002
