keV,response
0.000,5.20000000E-006
1.000,8.20000000E-006
2.000,4.60000000E-006
3.000,4.80000000E-006
4.000,6.00000000E-006
5.000,7.60000000E-006
6.000,7.90000000E-006
7.000,6.80000000E-006
8.000,8.00000000E-006
9.000,6.80000000E-006
10.000,6.10000000E-006
11.000,6.60000000E-006
12.000,6.00000000E-006
13.000,6.30000000E-006
14.000,8.00000000E-006
15.000,6.90000000E-006
16.000,6.10000000E-006
17.000,6.40000000E-006
18.000,5.00000000E-006
19.000,5.90000000E-006
20.000,6.40000000E-006
21.000,8.80000000E-006
22.000,6.70000000E-006
23.000,7.20000000E-006
24.000,5.50000000E-006
25.000,7.70000000E-006
26.000,7.80000000E-006
27.000,6.10000000E-006
28.000,7.80000000E-006
29.000,6.80000000E-006
30.000,6.10000000E-006
31.000,7.50000000E-006
32.000,5.70000000E-006
33.000,7.60000000E-006
34.000,7.10000000E-006
35.000,7.80000000E-006
36.000,7.00000000E-006
37.000,5.90000000E-006
38.000,7.30000000E-006
39.000,6.80000000E-006
40.000,6.70000000E-006
41.000,7.10000000E-006
42.000,7.00000000E-006
43.000,6.40000000E-006
44.000,7.70000000E-006
45.000,5.20000000E-006
46.000,5.50000000E-006
47.000,6.50000000E-006
48.000,6.70000000E-006
49.000,7.50000000E-006
50.000,5.90000000E-006
51.000,6.60000000E-006
52.000,7.20000000E-006
53.000,7.50000000E-006
54.000,7.10000000E-006
55.000,5.60000000E-006
56.000,6.40000000E-006
57.000,6.20000000E-006
58.000,7.90000000E-006
59.000,4.80000000E-006
60.000,6.20000000E-006
61.000,6.80000000E-006
62.000,6.00000000E-006
63.000,5.80000000E-006
64.000,7.40000000E-006
65.000,6.90000000E-006
66.000,6.70000000E-006
67.000,7.70000000E-006
68.000,6.60000000E-006
69.000,7.70000000E-006
70.000,7.30000000E-006
71.000,6.40000000E-006
72.000,6.60000000E-006
73.000,7.70000000E-006
74.000,7.90000000E-006
75.000,4.90000000E-006
76.000,7.70000000E-006
77.000,7.00000000E-006
78.000,7.60000000E-006
79.000,6.60000000E-006
80.000,6.30000000E-006
81.000,7.00000000E-006
82.000,7.70000000E-006
83.000,7.50000000E-006
84.000,6.80000000E-006
85.000,9.10000000E-006
86.000,5.10000000E-006
87.000,6.40000000E-006
88.000,6.50000000E-006
89.000,6.50000000E-006
90.000,6.60000000E-006
91.000,6.50000000E-006
92.000,7.20000000E-006
93.000,6.70000000E-006
94.000,7.60000000E-006
95.000,8.10000000E-006
96.000,7.70000000E-006
97.000,5.50000000E-006
98.000,6.20000000E-006
99.000,7.20000000E-006
100.000,6.30000000E-006
101.000,8.70000000E-006
102.000,6.60000000E-006
103.000,6.10000000E-006
104.000,7.50000000E-006
105.000,5.40000000E-006
106.000,7.70000000E-006
107.000,5.30000000E-006
108.000,7.70000000E-006
109.000,6.00000000E-006
110.000,6.90000000E-006
111.000,6.00000000E-006
112.000,6.30000000E-006
113.000,6.40000000E-006
114.000,7.00000000E-006
115.000,6.50000000E-006
116.000,5.30000000E-006
117.000,7.00000000E-006
118.000,5.90000000E-006
119.000,8.30000000E-006
120.000,7.60000000E-006
121.000,6.20000000E-006
122.000,9.00000000E-006
123.000,7.30000000E-006
124.000,7.00000000E-006
125.000,6.90000000E-006
126.000,5.70000000E-006
127.000,7.50000000E-006
128.000,6.60000000E-006
129.000,5.60000000E-006
130.000,8.90000000E-006
131.000,6.60000000E-006
132.000,6.40000000E-006
133.000,5.90000000E-006
134.000,5.60000000E-006
135.000,6.30000000E-006
136.000,6.90000000E-006
137.000,6.10000000E-006
138.000,7.10000000E-006
139.000,5.80000000E-006
140.000,7.40000000E-006
141.000,7.20000000E-006
142.000,6.60000000E-006
143.000,7.40000000E-006
144.000,5.90000000E-006
145.000,5.90000000E-006
146.000,7.00000000E-006
147.000,7.70000000E-006
148.000,6.80000000E-006
149.000,6.50000000E-006
150.000,6.90000000E-006
151.000,6.50000000E-006
152.000,7.70000000E-006
153.000,6.40000000E-006
154.000,7.20000000E-006
155.000,7.20000000E-006
156.000,6.10000000E-006
157.000,6.50000000E-006
158.000,7.20000000E-006
159.000,6.40000000E-006
160.000,5.90000000E-006
161.000,6.40000000E-006
162.000,7.80000000E-006
163.000,8.40000000E-006
164.000,6.40000000E-006
165.000,5.40000000E-006
166.000,7.20000000E-006
167.000,6.70000000E-006
168.000,7.60000000E-006
169.000,8.00000000E-006
170.000,7.70000000E-006
171.000,5.90000000E-006
172.000,5.90000000E-006
173.000,6.40000000E-006
174.000,7.00000000E-006
175.000,6.90000000E-006
176.000,6.40000000E-006
177.000,5.90000000E-006
178.000,5.70000000E-006
179.000,7.00000000E-006
180.000,6.20000000E-006
181.000,5.90000000E-006
182.000,6.00000000E-006
183.000,7.30000000E-006
184.000,5.90000000E-006
185.000,6.00000000E-006
186.000,6.70000000E-006
187.000,8.00000000E-006
188.000,7.20000000E-006
189.000,6.70000000E-006
190.000,7.00000000E-006
191.000,6.10000000E-006
192.000,6.60000000E-006
193.000,6.30000000E-006
194.000,6.00000000E-006
195.000,7.40000000E-006
196.000,7.30000000E-006
197.000,5.40000000E-006
198.000,7.70000000E-006
199.000,6.40000000E-006
200.000,5.90000000E-006
201.000,5.90000000E-006
202.000,7.20000000E-006
203.000,6.90000000E-006
204.000,7.60000000E-006
205.000,7.30000000E-006
206.000,6.30000000E-006
207.000,8.00000000E-006
208.000,6.30000000E-006
209.000,7.50000000E-006
210.000,7.70000000E-006
211.000,6.10000000E-006
212.000,7.50000000E-006
213.000,5.60000000E-006
214.000,6.40000000E-006
215.000,7.10000000E-006
216.000,8.30000000E-006
217.000,6.20000000E-006
218.000,7.50000000E-006
219.000,6.30000000E-006
220.000,7.70000000E-006
221.000,6.90000000E-006
222.000,6.40000000E-006
223.000,5.60000000E-006
224.000,6.10000000E-006
225.000,6.20000000E-006
226.000,8.20000000E-006
227.000,6.70000000E-006
228.000,6.50000000E-006
229.000,6.70000000E-006
230.000,6.10000000E-006
231.000,5.40000000E-006
232.000,7.10000000E-006
233.000,7.10000000E-006
234.000,6.90000000E-006
235.000,7.20000000E-006
236.000,6.20000000E-006
237.000,6.30000000E-006
238.000,6.50000000E-006
239.000,7.00000000E-006
240.000,5.20000000E-006
241.000,6.80000000E-006
242.000,6.20000000E-006
243.000,6.40000000E-006
244.000,4.80000000E-006
245.000,7.70000000E-006
246.000,6.10000000E-006
247.000,5.80000000E-006
248.000,6.10000000E-006
249.000,6.50000000E-006
250.000,7.50000000E-006
251.000,7.10000000E-006
252.000,7.20000000E-006
253.000,5.60000000E-006
254.000,6.60000000E-006
255.000,4.80000000E-006
256.000,6.90000000E-006
257.000,6.20000000E-006
258.000,7.40000000E-006
259.000,8.20000000E-006
260.000,7.20000000E-006
261.000,7.40000000E-006
262.000,8.00000000E-006
263.000,6.30000000E-006
264.000,6.20000000E-006
265.000,6.20000000E-006
266.000,6.10000000E-006
267.000,8.40000000E-006
268.000,5.30000000E-006
269.000,6.70000000E-006
270.000,5.80000000E-006
271.000,6.20000000E-006
272.000,6.50000000E-006
273.000,7.20000000E-006
274.000,5.20000000E-006
275.000,7.20000000E-006
276.000,6.20000000E-006
277.000,6.30000000E-006
278.000,7.50000000E-006
279.000,7.10000000E-006
280.000,7.00000000E-006
281.000,7.70000000E-006
282.000,7.10000000E-006
283.000,6.20000000E-006
284.000,5.90000000E-006
285.000,6.70000000E-006
286.000,7.40000000E-006
287.000,6.60000000E-006
288.000,6.90000000E-006
289.000,6.50000000E-006
290.000,5.70000000E-006
291.000,7.90000000E-006
292.000,6.00000000E-006
293.000,6.80000000E-006
294.000,7.00000000E-006
295.000,7.20000000E-006
296.000,7.10000000E-006
297.000,6.80000000E-006
298.000,7.10000000E-006
299.000,6.50000000E-006
300.000,6.00000000E-006
301.000,6.70000000E-006
302.000,6.50000000E-006
303.000,8.20000000E-006
304.000,5.90000000E-006
305.000,5.80000000E-006
306.000,5.80000000E-006
307.000,7.10000000E-006
308.000,7.00000000E-006
309.000,7.00000000E-006
310.000,7.40000000E-006
311.000,6.50000000E-006
312.000,7.00000000E-006
313.000,7.40000000E-006
314.000,6.20000000E-006
315.000,6.80000000E-006
316.000,5.60000000E-006
317.000,6.80000000E-006
318.000,7.60000000E-006
319.000,6.40000000E-006
320.000,6.50000000E-006
321.000,5.70000000E-006
322.000,7.50000000E-006
323.000,7.00000000E-006
324.000,5.80000000E-006
325.000,6.70000000E-006
326.000,6.60000000E-006
327.000,7.10000000E-006
328.000,8.20000000E-006
329.000,9.30000000E-006
330.000,6.80000000E-006
331.000,6.40000000E-006
332.000,7.50000000E-006
333.000,5.70000000E-006
334.000,6.70000000E-006
335.000,7.40000000E-006
336.000,5.80000000E-006
337.000,6.30000000E-006
338.000,7.50000000E-006
339.000,6.10000000E-006
340.000,8.00000000E-006
341.000,6.10000000E-006
342.000,6.30000000E-006
343.000,6.50000000E-006
344.000,8.10000000E-006
345.000,7.10000000E-006
346.000,7.00000000E-006
347.000,7.00000000E-006
348.000,6.10000000E-006
349.000,6.60000000E-006
350.000,7.00000000E-006
351.000,6.10000000E-006
352.000,7.90000000E-006
353.000,6.40000000E-006
354.000,7.10000000E-006
355.000,8.00000000E-006
356.000,6.20000000E-006
357.000,5.40000000E-006
358.000,6.00000000E-006
359.000,6.70000000E-006
360.000,7.70000000E-006
361.000,8.10000000E-006
362.000,7.70000000E-006
363.000,8.10000000E-006
364.000,6.50000000E-006
365.000,6.90000000E-006
366.000,6.10000000E-006
367.000,7.60000000E-006
368.000,6.20000000E-006
369.000,5.20000000E-006
370.000,7.20000000E-006
371.000,6.60000000E-006
372.000,7.30000000E-006
373.000,5.90000000E-006
374.000,6.30000000E-006
375.000,7.50000000E-006
376.000,6.60000000E-006
377.000,6.60000000E-006
378.000,6.80000000E-006
379.000,5.50000000E-006
380.000,6.40000000E-006
381.000,6.90000000E-006
382.000,7.20000000E-006
383.000,8.20000000E-006
384.000,6.80000000E-006
385.000,5.30000000E-006
386.000,5.90000000E-006
387.000,7.40000000E-006
388.000,7.00000000E-006
389.000,6.30000000E-006
390.000,8.10000000E-006
391.000,6.80000000E-006
392.000,6.30000000E-006
393.000,6.30000000E-006
394.000,7.00000000E-006
395.000,6.30000000E-006
396.000,7.00000000E-006
397.000,6.30000000E-006
398.000,6.20000000E-006
399.000,6.60000000E-006
400.000,7.20000000E-006
401.000,6.30000000E-006
402.000,6.80000000E-006
403.000,5.30000000E-006
404.000,6.70000000E-006
405.000,6.60000000E-006
406.000,7.00000000E-006
407.000,6.40000000E-006
408.000,6.70000000E-006
409.000,5.50000000E-006
410.000,6.40000000E-006
411.000,6.10000000E-006
412.000,7.60000000E-006
413.000,5.90000000E-006
414.000,6.30000000E-006
415.000,7.00000000E-006
416.000,8.20000000E-006
417.000,6.50000000E-006
418.000,5.10000000E-006
419.000,6.20000000E-006
420.000,8.30000000E-006
421.000,6.30000000E-006
422.000,7.70000000E-006
423.000,6.50000000E-006
424.000,7.60000000E-006
425.000,5.10000000E-006
426.000,6.40000000E-006
427.000,7.20000000E-006
428.000,6.50000000E-006
429.000,5.80000000E-006
430.000,6.80000000E-006
431.000,6.10000000E-006
432.000,6.50000000E-006
433.000,6.10000000E-006
434.000,6.50000000E-006
435.000,7.00000000E-006
436.000,5.70000000E-006
437.000,6.60000000E-006
438.000,6.20000000E-006
439.000,1.21400000E-004
440.000,6.20000000E-006
441.000,8.20000000E-006
442.000,7.00000000E-006
443.000,5.60000000E-006
444.000,6.90000000E-006
445.000,7.70000000E-006
446.000,6.60000000E-006
447.000,7.30000000E-006
448.000,6.90000000E-006
449.000,6.90000000E-006
450.000,6.10000000E-006
451.000,7.30000000E-006
452.000,7.90000000E-006
453.000,5.50000000E-006
454.000,7.00000000E-006
455.000,7.50000000E-006
456.000,7.00000000E-006
457.000,6.90000000E-006
458.000,7.10000000E-006
459.000,7.90000000E-006
460.000,6.50000000E-006
461.000,5.60000000E-006
462.000,8.30000000E-006
463.000,6.30000000E-006
464.000,7.50000000E-006
465.000,6.70000000E-006
466.000,6.70000000E-006
467.000,7.20000000E-006
468.000,6.80000000E-006
469.000,5.40000000E-006
470.000,5.90000000E-006
471.000,6.20000000E-006
472.000,6.30000000E-006
473.000,7.30000000E-006
474.000,6.70000000E-006
475.000,8.30000000E-006
476.000,6.50000000E-006
477.000,5.90000000E-006
478.000,7.50000000E-006
479.000,7.80000000E-006
480.000,6.10000000E-006
481.000,7.30000000E-006
482.000,6.40000000E-006
483.000,6.80000000E-006
484.000,6.90000000E-006
485.000,6.50000000E-006
486.000,5.60000000E-006
487.000,7.00000000E-006
488.000,6.90000000E-006
489.000,6.60000000E-006
490.000,8.10000000E-006
491.000,7.10000000E-006
492.000,6.80000000E-006
493.000,6.40000000E-006
494.000,6.30000000E-006
495.000,6.60000000E-006
496.000,6.10000000E-006
497.000,7.00000000E-006
498.000,7.20000000E-006
499.000,6.70000000E-006
500.000,5.80000000E-006
501.000,7.70000000E-006
502.000,7.40000000E-006
503.000,7.30000000E-006
504.000,7.80000000E-006
505.000,6.10000000E-006
506.000,7.50000000E-006
507.000,7.50000000E-006
508.000,7.20000000E-006
509.000,7.40000000E-006
510.000,5.70000000E-006
511.000,6.10000000E-006
512.000,7.60000000E-006
513.000,6.50000000E-006
514.000,5.70000000E-006
515.000,6.40000000E-006
516.000,6.00000000E-006
517.000,6.10000000E-006
518.000,6.90000000E-006
519.000,6.40000000E-006
520.000,6.80000000E-006
