keV,response
0.000,1.68000000E-005
1.000,4.26000000E-005
2.000,4.52000000E-005
3.000,5.07000000E-005
4.000,5.01000000E-005
5.000,5.21000000E-005
6.000,5.54000000E-005
7.000,6.13000000E-005
8.000,6.65000000E-005
9.000,6.35000000E-005
10.000,6.68000000E-005
11.000,6.32000000E-005
12.000,4.09000000E-005
13.000,3.06000000E-005
14.000,2.48000000E-005
15.000,1.89000000E-005
16.000,1.80000000E-005
17.000,1.44000000E-005
18.000,1.48000000E-005
19.000,1.21000000E-005
20.000,1.20000000E-005
21.000,1.05000000E-005
22.000,9.10000000E-006
23.000,8.20000000E-006
24.000,1.36170000E-003
25.000,1.09000000E-005
26.000,8.30000000E-006
27.000,2.39580000E-003
28.000,1.65000000E-005
29.000,9.95970000E-003
30.000,4.41000000E-005
31.000,8.32080000E-003
32.000,5.96000000E-005
33.000,5.13000000E-005
34.000,3.49000000E-005
35.000,3.30000000E-005
36.000,2.68000000E-005
37.000,2.26000000E-005
38.000,1.96000000E-005
39.000,2.02000000E-005
40.000,1.41000000E-005
41.000,1.51000000E-005
42.000,1.32000000E-005
43.000,1.51000000E-005
44.000,9.30000000E-006
45.000,9.10000000E-006
46.000,6.90000000E-006
47.000,6.40000000E-006
48.000,5.60000000E-006
49.000,5.10000000E-006
50.000,4.40000000E-006
51.000,4.10000000E-006
52.000,2.90000000E-006
53.000,2.20000000E-006
54.000,3.50000000E-006
55.000,3.66000000E-005
56.000,1.01000000E-005
57.000,2.00000000E-007
58.000,3.00000000E-007
59.000,0.00000000E+000
60.000,1.36425975E-001
