RESULT decays=4000000
RESULT any=1745913 eps_total=4.364783e-01
RESULT window=59.541 counts=1447103 eps=3.617758e-01
HISTBEGIN bins=61 bin_kev=1.000000 decays=4000000
HIST 0 43
HIST 1 325
HIST 2 462
HIST 3 456
HIST 4 495
HIST 5 906
HIST 6 984
HIST 7 1024
HIST 8 1035
HIST 9 1050
HIST 10 1094
HIST 11 994
HIST 12 596
HIST 13 439
HIST 14 428
HIST 15 324
HIST 16 251
HIST 17 230
HIST 18 196
HIST 19 183
HIST 20 189
HIST 21 165
HIST 22 150
HIST 23 155
HIST 24 107
HIST 25 126
HIST 26 995
HIST 27 57089
HIST 28 241
HIST 29 243
HIST 30 219
HIST 31 219180
HIST 32 684
HIST 33 797
HIST 34 724
HIST 35 522
HIST 36 532
HIST 37 540
HIST 38 498
HIST 39 420
HIST 40 381
HIST 41 307
HIST 42 291
HIST 43 220
HIST 44 229
HIST 45 208
HIST 46 165
HIST 47 152
HIST 48 136
HIST 49 113
HIST 50 115
HIST 51 77
HIST 52 56
HIST 53 54
HIST 54 25
HIST 55 599
HIST 56 534
HIST 57 33
HIST 58 16
HIST 59 15
HIST 60 1447096
HISTEND
