ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
0,-7.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-7.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.040,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-6.704,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-6.368,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-6.032,0.000,0.004,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-5.697,0.000,0.007,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-5.361,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-5.025,0.000,0.016,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-4.689,0.000,0.026,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-4.353,0.000,0.040,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-4.017,0.000,0.063,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-3.682,0.000,0.098,0.000,0.000,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-3.346,0.000,0.154,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-3.010,0.000,0.241,0.000,0.000,0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-2.674,0.000,0.378,0.000,0.000,0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,-2.338,0.000,0.594,0.000,0.000,0.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,-2.002,0.000,0.933,0.000,0.000,0.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,-1.665,0.000,1.468,0.000,0.000,1.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,-1.329,0.000,2.312,0.000,0.000,2.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,-0.993,0.000,3.642,0.000,0.000,3.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,-0.657,0.000,5.662,0.000,0.000,5.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,-0.321,0.000,8.069,0.000,0.000,8.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0.015,0.000,10.112,0.000,0.000,10.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0.351,0.000,11.244,0.000,0.000,11.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0.688,0.000,11.349,0.000,0.000,11.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,1.024,0.000,10.871,0.000,0.000,10.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,1.360,0.000,10.480,0.000,0.000,10.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,1.696,0.000,10.393,0.000,0.000,10.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,2.033,0.000,10.565,0.000,0.000,10.564,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,2.369,0.000,10.749,0.000,0.000,10.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,2.705,0.000,10.771,0.000,0.000,10.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,3.042,0.000,10.684,0.000,0.000,10.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
33,3.378,0.000,10.562,0.000,0.000,10.561,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
34,3.715,0.000,10.465,0.000,0.000,10.463,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
35,4.051,0.000,10.438,0.000,0.000,10.435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
36,4.388,0.000,10.453,0.000,0.000,10.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003
37,4.724,0.000,10.488,0.000,0.000,10.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003
38,5.061,0.000,10.541,0.000,0.000,10.536,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.004
39,5.397,0.000,10.556,0.000,0.000,10.543,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.012
40,5.734,0.000,10.532,0.000,0.000,10.514,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.017
41,6.070,0.000,10.503,0.000,0.000,10.480,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.021
42,6.407,0.000,10.504,0.000,0.000,10.477,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.025
43,6.744,0.000,10.557,0.000,0.000,10.525,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.030
44,7.080,0.000,10.626,0.000,0.000,10.587,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.036
45,7.417,0.000,10.654,0.000,0.000,10.608,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.043
46,7.754,0.000,10.654,0.000,0.000,10.597,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.054
47,8.090,0.000,10.642,0.000,0.000,10.573,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.065
48,8.427,0.000,10.656,0.000,0.000,10.573,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.078
49,8.764,0.000,10.711,0.000,0.000,10.612,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.093
50,9.101,0.000,10.760,0.000,0.000,10.641,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.112
51,9.438,0.852,10.785,0.000,0.000,10.642,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.135
52,9.774,0.000,10.795,0.000,0.000,10.623,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.162
53,10.111,0.000,10.817,0.000,0.000,10.611,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.195
54,10.448,0.037,10.875,0.000,0.000,10.627,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.234
55,10.785,4.889,10.960,0.000,0.000,10.661,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.282
56,11.122,12.853,11.037,0.000,0.000,10.677,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.340
