key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,30.00,0,0,5.9983,4.85,249221972.4,17719913.3,17187683.5,11499056.0,5688627.6,0.0
AS80_Th232Medal,AS80x80,known,30.00,30.00,2.67,0,-15.23,30.00,0,0,10.1480,28.16,24666651.0,-530886.5,38361.1,0.0,38361.1,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,30.00,0,0,7.6734,8.56,45553353.9,531567.0,483290.3,483251.4,38.9,0.0
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,30.00,0,0,9.1548,52.41,7652685.9,-56187.7,57734.1,37797.2,19936.9,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,2.2448,10.53,4359770.1,198742.4,186780.6,184180.2,2600.3,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.3119,0.00,34951.8,1939.4,1802.9,1792.7,10.2,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,5.4520,86.65,771320.0,-53194.9,44.9,0.0,44.9,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,30.00,0,0,1.9534,41.81,94246.7,12984.5,12942.0,9670.9,3271.1,0.0
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,30.00,0,0,1.8683,13.80,379354.2,65808.7,68904.4,9176.3,59728.1,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,30.00,0,0,1.2318,19.22,16365.2,12884.7,12553.2,12553.2,0.0,0.0
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,30.00,0,0,1.2433,19.40,18116.3,1763.7,1749.6,1571.9,177.7,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,30.00,0,0,1.2471,2.62,430170.2,1321.8,1332.7,1332.7,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,30.00,0,0,1.3068,3.70,452832.7,13191.7,13940.5,2432.1,11508.4,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,30.00,0,0,3.1414,8.90,864447.8,19563.2,20529.3,6660.6,13868.7,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,30.00,0,0,1.1409,3.51,184435.3,2925.6,2911.3,2911.3,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,30.00,0,0,1.8178,3.45,1445830.2,17182.5,17202.0,17202.0,0.0,0.0
