ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
0,-6.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-6.131,0.000,0.000,58.643,58.643,49.743,7.941,0.800,0.159
2,-5.750,0.000,0.000,117.286,117.286,99.486,15.882,1.600,0.318
3,-5.370,0.000,0.000,175.929,175.929,149.229,23.824,2.400,0.476
4,-4.989,0.000,-0.716,234.572,234.572,198.972,31.765,3.200,0.635
5,-4.608,7.614,7.614,293.215,293.215,248.715,39.706,4.000,0.794
6,-4.228,0.859,0.859,351.858,351.858,298.458,47.647,4.800,0.953
7,-3.847,7.401,7.401,410.501,410.501,348.200,55.589,5.600,1.112
8,-3.467,27.757,27.757,469.144,469.144,397.943,63.530,6.400,1.270
9,-3.086,33.209,33.209,527.786,527.786,447.686,71.471,7.200,1.429
10,-2.705,88.196,88.196,586.429,586.429,497.429,79.412,8.000,1.588
11,-2.325,37.958,37.958,645.072,645.072,547.172,87.354,8.800,1.747
12,-1.944,81.784,81.784,703.715,703.715,596.915,95.295,9.600,1.906
13,-1.563,137.255,137.255,762.358,762.358,646.658,103.236,10.400,2.064
14,-1.183,217.810,217.810,821.001,821.001,696.401,111.177,11.200,2.223
15,-0.802,393.352,393.352,879.644,879.644,746.144,119.119,11.999,2.382
16,-0.421,598.288,598.288,938.287,938.287,795.887,127.060,12.799,2.541
17,-0.040,931.301,931.301,987.740,996.930,845.630,135.001,13.599,2.700
18,0.340,1290.546,1290.546,1032.228,1055.573,895.373,142.942,14.399,2.858
19,0.721,1637.398,1637.398,1090.870,1114.216,945.116,150.884,15.199,3.017
20,1.102,1982.030,1982.030,1149.513,1172.859,994.858,158.825,15.999,3.176
21,1.482,2535.042,2535.042,1208.155,1231.502,1044.601,166.766,16.799,3.335
22,1.863,3397.436,3397.436,1266.797,1290.145,1094.344,174.707,17.599,3.494
23,2.244,5557.682,5557.682,1325.440,1348.788,1144.087,182.649,18.399,3.652
24,2.625,9605.321,9605.321,1384.082,1407.431,1193.830,190.590,19.199,3.811
25,3.006,16667.909,16667.909,1442.724,1466.073,1243.573,198.531,19.999,3.970
26,3.386,27158.924,27158.924,1501.366,1524.716,1293.316,206.472,20.799,4.129
27,3.767,40101.307,40101.307,1560.009,1583.359,1343.059,214.414,21.599,4.288
28,4.148,54936.421,54936.421,1426.283,1642.002,1392.802,222.355,22.399,4.446
29,4.529,69996.000,69996.000,1460.871,1700.645,1442.545,230.296,23.199,4.605
