ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu,continuum
0,-8.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-8.538,0.000,0.000,0.069,0.069,0.068,0.001,0.000
2,-8.153,0.000,0.000,0.139,0.139,0.137,0.002,0.000
3,-7.768,0.000,0.000,0.208,0.208,0.205,0.003,0.000
4,-7.383,0.000,0.000,0.277,0.277,0.273,0.004,0.000
5,-6.998,0.000,-0.082,0.347,0.347,0.341,0.005,0.000
6,-6.613,0.000,-0.163,0.416,0.416,0.410,0.007,0.000
7,-6.228,0.000,-0.130,0.486,0.486,0.478,0.008,0.000
8,-5.843,0.000,-0.196,0.556,0.556,0.547,0.009,0.000
9,-5.458,0.000,-0.196,0.626,0.626,0.616,0.010,0.000
10,-5.073,0.000,-0.277,0.699,0.699,0.688,0.011,0.000
11,-4.687,0.000,-0.261,0.775,0.775,0.763,0.012,0.000
12,-4.302,0.000,-0.245,0.859,0.859,0.846,0.014,0.000
13,-3.917,0.592,0.592,0.958,0.958,0.943,0.015,0.000
14,-3.532,0.000,-0.408,1.081,1.081,1.064,0.017,0.000
15,-3.147,0.000,-0.310,1.241,1.241,1.222,0.020,0.000
16,-2.762,0.000,-0.571,1.454,1.454,1.431,0.023,0.000
17,-2.377,0.641,0.641,1.734,1.734,1.706,0.027,0.000
18,-1.992,0.000,-0.375,2.087,2.087,2.054,0.033,0.000
19,-1.607,0.000,-0.261,2.511,2.511,2.471,0.040,0.000
20,-1.222,0.000,-0.473,2.989,2.989,2.942,0.047,0.000
21,-0.837,0.674,0.674,3.495,3.495,3.440,0.055,0.000
22,-0.452,0.000,-0.391,3.994,3.994,3.931,0.063,0.000
23,-0.067,0.000,-0.440,4.454,4.454,4.384,0.070,0.000
24,0.318,0.413,0.413,4.856,4.856,4.780,0.076,0.000
25,0.703,1.332,1.332,5.194,5.194,5.112,0.082,0.000
26,1.088,6.957,6.957,5.475,5.475,5.389,0.086,0.000
27,1.473,2.288,2.288,5.716,5.716,5.626,0.090,0.000
28,1.858,8.701,8.701,5.934,5.934,5.841,0.093,0.000
29,2.243,11.441,11.441,6.141,6.141,6.044,0.097,0.000
30,2.628,8.691,8.691,6.342,6.342,6.242,0.100,0.000
31,3.013,11.511,11.511,6.538,6.538,6.435,0.103,0.000
32,3.398,12.185,12.185,6.726,6.726,6.620,0.106,0.000
33,3.784,13.664,13.664,6.902,6.902,6.793,0.109,0.000
34,4.169,15.533,15.533,7.064,7.064,6.952,0.111,0.000
35,4.554,18.946,18.946,7.210,7.210,7.096,0.114,0.000
