ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
0,-5.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-3.049,0.000,0.000,0.287,0.287,0.284,0.002,0.000
2,-0.203,0.000,0.000,0.574,0.574,0.569,0.005,0.000
3,2.643,0.000,0.000,0.860,0.860,0.853,0.007,0.000
4,5.491,0.000,0.000,1.147,1.147,1.138,0.009,0.000
5,8.338,1.700,1.700,1.440,1.434,1.428,0.012,0.000
6,11.187,9.100,9.100,2.421,1.721,2.407,0.014,0.000
7,14.036,53.433,53.433,15.585,2.008,15.568,0.017,0.000
8,16.887,184.533,184.533,144.621,75.295,143.999,0.623,0.000
9,19.737,403.933,403.933,356.627,148.582,355.398,1.229,0.000
10,22.589,1837.367,1837.367,1036.632,221.870,1034.795,1.837,0.000
11,25.441,7026.933,7026.933,5188.582,295.157,5186.128,2.454,0.000
12,28.294,16241.033,16241.033,18408.737,368.444,18405.602,3.135,0.000
13,31.148,22689.233,22689.233,29759.180,441.732,29755.063,4.117,0.000
14,34.003,20284.733,20284.733,21461.405,515.019,21455.725,5.681,0.000
15,36.858,10023.333,10023.333,9412.547,479.316,9406.463,6.084,0.000
16,39.714,4307.467,4307.467,3399.788,443.613,3393.770,6.018,0.000
17,42.570,1405.700,1405.700,1094.706,407.910,1089.044,5.662,0.000
18,45.428,386.567,386.567,574.654,372.206,569.459,5.195,0.000
19,48.286,277.233,277.233,469.607,336.503,464.903,4.704,0.000
20,51.145,331.100,331.100,381.865,300.800,377.656,4.209,0.000
21,54.004,349.200,349.200,298.566,265.097,294.854,3.712,0.000
22,56.865,361.967,361.967,238.156,229.394,234.943,3.213,0.000
23,59.726,374.267,374.267,195.076,193.690,192.363,2.713,0.000
24,62.587,364.633,364.633,253.213,253.087,249.668,3.545,0.000
25,65.450,383.700,383.700,312.490,312.483,308.113,4.377,0.000
26,68.313,376.533,376.533,371.880,371.880,366.671,5.209,0.000
27,71.177,379.267,379.267,431.277,431.277,425.235,6.041,0.000
28,74.041,431.033,431.033,490.675,490.673,483.801,6.873,0.000
29,76.906,498.267,498.267,550.085,550.070,542.379,7.706,0.000
30,79.772,450.067,450.067,609.573,609.466,601.032,8.541,0.000
31,82.639,459.600,459.600,669.440,668.863,660.053,9.387,0.000
32,85.506,520.533,520.533,730.667,728.259,720.389,10.278,0.000
33,88.374,538.367,538.367,795.486,787.656,784.187,11.299,0.000
34,91.243,608.033,608.033,867.225,847.052,854.613,12.612,0.000
35,94.113,679.500,679.500,948.472,906.449,934.035,14.437,0.000
36,96.983,856.167,856.167,1038.441,965.845,1021.487,16.954,0.000
37,99.854,1216.833,1216.833,1016.001,909.031,997.511,18.490,0.000
38,102.725,1646.667,1646.667,990.629,852.216,970.392,20.237,0.000
39,105.597,1957.733,1957.733,957.470,795.402,936.032,21.438,0.000
40,108.470,2262.467,2262.467,916.204,738.587,894.742,21.462,0.000
41,111.344,2187.867,2187.867,871.030,681.773,850.715,20.315,0.000
42,114.218,1993.000,1993.000,828.115,624.959,809.374,18.742,0.000
43,117.093,1700.433,1700.433,793.253,568.144,775.339,17.914,0.000
44,119.969,1329.533,1329.533,772.401,511.330,752.923,19.477,0.000
45,122.845,1225.033,1225.033,774.021,454.515,747.518,26.503,0.000
46,125.722,1175.233,1175.233,808.717,397.701,764.189,44.527,0.000
47,128.600,1162.300,1162.300,882.202,340.887,801.885,80.317,0.000
48,131.478,1248.500,1248.500,983.628,284.072,847.255,136.373,0.000
49,134.357,1207.600,1207.600,1079.568,227.258,876.102,203.466,0.000
50,137.237,1183.867,1183.867,1125.639,170.443,866.472,259.166,0.000
51,140.118,1056.300,1056.300,1095.845,113.629,817.204,278.641,0.000
52,142.999,936.333,936.333,1013.834,56.814,762.084,251.750,0.000
53,145.880,913.800,913.800,971.548,0.000,780.713,190.835,0.000
54,148.763,940.433,940.433,1196.244,0.000,1074.811,121.434,0.000
55,151.646,1286.833,1286.833,1887.712,0.000,1822.910,64.803,0.000
56,154.530,2516.867,2516.867,3360.511,0.000,3331.496,29.015,0.000
57,157.414,4993.267,4993.267,5853.695,0.000,5842.788,10.906,0.000
58,160.299,9477.933,9477.933,9279.522,0.000,9276.079,3.443,0.000
59,163.185,15052.533,15052.533,13005.648,0.000,13004.735,0.913,0.000
60,166.071,20056.533,20056.533,15933.886,0.000,15933.682,0.204,0.000
61,168.958,21761.900,21761.900,16985.031,0.000,16984.993,0.038,0.000
62,171.846,20112.700,20112.700,15722.195,0.000,15722.189,0.006,0.000
63,174.734,15060.967,15060.967,12628.197,0.000,12628.196,0.001,0.000
64,177.623,9229.167,9229.167,8800.723,0.000,8800.723,0.000,0.000
65,180.513,4921.267,4921.267,5324.532,0.000,5324.532,0.000,0.000
66,183.403,2176.533,2176.533,2802.748,0.000,2802.748,0.000,0.000
67,186.294,800.167,800.167,1296.210,0.000,1296.210,0.000,0.000
68,189.186,235.200,235.200,552.114,0.000,552.114,0.000,0.000
69,192.078,114.167,114.167,262.226,0.000,262.226,0.000,0.000
70,194.971,100.100,100.100,198.773,0.000,198.773,0.000,0.000
71,197.864,135.467,135.467,231.148,0.000,231.148,0.000,0.000
72,200.758,221.633,221.633,291.770,0.000,291.770,0.000,0.000
73,203.653,322.767,322.767,343.475,0.000,343.475,0.000,0.000
74,206.549,365.600,365.600,364.788,0.000,364.788,0.000,0.000
75,209.445,397.867,397.867,347.621,0.000,347.621,0.000,0.000
76,212.342,332.733,332.733,297.412,0.254,297.412,0.000,0.000
77,215.239,236.033,236.033,228.563,0.507,228.563,0.000,0.000
78,218.137,155.133,155.133,158.085,0.761,158.085,0.000,0.000
79,221.035,89.367,89.367,98.741,1.014,98.741,0.000,0.000
80,223.935,66.967,66.967,56.100,1.268,56.100,0.000,0.000
81,226.835,15.633,15.633,29.523,1.521,29.523,0.000,0.000
