ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI
0,-7.623,0.000,0.000,0.000,0.000,0.000,0.000
1,-4.781,0.000,0.000,0.232,0.232,0.231,0.001
2,-1.938,0.000,0.000,0.465,0.465,0.462,0.003
3,0.905,0.000,0.000,0.697,0.697,0.693,0.004
4,3.750,0.000,0.000,0.929,0.929,0.924,0.006
5,6.595,13.667,13.667,1.162,1.162,1.154,0.007
6,9.442,86.400,86.400,1.395,1.394,1.386,0.009
7,12.289,289.733,289.733,1.809,1.626,1.799,0.010
8,15.137,580.800,580.800,449.421,441.016,446.710,2.710
9,17.986,966.067,966.067,978.791,880.407,973.380,5.411
10,20.835,1610.000,1610.000,1718.801,1319.797,1710.689,8.112
11,23.686,2325.867,2325.867,2603.295,1759.187,2592.475,10.820
12,26.537,3934.801,3934.801,3729.085,2198.577,3715.544,13.541
13,29.389,9755.867,9755.867,7862.688,2637.968,7846.401,16.287
14,32.242,24318.001,24318.001,22853.016,3077.358,22833.856,19.160
15,35.096,42796.401,42796.401,46239.952,2851.515,46221.613,18.338
16,37.951,50561.934,50561.934,54022.013,2625.673,54003.811,18.202
17,40.807,39811.801,39811.801,38828.806,2399.831,38810.478,18.328
18,43.663,22152.534,22152.534,22633.984,2173.988,22616.091,17.893
19,46.520,12766.801,12766.801,12602.579,1948.146,12585.814,16.765
20,49.378,6142.868,6142.868,6046.304,1722.304,6031.121,15.183
21,52.237,2406.735,2406.735,3058.463,1496.461,3045.136,13.327
22,55.097,1592.468,1592.468,2126.230,1270.619,2114.845,11.384
23,57.957,1620.868,1620.868,1685.429,1044.777,1675.888,9.541
24,60.819,1530.069,1530.069,1646.825,1213.816,1635.146,11.678
25,63.681,1649.202,1649.202,1606.349,1382.855,1591.518,14.831
26,66.544,1796.936,1796.936,1635.329,1551.894,1615.917,19.412
27,69.407,2067.469,2067.469,1748.481,1720.933,1723.272,25.209
28,72.272,2106.469,2106.469,1907.657,1889.972,1875.682,31.975
29,75.137,2523.870,2523.870,2083.161,2059.011,2041.677,41.484
30,78.004,2619.070,2619.070,2274.642,2228.050,2213.017,61.625
31,80.871,2960.403,2960.403,2510.964,2397.089,2396.993,113.971
32,83.738,3208.536,3208.536,2849.320,2566.128,2614.951,234.370
33,86.607,3680.603,3680.603,3335.407,2735.167,2897.435,437.973
34,89.477,4076.736,4076.736,3918.870,2904.206,3260.834,658.036
35,92.347,4221.670,4221.670,4438.007,3073.245,3681.330,756.677
36,95.218,4330.603,4330.603,4511.529,2993.682,3857.664,653.866
37,98.090,4517.403,4517.403,4427.141,2914.119,4003.474,423.668
