ch,keV,net,fit,model,continuum_raw,Mn-54
0,-11.960,0.000,0.000,0.000,0.000,0.000
1,-9.113,0.000,0.000,0.000,0.000,0.000
2,-6.265,0.000,0.000,0.000,0.000,0.000
3,-3.416,0.000,0.000,0.020,0.020,0.020
4,-0.567,0.000,0.000,0.343,0.343,0.343
5,2.284,0.000,-0.667,1.011,1.011,1.011
6,5.135,11.200,11.200,0.925,0.925,0.925
7,7.987,36.367,36.367,1.063,1.063,1.063
8,10.840,98.400,98.400,78.483,78.483,78.483
9,13.694,219.033,219.033,155.976,155.976,155.976
10,16.548,367.500,367.500,233.686,233.686,233.686
11,19.404,497.433,497.433,311.295,311.295,311.295
12,22.260,627.400,627.400,388.924,388.924,388.924
13,25.117,561.933,561.933,466.512,466.512,466.512
14,27.975,507.000,507.000,544.016,544.016,544.016
15,30.834,421.200,421.200,533.194,533.194,533.194
16,33.694,423.967,423.967,522.415,522.415,522.415
17,36.554,415.900,415.900,511.681,511.681,511.681
18,39.416,468.767,468.767,500.870,500.870,500.870
19,42.278,431.900,431.900,490.000,490.000,490.000
20,45.141,431.933,431.933,479.220,479.220,479.220
21,48.005,443.867,443.867,468.495,468.495,468.495
22,50.870,473.233,473.233,457.714,457.714,457.714
23,53.735,460.933,460.933,452.470,452.470,452.470
24,56.601,463.533,463.533,447.191,447.191,447.191
25,59.469,459.100,459.100,441.912,441.912,441.912
26,62.337,467.466,467.466,436.654,436.653,436.654
27,65.205,497.733,497.733,431.432,431.431,431.432
28,68.075,505.733,505.733,426.250,426.238,426.250
29,70.945,509.433,509.433,421.156,421.055,421.156
30,73.817,542.533,542.533,416.527,415.868,416.527
31,76.689,608.700,608.700,413.891,410.680,413.891
32,79.561,601.266,601.266,417.270,405.474,417.270
33,82.435,530.800,530.800,433.294,400.191,433.294
34,85.309,494.866,494.866,467.018,394.775,467.018
35,88.185,534.333,534.333,517.182,391.468,517.182
36,91.061,465.800,465.800,568.973,388.146,568.973
37,93.938,532.200,532.200,610.947,384.909,610.947
38,96.815,586.333,586.333,642.303,381.784,642.303
39,99.694,576.166,576.166,669.169,378.738,669.169
40,102.573,554.433,554.433,693.676,375.728,693.676
41,105.453,592.633,592.633,710.679,372.729,710.679
42,108.334,611.966,611.966,714.688,369.733,714.688
43,111.215,588.733,588.733,706.464,366.736,706.464
44,114.098,621.033,621.033,691.807,363.740,691.807
45,116.981,702.833,702.833,676.458,360.744,676.458
46,119.865,624.433,624.433,663.519,357.748,663.519
47,122.750,627.633,627.633,653.980,354.752,653.980
48,125.635,604.866,604.866,647.958,351.756,647.958
49,128.521,694.533,694.533,645.100,348.760,645.100
50,131.408,637.566,637.566,644.059,345.764,644.059
51,134.296,655.133,655.133,654.556,355.122,654.556
52,137.185,707.800,707.800,661.351,364.481,661.351
53,140.074,724.233,724.233,663.038,373.839,663.038
54,142.964,809.266,809.266,660.479,383.198,660.479
55,145.855,705.300,705.300,656.046,392.556,656.046
56,148.747,765.233,765.233,652.328,401.915,652.328
57,151.639,765.900,765.900,651.560,411.273,651.560
58,154.533,656.766,656.766,655.685,420.632,655.685
59,157.427,682.433,682.433,666.093,429.990,666.093
60,160.321,741.366,741.366,682.866,439.348,682.866
61,163.217,701.833,701.833,704.430,448.707,704.430
62,166.113,745.500,745.500,728.242,458.065,728.242
63,169.010,763.400,763.400,752.076,467.424,752.076
64,171.908,754.700,754.700,775.047,476.782,775.047
65,174.806,741.666,741.666,797.864,486.141,797.864
66,177.705,666.100,666.100,822.185,495.499,822.185
67,180.605,799.733,799.733,849.326,504.858,849.326
68,183.506,768.733,768.733,878.957,514.216,878.957
69,186.407,825.133,825.133,908.599,523.575,908.599
70,189.310,774.566,774.566,934.278,532.933,934.278
71,192.213,913.533,913.533,941.565,531.744,941.565
72,195.116,894.500,894.500,939.003,530.554,939.003
73,198.021,904.000,904.000,927.480,529.365,927.480
74,200.926,931.933,931.933,910.408,528.175,910.408
75,203.832,954.067,954.067,892.188,526.986,892.188
76,206.738,936.233,936.233,876.499,525.797,876.499
77,209.645,950.733,950.733,865.354,524.607,865.354
78,212.553,927.933,927.933,859.089,523.418,859.089
79,215.462,933.100,933.100,856.839,522.228,856.839
80,218.372,928.133,928.133,857.019,521.039,857.019
81,221.282,909.267,909.267,857.678,519.850,857.678
82,224.193,885.200,885.200,856.873,518.660,856.873
83,227.104,874.600,874.600,853.137,517.471,853.137
84,230.017,892.767,892.767,845.936,516.281,845.936
85,232.930,816.300,816.300,835.878,515.092,835.878
86,235.843,838.800,838.800,824.517,513.902,824.517
87,238.758,858.767,858.767,813.793,512.713,813.793
88,241.673,783.633,783.633,805.358,511.524,805.358
89,244.589,887.567,887.567,800.055,510.334,800.055
90,247.505,840.400,840.400,797.782,509.145,797.782
91,250.423,771.267,771.267,797.740,507.955,797.740
92,253.341,733.000,733.000,798.903,506.766,798.903
93,256.259,827.600,827.600,800.448,505.577,800.448
94,259.179,726.833,726.833,801.937,504.387,801.937
95,262.099,761.167,761.167,803.244,503.198,803.244
96,265.020,779.867,779.867,799.289,496.950,799.289
97,267.941,768.833,768.833,795.054,490.702,795.054
98,270.863,751.567,751.567,790.368,484.455,790.368
99,273.786,729.733,729.733,785.037,478.207,785.037
100,276.709,729.433,729.433,778.926,471.959,778.926
101,279.634,793.467,793.467,771.976,465.712,771.976
102,282.558,755.767,755.767,764.186,459.464,764.186
103,285.484,735.300,735.300,755.578,453.216,755.578
104,288.410,715.467,715.467,746.225,446.969,746.225
105,291.337,756.000,756.000,736.341,440.721,736.341
106,294.265,714.600,714.600,726.367,434.473,726.367
107,297.193,788.233,788.233,716.996,428.226,716.996
