ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
0,-16.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-13.762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-10.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-7.852,0.000,0.000,0.005,0.005,0.003,0.002,0.000,0.000,0.000,0.000
4,-4.897,0.000,0.000,1.544,1.544,0.847,0.512,0.122,0.044,0.019,0.001
5,-1.943,4.700,4.700,14.446,14.446,7.924,4.789,1.138,0.414,0.173,0.007
6,1.012,29.100,29.100,33.454,33.454,18.352,11.090,2.636,0.959,0.401,0.016
7,3.968,97.433,97.433,30.053,30.052,16.485,9.962,2.369,0.861,0.360,0.015
8,6.923,282.533,282.533,145.781,145.651,79.899,48.283,11.606,4.175,1.746,0.071
9,9.878,511.933,511.933,266.953,262.429,143.959,86.995,25.200,7.523,3.146,0.128
10,12.833,787.367,787.367,422.758,376.046,206.288,124.661,76.334,10.780,4.507,0.184
11,15.789,889.933,889.933,673.401,485.323,266.279,160.915,226.233,13.915,5.818,0.238
12,18.744,1057.033,1057.033,972.683,591.864,324.959,196.375,426.973,16.981,7.100,0.290
13,21.700,1136.233,1136.233,1180.301,705.054,387.645,234.257,529.320,20.257,8.470,0.346
14,24.656,1307.733,1307.733,1357.767,822.145,452.812,273.638,597.350,23.663,9.894,0.404
15,27.612,1617.333,1617.333,1581.830,813.436,448.900,271.275,827.982,23.458,9.809,0.400
16,30.567,1901.467,1901.467,1987.668,804.734,445.374,269.175,1239.710,23.273,9.731,0.397
17,33.523,2246.700,2246.700,2341.623,796.031,442.920,268.328,1597.183,23.123,9.668,0.395
18,36.480,2136.567,2136.567,2492.598,787.329,450.327,283.339,1725.902,23.013,9.618,0.393
19,39.436,1941.233,1941.233,2441.608,778.626,600.510,475.403,1332.485,23.228,9.580,0.391
20,42.392,1705.100,1705.100,2165.753,769.923,958.418,765.072,407.574,24.692,9.591,0.389
21,45.348,1452.200,1452.200,1816.487,761.221,980.568,657.332,142.322,26.208,9.656,0.386
22,48.305,1564.967,1564.967,1605.808,752.518,930.592,548.284,88.420,28.234,9.883,0.384
23,51.261,1838.267,1838.267,1523.198,743.815,906.053,499.704,75.056,31.418,10.575,0.380
24,54.218,2075.633,2075.633,1540.122,727.488,929.516,491.303,72.285,34.611,12.023,0.373
25,57.175,2473.700,2473.700,1895.993,711.160,1219.215,549.201,75.843,36.787,14.568,0.366
26,60.131,3354.533,3354.533,3168.246,694.832,2295.520,728.509,87.075,38.090,18.681,0.359
27,63.088,5591.267,5591.267,5993.026,678.504,4792.228,1029.268,102.899,40.705,27.557,0.354
28,66.045,9884.033,9884.033,10050.377,662.177,8548.531,1286.856,110.779,50.214,53.628,0.353
29,69.002,14243.267,14243.267,13377.629,645.849,11780.409,1293.803,102.411,75.738,124.893,0.358
30,71.960,15610.067,15610.067,13836.476,629.521,12286.630,1075.925,86.195,121.140,266.203,0.368
31,74.917,12897.600,12897.600,11539.047,613.193,10001.619,851.110,74.659,169.997,441.267,0.382
32,77.874,8613.533,8613.533,8617.745,596.866,7088.325,731.573,70.270,190.926,536.239,0.397
33,80.832,6428.367,6428.367,6565.213,580.538,5189.377,664.618,69.309,171.656,469.821,0.419
34,83.789,5673.033,5673.033,5157.248,564.210,4063.405,593.468,69.073,134.171,296.655,0.462
35,86.747,4427.500,4427.500,3794.517,547.882,2960.911,522.919,68.779,104.794,136.565,0.537
36,89.705,2760.167,2760.167,2582.801,596.214,1869.952,501.329,72.589,90.014,48.222,0.682
37,92.662,1706.833,1706.833,1767.388,644.545,1093.337,502.318,76.139,78.864,15.893,0.824
38,95.620,1231.667,1231.667,1400.762,692.876,727.955,516.870,79.440,67.719,7.828,0.937
39,98.578,1182.733,1182.733,1315.374,741.207,629.555,536.856,82.665,58.828,6.444,1.013
40,101.536,1238.467,1238.467,1351.189,789.538,645.784,558.276,85.974,53.770,6.306,1.064
41,104.495,1318.867,1318.867,1427.548,837.869,699.020,579.996,89.379,51.537,6.494,1.105
42,107.453,1303.000,1303.000,1504.603,886.200,750.960,602.059,92.774,50.514,7.141,1.141
43,110.411,1577.433,1577.433,1554.234,934.531,773.528,624.693,96.093,49.957,8.773,1.174
44,113.370,1565.533,1565.533,1566.189,982.862,755.307,647.930,99.403,49.902,12.422,1.208
45,116.328,1742.033,1742.033,1556.158,1031.193,710.679,671.543,102.829,50.503,19.344,1.244
46,119.287,1815.233,1815.233,1551.204,1079.524,666.924,695.113,106.433,51.659,29.776,1.280
47,122.246,1986.300,1986.300,1566.446,1127.855,642.326,718.149,110.160,53.090,41.387,1.316
48,125.204,2135.500,2135.500,1598.248,1176.186,638.691,740.312,113.868,54.579,49.430,1.350
49,128.163,2180.600,2180.600,1635.282,1224.518,649.105,761.577,117.412,56.081,49.707,1.381
50,131.122,2168.867,2168.867,1670.794,1272.849,666.812,782.151,120.724,57.656,42.021,1.410
51,134.081,2040.300,2040.300,1705.379,1321.180,688.036,802.297,123.832,59.363,30.393,1.438
52,137.040,1892.333,1892.333,1660.623,1287.490,675.595,784.781,121.206,58.104,19.510,1.408
53,140.000,1684.800,1684.800,1620.725,1253.800,664.064,767.254,118.525,56.970,12.513,1.380
54,142.959,1573.433,1573.433,1585.577,1220.110,652.889,749.921,115.823,55.936,9.635,1.354
55,145.919,1482.833,1482.833,1554.320,1186.420,641.699,733.090,113.142,54.981,10.061,1.329
56,148.878,1279.867,1279.867,1526.477,1152.730,630.296,717.084,110.544,54.086,13.144,1.305
57,151.838,1250.267,1250.267,1501.564,1119.040,618.604,701.978,108.073,53.229,18.381,1.281
58,154.797,1204.933,1204.933,1478.247,1085.350,606.634,687.520,105.722,52.380,24.715,1.258
59,157.757,1200.533,1200.533,1454.409,1051.660,594.568,673.399,103.448,51.520,30.220,1.237
60,160.717,1174.533,1174.533,1428.218,1017.970,582.816,659.558,101.215,50.652,32.742,1.219
61,163.677,1240.900,1240.900,1399.249,984.280,571.889,646.191,99.014,49.802,31.133,1.203
62,166.637,1156.700,1156.700,1368.689,950.590,562.110,633.497,96.853,49.004,26.018,1.190
63,169.597,1241.967,1241.967,1338.411,916.900,553.390,621.441,94.744,48.273,19.367,1.178
64,172.558,1311.167,1311.167,1309.709,883.210,545.280,609.695,92.700,47.593,13.262,1.165
65,175.518,1271.267,1271.267,1282.782,849.520,537.328,597.752,90.733,46.928,8.877,1.148
66,178.478,1252.533,1252.533,1257.313,815.830,529.550,585.172,88.859,46.258,6.333,1.127
67,181.439,1304.167,1304.167,1233.436,782.141,522.687,571.767,87.072,45.605,5.190,1.102
68,184.400,1327.200,1327.200,1212.112,748.451,518.054,557.570,85.327,45.052,5.022,1.073
69,187.360,1395.167,1395.167,1194.696,714.761,516.967,542.683,83.546,44.722,5.722,1.043
70,190.321,1334.100,1334.100,1182.053,681.071,519.922,527.185,81.650,44.721,7.550,1.011
71,193.282,1344.467,1344.467,1173.740,647.381,525.876,511.172,79.603,45.074,11.023,0.978
72,196.243,1378.633,1378.633,1167.893,613.691,532.342,494.822,77.417,45.670,16.683,0.945
73,199.204,1401.767,1401.767,1182.940,600.294,546.027,487.608,76.507,47.075,24.782,0.928
74,202.165,1374.600,1374.600,1200.576,586.897,560.508,480.512,75.531,48.411,34.690,0.911
75,205.126,1356.867,1356.867,1233.300,573.500,589.272,473.688,74.515,50.134,44.781,0.897
76,208.088,1300.733,1300.733,1313.073,560.103,664.877,467.229,73.490,53.936,52.642,0.885
77,211.049,1247.033,1247.033,1499.963,546.706,845.919,461.193,72.495,63.541,55.926,0.876
78,214.011,1318.133,1318.133,1883.958,533.309,1217.191,455.626,71.577,85.254,53.432,0.867
