ch,keV,net,fit,model,continuum_raw,Y-88
0,-11.936,0.000,0.000,0.000,0.000,0.000
1,-9.095,0.000,0.000,0.000,0.000,0.000
2,-6.253,0.000,0.000,0.000,0.000,0.000
3,-3.410,0.000,0.000,0.000,0.000,0.000
4,-0.566,0.000,0.000,0.000,0.000,0.000
5,2.279,0.000,-3.333,0.000,0.000,0.000
6,5.125,0.000,-0.600,0.000,0.000,0.000
7,7.971,0.000,-21.267,0.000,0.000,0.000
8,10.819,0.000,-13.200,0.000,0.000,0.000
9,13.667,0.000,-21.933,0.000,0.000,0.000
10,16.516,0.000,-17.000,0.000,0.000,0.000
11,19.366,0.000,-19.133,0.000,0.000,0.000
12,22.217,42.800,42.800,0.000,0.000,0.000
13,25.069,8.867,8.867,0.000,0.000,0.000
14,27.921,10.000,10.000,0.000,0.000,0.000
15,30.774,0.000,-1.600,0.000,0.000,0.000
16,33.628,0.000,-14.067,0.000,0.000,0.000
17,36.483,0.000,-21.200,0.000,0.000,0.000
18,39.339,0.000,-35.467,0.000,0.000,0.000
19,42.196,0.000,-15.200,0.000,0.000,0.000
20,45.053,0.000,-41.133,0.000,0.000,0.000
21,47.912,0.000,-26.267,0.000,0.000,0.000
22,50.771,5.467,5.467,0.000,0.000,0.000
23,53.631,6.867,6.867,0.000,0.000,0.000
24,56.491,0.000,-35.933,0.000,0.000,0.000
25,59.353,0.000,-52.800,0.000,0.000,0.000
26,62.215,0.000,-126.066,0.000,0.000,0.000
27,65.079,0.000,-57.533,0.000,0.000,0.000
28,67.943,0.000,-35.533,0.001,0.000,0.001
29,70.807,0.000,-130.133,0.005,0.000,0.005
30,73.673,0.000,-113.933,0.032,0.000,0.032
31,76.540,0.000,-126.600,0.156,0.000,0.156
32,79.407,0.000,-89.466,0.586,0.000,0.586
33,82.275,0.000,-111.400,1.682,0.000,1.682
34,85.144,0.000,-123.266,3.758,0.000,3.758
35,88.013,0.000,-46.333,6.654,0.000,6.654
36,90.884,0.000,-45.400,9.586,0.000,9.586
37,93.755,0.000,-72.600,11.644,0.000,11.644
38,96.627,0.000,-85.333,12.486,0.000,12.486
39,99.500,0.000,-62.666,12.462,0.000,12.462
40,102.374,0.000,-23.133,12.220,0.000,12.220
41,105.248,0.000,-80.733,12.321,0.000,12.321
42,108.123,0.000,-102.066,13.028,0.000,13.028
43,110.999,0.000,-132.533,14.194,0.000,14.194
44,113.876,9.067,9.067,15.359,0.000,15.359
45,116.754,0.000,-37.333,16.086,0.000,16.086
46,119.632,0.000,-29.133,16.233,0.000,16.233
47,122.511,0.000,-61.733,15.936,0.000,15.936
48,125.391,0.000,-81.266,15.421,0.000,15.421
49,128.272,0.000,-38.933,14.901,0.000,14.901
50,131.153,0.000,-40.866,14.554,0.000,14.554
51,134.035,0.000,-49.733,14.622,0.143,14.622
52,136.918,0.000,-40.400,14.920,0.285,14.920
53,139.802,0.000,-39.533,15.284,0.428,15.284
54,142.687,33.534,33.534,15.543,0.570,15.543
55,145.572,12.600,12.600,15.632,0.713,15.632
56,148.458,30.467,30.467,15.605,0.855,15.605
57,151.345,0.000,-25.200,15.573,0.998,15.573
58,154.232,0.000,-8.466,15.624,1.140,15.624
59,157.121,0.000,-1.133,15.778,1.283,15.778
60,160.010,0.000,-6.267,15.991,1.425,15.991
61,162.900,73.667,73.667,16.186,1.568,16.186
62,165.790,0.000,-51.000,16.303,1.710,16.303
63,168.682,0.000,-34.200,16.332,1.853,16.332
64,171.574,52.400,52.400,16.313,1.995,16.313
65,174.466,28.333,28.333,16.293,2.138,16.293
66,177.360,47.200,47.200,16.294,2.280,16.294
67,180.254,0.000,-1.533,16.316,2.423,16.316
68,183.149,4.467,4.467,16.378,2.565,16.378
69,186.045,43.267,43.267,16.528,2.708,16.528
70,188.942,13.133,13.133,16.825,2.850,16.825
71,191.839,0.000,-12.933,17.223,2.934,17.223
72,194.737,37.000,37.000,17.727,3.018,17.727
73,197.636,0.000,-10.000,18.240,3.102,18.240
74,200.535,2.867,2.867,18.672,3.185,18.672
75,203.435,55.133,55.133,18.981,3.269,18.981
76,206.336,22.467,22.467,19.184,3.353,19.184
77,209.238,0.000,-8.533,19.326,3.437,19.326
78,212.140,18.867,18.867,19.452,3.520,19.452
79,215.043,52.200,52.200,19.591,3.604,19.591
80,217.947,11.267,11.267,19.758,3.688,19.758
81,220.852,25.533,25.533,19.970,3.772,19.970
82,223.757,17.400,17.400,20.242,3.856,20.242
83,226.663,67.200,67.200,20.574,3.939,20.574
84,229.570,0.000,-10.467,20.942,4.023,20.942
85,232.477,8.600,8.600,21.301,4.107,21.301
86,235.385,72.600,72.600,21.599,4.191,21.599
87,238.294,44.533,44.533,21.799,4.274,21.799
88,241.203,95.267,95.267,21.887,4.358,21.887
89,244.114,52.133,52.133,21.876,4.442,21.876
90,247.025,36.800,36.800,21.797,4.526,21.797
91,249.936,0.000,-32.467,21.681,4.609,21.681
92,252.848,24.000,24.000,21.559,4.693,21.559
93,255.761,45.200,45.200,21.445,4.777,21.445
94,258.675,18.667,18.667,21.349,4.861,21.349
95,261.589,0.000,-7.667,21.267,4.945,21.267
96,264.505,25.733,25.733,21.341,5.171,21.341
97,267.420,58.667,58.667,21.430,5.398,21.430
98,270.337,28.133,28.133,21.537,5.624,21.537
99,273.254,0.000,-8.533,21.672,5.851,21.672
100,276.172,9.867,9.867,21.840,6.078,21.840
101,279.090,0.000,-12.067,22.044,6.304,22.044
102,282.009,34.533,34.533,22.282,6.531,22.282
103,284.929,17.600,17.600,22.548,6.758,22.548
104,287.850,26.933,26.933,22.839,6.984,22.839
105,290.771,11.000,11.000,23.155,7.211,23.155
106,293.693,0.000,-1.800,23.496,7.437,23.496
107,296.615,56.467,56.467,23.863,7.664,23.863
108,299.538,36.400,36.400,24.250,7.891,24.250
109,302.462,25.667,25.667,24.643,8.117,24.643
110,305.387,0.800,0.800,25.023,8.344,25.023
111,308.312,30.467,30.467,25.364,8.571,25.364
112,311.238,35.867,35.867,25.650,8.797,25.650
113,314.164,31.400,31.400,25.873,9.024,25.873
114,317.092,4.133,4.133,26.034,9.250,26.034
115,320.019,49.067,49.067,26.144,9.477,26.144
116,322.948,3.067,3.067,26.220,9.704,26.220
117,325.877,55.467,55.467,26.277,9.930,26.277
118,328.807,21.933,21.933,26.331,10.157,26.331
119,331.737,0.000,-0.933,26.396,10.384,26.396
120,334.668,22.800,22.800,26.483,10.610,26.483
121,337.600,9.267,9.267,26.602,10.837,26.602
122,340.532,24.333,24.333,26.758,11.063,26.758
123,343.465,4.800,4.800,26.953,11.290,26.953
124,346.399,11.200,11.200,27.189,11.517,27.189
125,349.333,3.600,3.600,27.462,11.743,27.462
126,352.268,29.867,29.867,27.767,11.970,27.767
127,355.204,6.333,6.333,27.652,11.750,27.652
128,358.140,4.800,4.800,27.552,11.531,27.552
129,361.077,15.000,15.000,27.455,11.311,27.455
130,364.014,41.733,41.733,27.350,11.091,27.350
131,366.952,65.867,65.867,27.226,10.872,27.226
132,369.891,51.933,51.933,27.077,10.652,27.077
133,372.830,27.733,27.733,26.905,10.432,26.905
134,375.770,10.867,10.867,26.717,10.213,26.717
135,378.711,41.733,41.733,26.522,9.993,26.522
136,381.652,26.333,26.333,26.333,9.773,26.333
137,384.594,28.400,28.400,26.153,9.554,26.153
138,387.536,7.000,7.000,25.984,9.334,25.984
139,390.479,28.000,28.000,25.819,9.114,25.819
140,393.423,34.933,34.933,25.649,8.895,25.649
141,396.367,19.333,19.333,25.466,8.675,25.466
142,399.312,38.600,38.600,25.263,8.455,25.263
143,402.257,17.200,17.200,25.041,8.236,25.041
144,405.203,72.800,72.800,24.801,8.016,24.801
145,408.150,54.933,54.933,24.550,7.797,24.550
146,411.097,40.467,40.467,24.289,7.577,24.289
147,414.045,46.333,46.333,24.018,7.357,24.018
148,416.993,41.333,41.333,23.732,7.138,23.732
149,419.942,23.867,23.867,23.424,6.918,23.424
150,422.892,25.067,25.067,23.086,6.698,23.086
151,425.842,20.467,20.467,22.716,6.479,22.716
152,428.793,21.533,21.533,22.316,6.259,22.316
153,431.744,9.800,9.800,21.893,6.039,21.893
154,434.696,27.133,27.133,21.461,5.820,21.461
155,437.649,11.133,11.133,21.035,5.600,21.035
156,440.602,13.667,13.667,20.631,5.380,20.631
