ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
0,-13.080,0.000,0.000,0.000,0.000,0.000,0.000
1,-10.218,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.355,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.491,0.000,0.000,0.007,0.007,0.007,0.000
4,-1.626,0.000,0.000,0.300,0.300,0.295,0.005
5,1.239,0.133,0.133,2.471,2.471,2.428,0.042
6,4.105,2.067,2.067,2.702,2.702,2.656,0.046
7,6.972,17.956,17.956,3.132,3.132,3.078,0.054
8,9.839,33.022,33.022,17.478,17.478,17.178,0.300
9,12.708,74.956,74.956,31.720,31.720,31.176,0.544
10,15.577,86.244,86.244,46.137,46.137,45.346,0.791
11,18.447,84.622,84.622,60.307,60.307,59.273,1.034
12,21.317,91.022,91.022,74.776,74.776,73.495,1.281
13,24.189,99.822,99.822,89.129,89.129,87.602,1.527
14,27.061,67.822,67.822,103.443,103.443,101.670,1.773
15,29.933,86.556,86.556,103.160,103.160,101.392,1.768
16,32.807,98.311,98.311,102.842,102.842,101.079,1.762
17,35.681,90.133,90.133,102.513,102.513,100.756,1.757
18,38.556,109.711,109.711,102.108,102.108,100.358,1.750
19,41.432,90.489,90.489,101.774,101.774,100.030,1.744
20,44.308,92.733,92.733,101.482,101.482,99.743,1.739
21,47.185,92.467,92.467,101.106,101.106,99.373,1.733
22,50.063,99.644,99.644,100.708,100.708,98.982,1.726
23,52.941,115.178,115.178,99.484,99.484,97.779,1.705
24,55.821,87.756,87.756,98.285,98.285,96.601,1.684
25,58.701,86.800,86.800,97.093,97.093,95.429,1.664
26,61.581,121.022,121.022,95.896,95.896,94.253,1.643
27,64.463,115.511,115.511,94.713,94.713,93.090,1.623
28,67.345,86.689,86.689,93.552,93.550,91.949,1.603
29,70.228,109.511,109.511,92.417,92.393,90.832,1.584
30,73.111,95.711,95.711,91.367,91.208,89.798,1.569
31,75.996,102.733,102.733,90.759,89.972,89.189,1.570
32,78.881,102.689,102.689,91.589,88.654,89.965,1.625
33,81.766,123.244,123.244,95.506,87.171,93.713,1.793
34,84.653,127.356,127.356,103.770,85.443,101.651,2.119
35,87.540,98.000,98.000,114.860,82.928,112.305,2.555
36,90.427,133.778,133.778,125.974,80.420,122.991,2.983
37,93.316,118.556,118.556,133.713,78.115,130.436,3.277
38,96.205,118.778,118.778,137.211,76.056,133.800,3.412
39,99.095,115.156,115.156,137.812,74.162,134.370,3.442
40,101.985,123.311,123.311,137.092,72.342,133.662,3.430
41,104.877,113.911,113.911,135.848,70.545,132.439,3.408
42,107.769,110.333,110.333,134.331,68.753,130.947,3.384
43,110.661,129.289,129.289,132.652,66.962,129.298,3.355
44,113.555,109.022,109.022,130.874,65.171,127.556,3.318
45,116.449,136.689,136.689,129.004,63.380,125.727,3.277
46,119.343,131.156,131.156,127.044,61.588,123.807,3.236
47,122.239,153.200,153.200,125.005,59.797,121.804,3.201
48,125.135,166.333,166.333,122.876,58.006,119.703,3.172
49,128.031,135.067,135.067,120.639,56.215,117.490,3.149
50,130.929,138.244,138.244,118.335,54.424,115.207,3.128
51,133.827,150.867,150.867,124.355,60.923,121.111,3.244
52,136.726,148.556,148.556,130.509,67.423,127.152,3.357
53,139.625,140.200,140.200,136.846,73.922,133.382,3.464
54,142.525,169.289,169.289,143.377,80.422,139.811,3.566
55,145.426,141.556,141.556,150.104,86.922,146.434,3.670
56,148.327,161.911,161.911,156.987,93.421,153.207,3.779
57,151.229,145.511,145.511,163.928,99.921,160.028,3.900
58,154.132,186.956,186.956,170.806,106.420,166.774,4.032
59,157.036,150.689,150.689,177.565,112.920,173.391,4.174
