ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
0,-6.403,0.000,0.000,0.000,0.000,0.000,0.000
1,-3.631,0.000,0.000,0.000,0.000,0.000,0.000
2,-0.857,0.000,0.000,0.000,0.000,0.000,0.000
3,1.918,0.000,0.000,0.002,0.000,0.002,0.000
4,4.695,0.000,0.000,0.860,0.000,0.860,0.000
5,7.473,5.059,5.059,76.090,0.000,76.090,0.000
6,10.253,104.379,104.379,1274.987,0.000,1274.987,0.000
7,13.034,795.757,795.757,5852.837,0.000,5852.837,0.000
8,15.817,5772.628,5772.628,13919.596,868.170,13919.596,0.000
9,18.602,42117.411,42117.411,37299.166,1736.341,37299.166,0.000
10,21.387,262119.229,262119.229,184643.759,2604.511,184643.759,0.000
11,24.175,536243.971,536243.971,579110.118,3472.682,579110.118,0.000
12,26.964,670585.388,670585.388,851657.277,4340.852,851657.277,0.000
13,29.754,603830.493,603830.493,616294.069,5209.022,616294.069,0.000
14,32.546,420013.473,420013.473,316846.596,6077.193,316846.596,0.000
15,35.339,201413.473,201413.473,147385.278,6897.017,147385.278,0.000
16,38.133,77127.272,77127.272,55311.716,7716.841,55311.716,0.000
17,40.929,31948.462,31948.462,31366.867,8536.665,31366.867,0.000
18,43.727,30946.248,30946.248,36073.858,9356.489,36073.858,0.000
19,46.526,42470.664,42470.664,46403.106,10176.314,46403.106,0.000
20,49.326,48538.924,48538.924,53192.243,10996.138,53192.243,0.000
21,52.128,48701.274,48701.274,51402.817,11815.962,51402.817,0.000
22,54.931,45971.346,45971.346,42541.790,12635.786,42541.790,0.000
23,57.736,41442.536,41442.536,33476.315,13455.610,33476.315,0.000
24,60.542,38503.797,38503.797,29563.795,14275.434,29563.795,0.000
25,63.350,39217.302,39217.302,31227.945,13753.736,31227.945,0.000
26,66.158,42323.324,42323.324,43571.727,13232.037,43571.727,0.000
27,68.969,48905.518,48905.518,76180.696,12710.339,76180.696,0.000
28,71.780,72049.516,72049.516,136756.085,12188.640,136756.085,0.000
29,74.593,127794.282,127794.282,212550.523,11666.942,212550.523,0.000
30,77.408,222670.698,222670.698,264436.629,11145.243,264436.629,0.000
31,80.224,305137.172,305137.172,256649.111,10623.545,256649.111,0.000
32,83.041,319170.076,319170.076,194132.867,10101.846,194132.867,0.000
33,85.859,262431.735,262431.735,116767.933,9580.148,116767.933,0.000
34,88.679,165229.987,165229.987,59489.421,9058.450,59489.421,0.000
35,91.500,72873.529,72873.529,30070.598,8536.751,30070.598,0.000
36,94.323,29924.899,29924.899,18952.316,8015.053,18952.316,0.000
37,97.147,17102.621,17102.621,15695.121,7493.354,15695.121,0.000
38,99.972,16432.124,16432.124,14974.741,6971.656,14974.741,0.000
39,102.799,16931.969,16931.969,16853.696,8187.094,16853.696,0.000
40,105.626,17800.604,17800.604,19198.668,9402.532,19198.668,0.000
41,108.456,18781.402,18781.402,21703.310,10617.970,21703.310,0.000
42,111.286,20894.643,20894.643,23887.455,11833.408,23887.455,0.000
43,114.118,22977.639,22977.639,25316.321,13048.847,25316.321,0.000
44,116.951,24809.630,24809.630,25908.341,14264.285,25908.341,0.000
45,119.786,25476.172,25476.172,25988.016,15479.723,25988.016,0.000
46,122.621,25238.008,25238.008,26034.951,16695.161,26034.951,0.000
47,125.458,24805.148,24805.148,26384.366,17910.600,26384.366,0.000
48,128.296,24414.317,24414.317,27118.961,19126.038,27118.961,0.000
49,131.136,25368.586,25368.586,28154.203,20341.476,28154.203,0.000
50,133.977,27175.599,27175.599,29373.122,21556.914,29373.122,0.000
51,136.819,29662.023,29662.023,30705.020,22772.353,30705.020,0.000
52,139.662,33405.284,33405.284,32136.812,23987.791,32136.812,0.000
53,142.507,36936.166,36936.166,33689.795,25203.229,33689.795,0.000
54,145.353,40689.124,40689.124,35387.406,26418.667,35387.406,0.000
55,148.200,43924.901,43924.901,37221.642,27634.106,37221.642,0.000
56,151.048,46872.837,46872.837,39124.275,28849.544,39124.275,0.000
57,153.898,50471.371,50471.371,40960.765,30064.982,40960.765,0.000
58,156.748,51456.376,51456.376,40221.142,28935.328,40221.142,0.000
59,159.600,51580.980,51580.980,39127.448,27805.675,39127.448,0.000
60,162.454,49382.929,49382.929,37665.789,26676.021,37665.789,0.000
61,165.308,46283.417,46283.417,35945.353,25546.367,35945.353,0.000
62,168.164,41154.993,41154.993,34145.990,24416.713,34145.990,0.000
63,171.021,36642.199,36642.199,32435.350,23287.060,32435.350,0.000
64,173.879,31698.413,31698.413,30908.595,22157.406,30908.595,0.000
65,176.738,28803.737,28803.737,29577.596,21027.752,29577.596,0.000
66,179.598,25428.540,25428.540,28397.887,19898.098,28397.887,0.000
67,182.460,23654.870,23654.870,27304.099,18768.445,27304.099,0.000
68,185.323,21772.614,21772.614,26233.462,17638.791,26233.462,0.000
69,188.187,20396.820,20396.820,25134.371,16509.137,25134.371,0.000
70,191.052,19629.455,19629.455,23967.218,15379.483,23967.218,0.000
71,193.918,18221.008,18221.008,22704.777,14249.830,22704.777,0.000
72,196.785,17175.080,17175.080,21334.709,13120.176,21334.709,0.000
73,199.654,16146.424,16146.424,19862.391,11990.522,19862.391,0.000
74,202.524,15185.054,15185.054,18310.840,10860.868,18310.840,0.000
