ch,keV,net,fit,model,continuum_raw,Cs-137,pile-up
0,-2.951,0.000,0.000,0.000,0.000,0.000,0.000
1,-0.214,0.000,0.000,0.000,0.000,0.000,0.000
2,2.524,0.000,0.000,0.000,0.000,0.000,0.000
3,5.264,0.000,0.000,0.000,0.000,0.000,0.000
4,8.005,0.000,0.000,0.024,0.000,0.025,0.000
5,10.748,2.125,2.125,3.942,0.000,3.955,0.000
6,13.492,59.625,59.625,152.638,0.000,152.687,0.000
7,16.238,473.250,473.250,1597.816,0.000,1598.131,0.000
8,18.986,2065.344,2065.344,5882.897,0.000,5887.030,0.000
9,21.734,5730.031,5730.031,10759.633,0.000,10767.811,0.000
10,24.485,19605.969,19605.969,17410.139,0.000,17423.829,0.000
11,27.236,48326.156,48326.156,44876.269,0.000,44904.964,0.000
12,29.989,84482.438,84482.438,94500.484,0.000,94583.872,0.000
13,32.744,92776.469,92776.469,116908.578,0.000,116983.989,0.000
14,35.500,84337.000,84337.000,88340.629,0.000,88397.042,0.000
15,38.258,49661.000,49661.000,48323.709,1756.376,48358.333,1.419
16,41.017,28589.750,28589.750,25694.944,3512.752,25722.119,2.874
17,43.777,18846.344,18846.344,18514.603,5269.127,18534.422,4.338
18,46.539,15873.875,15873.875,17394.813,7025.503,17398.711,5.805
19,49.302,15191.594,15191.594,17214.487,8781.879,17216.203,7.277
20,52.067,15027.969,15027.969,16439.771,10538.255,16444.143,8.754
21,54.833,14729.313,14729.313,15426.657,12294.630,15431.646,10.229
22,57.600,15152.657,15152.657,15214.561,14051.006,15210.046,11.701
23,60.369,15229.250,15229.250,16083.919,15807.382,16083.336,13.168
24,63.139,15376.625,15376.625,17598.381,17563.758,17594.956,14.633
25,65.911,15576.313,15576.313,16873.742,16873.970,16864.473,14.058
26,68.684,15566.344,15566.344,16171.028,16184.183,16170.995,13.483
27,71.458,15716.344,15716.344,15483.860,15494.396,15481.630,12.909
28,74.234,16206.500,16206.500,14799.303,14804.608,14793.221,12.334
29,77.011,16043.563,16043.563,14113.583,14114.821,14108.554,11.759
30,79.789,16096.282,16096.282,13438.528,13425.033,13439.816,11.185
31,82.569,16300.125,16300.125,12820.234,12735.246,12825.072,10.610
32,85.350,16182.907,16182.907,12357.361,12045.459,12354.689,10.036
33,88.133,16203.375,16203.375,12180.543,11355.671,12185.128,9.462
34,90.917,16705.938,16705.938,12487.386,10665.884,12492.909,8.889
35,93.702,16338.719,16338.719,13348.877,9976.096,13347.881,8.319
36,96.488,16566.532,16566.532,14579.192,9286.309,14586.604,7.751
37,99.276,16768.532,16768.532,15826.820,8596.522,15833.148,7.186
38,102.065,17296.657,17296.657,16700.039,7906.734,16701.174,6.623
39,104.856,17296.313,17296.313,17007.628,7216.947,17009.293,6.060
40,107.648,17727.907,17727.907,18006.409,7717.922,18012.897,6.499
41,110.441,17631.657,17631.657,18701.164,8218.897,18711.830,6.941
42,113.235,18889.563,18889.563,19279.228,8719.872,19280.368,7.386
43,116.031,18828.157,18828.157,19810.767,9220.847,19818.375,7.835
44,118.828,19536.344,19536.344,20350.520,9721.822,20359.792,8.285
45,121.626,19949.125,19949.125,20901.128,10222.797,20901.346,8.739
46,124.425,20154.969,20154.969,21418.314,10723.772,21427.124,9.196
47,127.226,20338.250,20338.250,21918.940,11224.747,21926.264,9.656
48,130.028,20819.813,20819.813,22403.604,11725.722,22402.853,10.118
49,132.831,21203.000,21203.000,22875.577,12226.697,22874.540,10.583
50,135.636,21227.219,21227.219,23357.474,12727.672,23362.251,11.051
51,138.442,21300.750,21300.750,23870.370,13228.647,23879.925,11.522
52,141.249,21719.125,21719.125,24432.760,13729.622,24430.468,11.997
53,144.057,21461.875,21461.875,25001.546,14230.597,25007.022,12.474
54,146.867,22067.375,22067.375,25589.710,14731.572,25595.979,12.954
55,149.677,22810.094,22810.094,26183.805,15232.547,26180.339,13.438
56,152.489,23083.563,23083.563,26737.217,15733.522,26744.442,13.926
57,155.302,23490.532,23490.532,27276.165,16234.497,27280.084,14.417
58,158.117,24324.938,24324.938,27795.306,16735.472,27790.912,14.911
59,160.932,24661.688,24661.688,28296.309,17236.447,28291.562,15.409
60,163.749,25385.375,25385.375,28028.686,16967.896,28033.003,15.220
61,166.567,26326.438,26326.438,27792.708,16699.346,27802.135,15.030
62,169.386,27268.907,27268.907,27613.400,16430.796,27610.540,14.838
63,172.207,28386.563,28386.563,27451.011,16162.245,27461.162,14.646
64,175.028,29991.032,29991.032,27337.086,15893.695,27347.806,14.453
65,177.851,31938.938,31938.938,27256.070,15625.144,27256.140,14.259
66,180.675,34598.094,34598.094,27145.893,15356.594,27166.740,14.064
67,183.500,38163.250,38163.250,27044.476,15088.044,27060.098,13.869
68,186.326,41846.282,41846.282,26915.947,14819.493,26922.007,13.673
69,189.153,45077.938,45077.938,26738.873,14550.943,26746.872,13.476
70,191.982,48656.532,48656.532,26509.500,14282.392,26537.289,13.279
71,194.812,51179.969,51179.969,26265.585,14013.842,26300.409,13.079
72,197.642,52839.313,52839.313,26030.699,13745.292,26043.435,12.879
73,200.474,52730.688,52730.688,25734.179,13476.741,25770.739,12.677
74,203.307,52305.875,52305.875,25451.968,13208.191,25483.639,12.473
75,206.142,50129.188,50129.188,25170.650,12939.640,25182.045,12.267
76,208.977,48101.250,48101.250,24856.355,12671.090,24866.296,12.060
77,211.813,45090.250,45090.250,24514.888,12402.540,24538.004,11.851
78,214.651,42673.500,42673.500,24171.790,12133.989,24199.912,11.640
79,217.490,38445.969,38445.969,23851.628,11865.439,23855.532,11.427
80,220.329,35730.000,35730.000,23491.826,11596.888,23509.137,11.213
81,223.170,32108.625,32108.625,23153.123,11328.338,23165.853,10.996
82,226.012,29892.125,29892.125,22832.919,11059.788,22831.124,10.777
83,228.855,27521.875,27521.875,22513.014,10791.237,22509.266,10.556
84,231.699,25436.907,25436.907,22198.110,10522.687,22201.764,10.334
85,234.544,24012.157,24012.157,21900.139,10254.136,21906.505,10.109
86,237.391,22592.125,22592.125,21625.563,9985.586,21618.787,9.883
87,240.238,21503.094,21503.094,21355.043,9741.154,21357.859,9.679
88,243.086,20416.938,20416.938,21096.816,9496.722,21097.244,9.473
89,245.936,19177.782,19177.782,20846.178,9252.290,20838.326,9.266
90,248.786,19075.688,19075.688,20593.412,9007.858,20585.565,9.056
91,251.638,18644.907,18644.907,20345.587,8763.425,20344.245,8.845
92,254.490,17669.813,17669.813,20116.698,8518.993,20117.791,8.633
93,257.344,17427.813,17427.813,19913.601,8274.561,19905.890,8.419
94,260.199,17068.000,17068.000,19703.162,8030.129,19704.057,8.203
95,263.054,16789.782,16789.782,19505.627,7785.697,19504.669,7.985
96,265.911,16590.594,16590.594,19305.868,7541.265,19298.920,7.766
97,268.769,16155.938,16155.938,19086.050,7296.833,19079.025,7.546
98,271.628,15820.375,15820.375,18840.912,7052.401,18840.000,7.323
99,274.487,15967.782,15967.782,18579.728,6807.969,18580.589,7.099
100,277.348,15666.250,15666.250,18309.674,6563.536,18303.169,6.872
101,280.210,15180.219,15180.219,18011.391,6319.104,18012.768,6.644
102,283.073,15266.157,15266.157,17716.505,6074.672,17715.592,6.414
103,285.936,15081.250,15081.250,17423.621,5830.240,17417.568,6.181
104,288.801,14828.219,14828.219,17129.306,5585.808,17123.340,5.966
105,291.667,14890.313,14890.313,16835.897,5341.376,16835.914,5.710
106,294.533,14910.907,14910.907,16555.892,5096.944,16556.858,5.472
107,297.401,14481.188,14481.188,16292.463,4852.512,16286.789,5.674
108,300.270,14659.094,14659.094,16023.548,4608.079,16025.828,4.988
109,303.139,14137.500,14137.500,15774.400,4363.647,15773.850,4.743
110,306.010,14440.063,14440.063,15535.554,4119.215,15530.523,5.031
111,308.881,13913.219,13913.219,15300.240,3874.783,15295.194,5.046
112,311.754,14127.563,14127.563,15065.914,3630.351,15066.779,3.995
113,314.627,13827.875,13827.875,14842.652,3385.919,14843.711,3.742
114,317.501,13977.469,13977.469,14628.471,3141.487,14623.975,4.496
115,320.376,13658.313,13658.313,14409.510,2897.055,14405.227,4.283
116,323.253,13822.469,13822.469,14184.853,2652.623,14184.976,2.967
117,326.130,13724.281,13724.281,13957.847,2408.190,13960.843,2.706
118,329.008,13741.750,13741.750,13734.616,2163.758,13730.856,3.760
119,331.887,13299.719,13299.719,13491.549,1919.326,13493.727,2.175
120,334.766,13601.344,13601.344,13247.602,1674.894,13249.035,1.906
121,337.647,13333.875,13333.875,13205.246,1635.016,13201.582,3.665
122,340.529,13488.719,13488.719,13151.801,1595.137,13148.282,3.519
123,343.411,13152.375,13152.375,13090.003,1555.259,13090.860,1.792
124,346.295,13061.906,13061.906,13028.855,1515.380,13031.225,1.754
125,349.179,13136.688,13136.688,12975.085,1475.502,12971.207,3.878
126,352.064,13224.156,13224.156,12909.746,1435.623,12912.369,1.676
127,354.950,13293.250,13293.250,12855.289,1395.745,12855.906,1.636
128,357.837,12888.406,12888.406,12806.677,1355.867,12802.609,4.068
129,360.725,13165.250,13165.250,12757.055,1315.988,12752.875,4.179
130,363.614,12919.500,12919.500,12705.803,1276.110,12706.766,1.514
131,366.503,12999.438,12999.438,12662.847,1236.231,12664.139,1.474
132,369.394,13224.531,13224.531,12629.092,1196.353,12624.839,4.253
133,372.285,12809.344,12809.344,12593.274,1156.474,12588.896,4.379
134,375.177,13346.438,13346.438,12556.924,1116.596,12556.689,1.347
135,378.070,12778.188,12778.188,12526.800,1076.718,12529.005,1.305
136,380.964,13058.594,13058.594,12511.625,1036.839,12506.952,4.673
137,383.858,12889.594,12889.594,12490.348,996.961,12491.753,1.219
138,386.754,13079.844,13079.844,12484.438,957.082,12484.463,1.176
139,389.650,13253.719,13253.719,12490.455,917.204,12485.720,4.734
140,392.547,13066.281,13066.281,12500.150,877.325,12495.576,4.573
141,395.445,13242.281,13242.281,12513.148,837.447,12513.460,1.041
142,398.344,12938.281,12938.281,12537.369,797.569,12538.290,0.997
143,401.243,13449.656,13449.656,12573.439,757.690,12568.684,4.755
144,404.144,13290.000,13290.000,12607.583,717.812,12603.226,4.357
145,407.045,13552.063,13552.063,12640.979,677.933,12640.716,0.858
146,409.947,13422.875,13422.875,12677.994,638.055,12680.367,0.812
147,412.849,13325.719,13325.719,12726.274,598.176,12721.890,4.384
148,415.753,13713.500,13713.500,12763.325,558.298,12765.440,0.717
149,418.657,13736.938,13736.938,12810.522,518.420,12811.412,0.669
150,421.562,13844.500,13844.500,12864.077,478.541,12860.104,3.973
151,424.468,13965.406,13965.406,12914.464,438.663,12911.288,3.176
152,427.374,14029.969,14029.969,12961.562,398.784,12963.726,0.523
153,430.282,13995.625,13995.625,13011.866,358.906,13014.738,0.473
154,433.190,13938.344,13938.344,13062.786,319.027,13059.861,2.925
155,436.099,14130.250,14130.250,13095.321,279.149,13092.667,2.654
156,439.008,13940.250,13940.250,13103.074,239.271,13104.794,0.320
157,441.919,13902.375,13902.375,13081.915,199.392,13086.210,0.269
158,444.830,13657.000,13657.000,13028.206,159.514,13025.717,2.490
159,447.741,13177.406,13177.406,12908.334,119.635,12911.702,0.163
160,450.654,13028.750,13028.750,12731.363,79.757,12733.095,0.109
161,453.567,12684.219,12684.219,12483.281,39.878,12480.478,2.803
162,456.481,12268.094,12268.094,12150.124,0.000,12147.237,2.887
163,459.396,11528.094,11528.094,11769.460,0.000,11770.441,0.000
164,462.311,10408.688,10408.688,11311.407,0.000,11312.165,0.000
165,465.228,10069.813,10069.813,10783.332,0.000,10779.318,4.013
166,468.145,8967.219,8967.219,10188.305,0.000,10183.650,4.655
167,471.062,8443.875,8443.875,9543.215,0.000,9540.983,2.231
168,473.980,7689.438,7689.438,8871.420,0.000,8869.943,1.477
169,476.899,6755.625,6755.625,8196.475,0.000,8190.325,6.149
170,479.819,6408.656,6408.656,7524.666,0.000,7521.349,3.317
171,482.739,5952.625,5952.625,6884.612,0.000,6880.040,4.572
172,485.660,5247.188,5247.188,6286.732,0.000,6279.984,6.747
173,488.582,4977.625,4977.625,5737.394,0.000,5730.596,6.799
174,491.504,4533.531,4533.531,5242.024,0.000,5236.944,5.079
175,494.427,4108.719,4108.719,4805.555,0.000,4800.109,5.447
176,497.351,4035.375,4035.375,4425.197,0.000,4417.901,7.297
177,500.276,3722.844,3722.844,4093.061,0.000,4085.803,7.258
178,503.201,3474.281,3474.281,3803.895,0.000,3797.942,5.953
179,506.126,3293.094,3293.094,3553.702,0.000,3547.955,5.747
180,509.053,3157.438,3157.438,3337.110,0.000,3329.661,7.449
181,511.980,2956.906,2956.906,3144.805,0.000,3137.512,7.293
182,514.907,2810.844,2810.844,2973.254,0.000,2966.827,6.427
183,517.835,2720.250,2720.250,2819.787,0.000,2813.860,5.927
184,520.764,2574.500,2574.500,2683.106,0.000,2675.749,7.357
185,523.694,2452.219,2452.219,2556.468,0.000,2550.405,6.063
186,526.624,2312.625,2312.625,2442.835,0.000,2436.367,6.468
187,529.555,2155.750,2155.750,2340.111,0.000,2332.663,7.448
188,532.486,2089.313,2089.313,2245.960,0.000,2238.671,7.289
189,535.418,1995.719,1995.719,2160.429,0.000,2154.002,6.426
190,538.351,1990.094,1990.094,2084.916,0.000,2078.394,6.522
191,541.284,1792.938,1792.938,2019.063,0.000,2011.616,7.448
192,544.218,1819.438,1819.438,1960.490,0.000,1953.389,7.101
193,547.152,1771.031,1771.031,1909.893,0.000,1903.330,6.563
194,550.087,1774.156,1774.156,1867.381,0.000,1860.907,6.474
195,553.023,1704.500,1704.500,1832.683,0.000,1825.433,7.250
196,555.959,1747.500,1747.500,1803.132,0.000,1796.084,7.048
197,558.896,1728.813,1728.813,1778.485,0.000,1771.950,6.535
198,561.833,1735.125,1735.125,1758.330,0.000,1752.122,6.208
199,564.771,1727.563,1727.563,1742.677,0.000,1735.809,6.868
200,567.710,1705.219,1705.219,1728.576,0.000,1722.486,6.090
201,570.649,1751.844,1751.844,1718.410,0.000,1712.089,6.321
202,573.588,1761.469,1761.469,1712.131,0.000,1705.265,6.866
203,576.528,1795.094,1795.094,1710.311,0.000,1703.715,6.596
204,579.469,1890.469,1890.469,1716.448,0.000,1710.662,5.786
205,582.410,2064.938,2064.938,1737.299,0.000,1731.530,5.769
206,585.352,2236.094,2236.094,1781.229,0.000,1774.874,6.355
207,588.295,2290.469,2290.469,1859.881,0.000,1853.653,6.228
208,591.238,2500.563,2500.563,1992.042,0.000,1986.907,5.135
209,594.181,2776.656,2776.656,2206.579,0.000,2201.829,4.750
210,597.125,3339.688,3339.688,2541.661,0.000,2536.192,5.469
211,600.069,4005.750,4005.750,3046.100,0.000,3040.931,5.169
212,603.014,4789.656,4789.656,3785.427,0.000,3782.549,2.878
213,605.960,5884.063,5884.063,4846.180,0.000,4844.825,1.355
214,608.906,7354.406,7354.406,6332.313,0.329,6329.457,2.856
215,611.853,9616.750,9616.750,8348.909,0.658,8353.190,0.001
216,614.800,12186.313,12186.313,11039.781,0.988,11043.889,0.001
217,617.747,15788.000,15788.000,14529.095,1.317,14531.614,0.002
218,620.695,19867.125,19867.125,18931.291,1.646,18936.087,0.002
219,623.644,24820.969,24820.969,24329.147,1.975,24350.522,0.003
220,626.593,31559.719,31559.719,30800.407,2.304,30822.969,0.003
