ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI,continuum
0,-5.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-2.239,0.000,0.000,0.133,0.133,0.131,0.002,0.000
2,0.526,0.000,0.000,0.266,0.266,0.261,0.004,0.000
3,3.292,0.000,0.000,0.398,0.398,0.392,0.006,0.000
4,6.060,0.000,0.000,0.531,0.531,0.523,0.009,0.000
5,8.830,26.974,26.974,0.671,0.664,0.660,0.011,0.000
6,11.601,610.816,610.816,1.865,0.797,1.852,0.013,0.000
7,14.373,3019.632,3019.632,57.819,0.930,57.804,0.015,0.000
8,17.147,10500.585,10500.585,10253.862,9200.917,10105.744,148.118,0.000
9,19.923,22754.967,22754.967,25969.448,18400.905,25673.218,296.229,0.000
10,22.699,53138.349,53138.349,53274.268,27600.892,52829.838,444.430,0.000
11,25.478,93037.256,93037.256,89442.559,36800.880,88849.569,592.990,0.000
12,28.258,181231.697,181231.697,156032.428,46000.868,155290.111,742.317,0.000
13,31.039,468226.770,468226.770,439982.381,55200.855,439088.873,893.508,0.000
14,33.822,1197578.421,1197578.421,1303684.280,64400.843,1302630.562,1053.719,0.000
15,36.606,2225060.421,2225060.421,2541921.635,65721.001,2540807.434,1114.201,0.000
16,39.392,2749645.526,2749645.526,3063746.631,67041.159,3062521.537,1225.094,0.000
17,42.179,2356736.322,2356736.322,2459704.764,68361.316,2458325.562,1379.202,0.000
18,44.967,1591057.552,1591057.552,1541197.370,69681.474,1539664.213,1533.156,0.000
19,47.757,911090.217,911090.217,872115.770,71001.632,870461.147,1654.623,0.000
20,50.549,506437.085,506437.085,447375.013,72321.790,445631.861,1743.151,0.000
21,53.342,220451.302,220451.302,220096.508,73641.948,218283.607,1812.900,0.000
22,56.136,105426.151,105426.151,136294.672,74962.106,134399.515,1895.156,0.000
23,58.932,78236.947,78236.947,113897.813,76282.264,111858.895,2038.917,0.000
24,61.729,73781.816,73781.816,104210.882,77602.422,101926.620,2284.261,0.000
25,64.527,73952.829,73952.829,90278.847,73785.261,87786.746,2492.101,0.000
