ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
0,-8.460,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.725,0.000,0.000,0.142,0.142,0.041,0.101
2,-2.988,0.000,0.000,0.284,0.284,0.081,0.203
3,-0.249,0.000,0.000,0.426,0.426,0.122,0.304
4,2.491,0.000,0.000,0.568,0.568,0.162,0.406
5,5.233,1.063,1.063,0.710,0.710,0.203,0.507
6,7.978,35.348,35.348,0.852,0.852,0.243,0.609
7,10.724,290.945,290.945,0.994,0.994,0.284,0.710
8,13.471,1420.508,1420.508,1729.410,1729.410,493.926,1235.483
9,16.221,3043.736,3043.736,3457.825,3457.825,987.568,2470.257
10,18.972,5908.069,5908.069,5186.240,5186.240,1481.210,3705.030
11,21.725,8299.701,8299.701,6914.655,6914.655,1974.852,4939.803
12,24.480,10809.014,10809.014,8643.071,8643.071,2468.494,6174.576
13,27.237,10632.450,10632.450,10371.486,10371.486,2962.136,7409.350
14,29.995,11549.874,11549.874,12099.901,12099.901,3455.779,8644.123
15,32.755,12401.760,12401.760,12342.060,12342.060,3524.940,8817.120
16,35.517,12814.934,12814.934,12584.219,12584.219,3594.101,8990.117
17,38.281,12722.987,12722.987,12826.377,12826.377,3663.263,9163.114
18,41.046,13079.117,13079.117,13068.536,13068.536,3732.424,9336.112
19,43.813,12607.428,12607.428,13310.694,13310.694,3801.586,9509.109
20,46.582,12292.044,12292.044,13552.853,13552.853,3870.747,9682.106
21,49.353,12773.601,12773.601,13795.012,13795.012,3939.909,9855.103
22,52.125,13121.950,13121.950,14037.170,14037.170,4009.070,10028.100
23,54.899,13647.677,13647.677,14279.329,14279.329,4078.231,10201.097
24,57.674,13794.813,13794.813,14521.488,14521.487,4147.393,10374.095
25,60.451,14137.518,14137.518,14200.447,14200.435,4055.701,10144.746
26,63.230,13892.049,13892.049,13879.496,13879.384,3964.026,9915.471
27,66.011,13971.045,13971.045,13559.221,13558.332,3872.469,9686.752
28,68.793,14856.669,14856.669,13242.861,13237.280,3781.594,9461.267
29,71.577,15229.140,15229.140,12944.157,12916.228,3693.754,9250.403
30,74.362,15647.267,15647.267,12706.928,12595.176,3616.311,9090.617
31,77.149,16290.499,16290.499,12633.338,12274.124,3565.935,9067.403
32,79.938,16051.126,16051.126,12887.109,11953.072,3567.990,9319.119
33,82.728,15997.390,15997.390,13616.629,11632.021,3642.272,9974.357
34,85.520,15906.176,15906.176,14806.628,11310.969,3778.745,11027.883
35,88.313,16268.451,16268.451,16196.081,10989.917,3928.166,12267.916
36,91.109,16953.158,16953.158,17396.537,10668.865,4027.531,13369.006
37,93.905,17673.995,17673.995,18129.568,10347.813,4040.906,14088.662
38,96.703,17866.322,17866.322,18355.675,10026.761,3975.709,14379.966
39,99.503,17954.375,17954.375,18210.251,9705.709,3865.124,14345.127
40,102.305,18767.342,18767.342,18568.707,10083.678,3943.349,14625.359
41,105.108,18705.004,18705.004,18869.998,10461.647,4030.367,14839.631
42,107.912,18980.885,18980.885,19194.030,10839.616,4134.014,15060.017
43,110.718,19724.545,19724.545,19563.994,11217.584,4253.884,15310.111
44,113.526,20313.758,20313.758,19961.892,11595.553,4386.691,15575.201
