ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511
0,-4.986,0.000,0.000,0.000,0.000,0.000,0.000
1,-2.214,0.000,0.000,0.006,0.006,0.005,0.000
2,0.560,0.000,0.000,0.206,0.206,0.190,0.016
3,3.335,0.000,0.000,0.323,0.323,0.297,0.025
4,6.111,0.000,0.000,0.270,0.270,0.249,0.021
5,8.889,0.000,-0.007,0.320,0.320,0.295,0.025
6,11.669,1.417,1.417,0.318,0.318,0.293,0.025
7,14.450,0.834,0.834,0.316,0.316,0.291,0.025
8,17.232,6.338,6.338,8.663,8.663,7.983,0.680
9,20.016,22.071,22.071,16.963,16.963,15.631,1.332
10,22.802,42.337,42.337,25.293,25.293,23.306,1.987
11,25.589,42.344,42.344,33.628,33.628,30.986,2.641
12,28.377,38.610,38.610,41.949,41.949,38.654,3.295
13,31.167,59.646,59.646,50.277,50.277,46.328,3.949
14,33.958,57.502,57.502,58.599,58.599,53.996,4.603
15,36.751,56.502,56.502,59.139,59.139,54.494,4.645
16,39.546,54.063,54.063,59.685,59.685,54.997,4.688
17,42.341,70.991,70.991,60.228,60.228,55.497,4.731
18,45.138,64.602,64.602,60.771,60.771,55.997,4.773
19,47.937,54.430,54.430,61.314,61.314,56.498,4.816
20,50.737,33.861,33.861,61.859,61.859,57.000,4.859
21,53.539,44.501,44.501,62.405,62.405,57.503,4.902
22,56.342,55.444,55.444,62.950,62.950,58.005,4.945
23,59.146,48.371,48.371,63.496,63.496,58.509,4.988
24,61.952,64.803,64.803,64.045,64.045,59.015,5.031
25,64.759,69.839,69.839,61.175,61.175,56.370,4.805
26,67.567,67.422,67.422,58.302,58.302,53.723,4.580
27,70.377,65.666,65.666,55.427,55.426,51.073,4.354
28,73.188,56.788,56.788,52.552,52.547,48.424,4.128
29,76.001,43.255,43.255,49.698,49.669,45.793,3.906
30,78.815,52.083,52.083,46.935,46.792,43.240,3.695
31,81.631,76.903,76.903,44.476,43.915,40.949,3.527
32,84.447,70.500,70.500,42.807,41.033,39.339,3.468
33,87.266,69.493,69.493,42.713,38.139,39.086,3.627
34,90.085,60.292,60.292,44.925,35.227,40.820,4.104
35,92.906,66.737,66.737,49.439,32.296,44.542,4.898
36,95.728,62.522,62.522,55.093,29.356,49.249,5.844
37,98.552,45.824,45.824,60.045,26.423,53.358,6.687
38,101.377,51.421,51.421,62.897,23.505,55.661,7.236
