ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
0,-4.839,0.000,0.000,0.000,0.000,0.000,0.000
1,-2.048,0.000,0.000,0.160,0.160,0.160,0.000
2,0.743,0.000,0.000,0.319,0.319,0.319,0.000
3,3.535,0.000,0.000,0.479,0.479,0.479,0.000
4,6.328,0.000,0.000,0.639,0.639,0.639,0.000
5,9.122,28.700,28.700,1.234,0.798,1.234,0.000
6,11.916,280.100,280.100,49.426,0.958,49.426,0.000
7,14.711,1545.433,1545.433,901.411,1.117,901.411,0.000
8,17.507,5169.532,5169.532,4023.566,0.958,4023.566,0.000
9,20.304,21031.931,21031.931,11827.747,0.798,11827.747,0.000
10,23.101,120085.363,120085.363,65584.088,0.639,65584.088,0.000
11,25.899,280169.929,280169.929,277084.395,0.479,277084.395,0.000
12,28.697,474929.028,474929.028,476090.997,0.319,476090.997,0.000
13,31.497,403100.229,403100.229,332158.463,0.160,332158.463,0.000
14,34.297,199209.728,199209.728,163312.788,0.000,163312.788,0.000
15,37.098,65957.329,65957.329,74792.361,1177.372,74792.361,0.000
16,39.899,20709.461,20709.461,25220.822,2354.744,25220.822,0.000
17,42.701,12158.694,12158.694,14388.604,3532.116,14388.604,0.000
18,45.504,15631.561,15631.561,18123.392,4709.488,18123.392,0.000
19,48.308,22442.228,22442.228,24801.606,5886.860,24801.606,0.000
20,51.112,29015.094,29015.094,29731.180,7064.232,29731.180,0.000
21,53.917,29572.194,29572.194,29583.716,8241.604,29583.716,0.000
22,56.723,23985.961,23985.961,23395.082,7772.261,23395.082,0.000
23,59.529,19153.260,19153.260,17238.363,7302.919,17238.363,0.000
24,62.337,19927.627,19927.627,14167.922,6833.576,14167.922,0.000
25,65.144,22717.693,22717.693,14359.764,6364.234,14359.764,0.000
26,67.953,23589.526,23589.526,19159.951,5894.891,19159.951,0.000
27,70.762,25627.259,25627.259,34494.073,5425.549,34494.073,0.000
28,73.572,38623.025,38623.025,67557.233,4956.206,67557.233,0.000
29,76.383,74577.258,74577.258,113795.636,5049.634,113795.636,0.000
30,79.194,135295.057,135295.057,146704.025,5143.062,146704.025,0.000
31,82.006,191162.591,191162.591,140629.471,5236.490,140629.471,0.000
32,84.819,187575.525,187575.525,100557.829,5329.918,100557.829,0.000
33,87.632,122706.358,122706.358,55502.341,5423.346,55502.341,0.000
34,90.446,50891.025,50891.025,26389.418,5516.774,26389.418,0.000
35,93.261,16602.492,16602.492,13987.925,5610.202,13987.925,0.000
36,96.077,8954.159,8954.159,10158.976,5467.611,10158.976,0.000
37,98.893,7924.826,7924.826,9302.250,5325.021,9302.250,0.000
38,101.709,8336.660,8336.660,9223.012,5182.430,9223.012,0.000
39,104.527,8857.727,8857.727,9466.697,5039.839,9466.697,0.000
40,107.345,9401.460,9401.460,9980.611,4897.249,9980.611,0.000
41,110.164,10042.860,10042.860,10613.730,4754.658,10613.730,0.000
42,112.983,11687.993,11687.993,11048.320,4612.067,11048.320,0.000
43,115.804,12968.427,12968.427,11758.073,5233.741,11758.073,0.000
44,118.624,13745.526,13745.526,11948.766,5855.415,11948.766,0.000
45,121.446,13505.026,13505.026,11865.924,6477.089,11865.924,0.000
46,124.268,12645.226,12645.226,11822.100,7098.763,11822.100,0.000
47,127.091,12408.293,12408.293,11996.545,7720.437,11996.545,0.000
48,129.915,12221.492,12221.492,12400.091,8342.111,12400.091,0.000
49,132.739,13126.593,13126.593,12957.603,8963.784,12957.603,0.000
50,135.564,14477.859,14477.859,14670.156,10661.787,14670.156,0.000
51,138.389,15671.293,15671.293,16424.188,12359.790,16424.188,0.000
52,141.215,17564.326,17564.326,18220.792,14057.793,18220.792,0.000
53,144.042,19348.793,19348.793,20083.854,15755.796,20083.854,0.000
54,146.869,21485.425,21485.425,22039.505,17453.799,22039.505,0.000
55,149.698,23316.825,23316.825,24092.651,19151.802,24092.651,0.000
56,152.526,25521.859,25521.859,26204.622,20849.804,26204.622,0.000
57,155.356,26591.259,26591.259,25682.563,19944.560,25682.563,0.000
58,158.186,27883.925,27883.925,25013.948,19039.315,25013.948,0.000
59,161.017,26936.526,26936.526,24112.327,18134.070,24112.327,0.000
