ch,keV,net,fit,model,continuum_raw,Y-88
0,-13.080,0.000,0.000,0.000,0.000,0.000
1,-10.218,0.000,0.000,0.000,0.000,0.000
2,-7.355,0.000,0.000,0.000,0.000,0.000
3,-4.491,0.000,0.000,0.006,0.006,0.006
4,-1.626,0.000,0.000,0.254,0.254,0.254
5,1.239,0.133,0.133,2.072,2.072,2.072
6,4.105,2.067,2.067,2.267,2.267,2.267
7,6.972,17.956,17.956,2.629,2.629,2.629
8,9.839,33.022,33.022,17.597,17.597,17.597
9,12.708,74.956,74.956,32.482,32.482,32.482
10,15.577,86.244,86.244,47.510,47.510,47.510
11,18.447,84.622,84.622,62.334,62.334,62.334
12,21.317,91.022,91.022,77.410,77.410,77.410
13,24.189,99.822,99.822,92.384,92.384,92.384
14,27.061,67.822,67.822,107.329,107.329,107.329
15,29.933,86.556,86.556,105.226,105.226,105.226
16,32.807,98.311,98.311,103.095,103.095,103.095
17,35.681,90.133,90.133,100.938,100.938,100.938
18,38.556,109.711,109.711,98.708,98.708,98.708
19,41.432,90.489,90.489,96.578,96.578,96.578
20,44.308,92.733,92.733,94.476,94.476,94.476
21,47.185,92.467,92.467,92.283,92.283,92.283
22,50.063,99.644,99.644,94.226,94.226,94.226
23,52.941,115.178,115.178,96.188,96.188,96.188
24,55.821,87.756,87.756,98.173,98.173,98.173
25,58.701,86.800,86.800,100.162,100.162,100.162
26,61.581,121.022,121.022,102.147,102.147,102.147
27,64.463,115.511,115.511,104.146,104.146,104.146
28,67.345,86.689,86.689,106.159,106.157,106.159
29,70.228,109.511,109.511,104.266,104.246,104.266
30,73.111,95.711,95.711,102.448,102.314,102.448
31,75.996,102.733,102.733,101.009,100.349,101.009
32,78.881,102.689,102.689,100.775,98.316,100.775
33,81.766,123.244,123.244,103.110,96.138,103.110
34,84.653,127.356,127.356,109.059,93.751,109.059
35,87.540,98.000,98.000,117.838,91.204,117.838
36,90.427,133.778,133.778,123.797,85.850,123.797
37,93.316,118.556,118.556,126.936,80.668,126.936
38,96.205,118.778,118.778,126.555,75.691,126.555
39,99.095,115.156,115.156,123.778,70.852,123.778
40,101.985,123.311,123.311,119.912,66.075,119.912
41,104.877,113.911,113.911,115.624,61.316,115.624
42,107.769,110.333,110.333,111.124,56.561,111.124
43,110.661,129.289,129.289,116.760,62.077,116.760
44,113.555,109.022,109.022,122.299,67.593,122.299
45,116.449,136.689,136.689,127.739,73.108,127.739
46,119.343,131.156,131.156,133.089,78.624,133.089
47,122.239,153.200,153.200,138.373,84.139,138.373
48,125.135,166.333,166.333,143.590,89.655,143.590
49,128.031,135.067,135.067,148.725,95.171,148.725
50,130.929,138.244,138.244,149.346,96.229,149.346
51,133.827,150.867,150.867,149.990,97.287,149.990
52,136.726,148.556,148.556,150.743,98.345,150.743
53,139.625,140.200,140.200,151.653,99.403,151.653
54,142.525,169.289,169.289,152.733,100.461,152.733
55,145.426,141.556,141.556,153.984,101.519,153.984
56,148.327,161.911,161.911,155.370,102.577,155.370
57,151.229,145.511,145.511,156.738,103.571,156.738
58,154.132,186.956,186.956,158.044,104.565,158.044
59,157.036,150.689,150.689,159.235,105.558,159.235
60,159.940,151.022,151.022,160.352,106.552,160.352
