ch,keV,net,fit,model,continuum_raw,Cd-109,Esc-NaI,continuum
0,-6.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-3.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-1.072,0.000,0.000,0.080,0.075,0.079,0.001,0.000
3,1.745,0.000,0.000,2.162,1.415,2.151,0.012,0.000
4,4.564,0.000,0.000,8.470,2.411,8.449,0.020,0.000
5,7.384,3.125,3.125,16.178,1.711,16.164,0.014,0.000
6,10.206,155.625,155.625,30.469,1.451,30.456,0.012,0.000
7,13.029,1922.250,1922.250,523.989,1.655,523.975,0.014,0.000
8,15.854,6748.344,6748.344,5143.270,6.047,5143.218,0.051,0.000
9,18.680,8677.031,8677.031,12277.268,15.929,12277.110,0.158,0.000
10,21.508,8618.969,8618.969,8842.402,36.561,8841.804,0.598,0.000
11,24.337,6647.156,6647.156,4078.545,67.572,4076.476,2.069,0.000
12,27.168,2663.437,2663.437,1621.937,94.926,1617.112,4.825,0.000
13,30.000,498.469,498.469,408.422,87.609,402.473,5.949,0.000
14,32.834,66.000,66.000,87.413,52.552,83.563,3.850,0.000
15,35.669,65.000,65.000,55.100,52.277,51.199,3.900,0.000
16,38.506,85.750,85.750,71.626,70.896,66.257,5.369,0.000
17,41.344,101.344,101.344,95.513,95.031,88.206,7.307,0.000
18,44.184,69.875,69.875,120.483,119.864,111.075,9.408,0.000
19,47.025,118.594,118.594,146.257,144.871,134.234,12.022,0.000
20,49.868,169.969,169.969,174.307,169.941,157.523,16.784,0.000
21,52.712,255.312,255.312,208.886,195.021,181.020,27.866,0.000
22,55.557,347.656,347.656,248.270,213.548,199.100,49.170,0.000
23,58.404,313.250,313.250,294.290,232.075,218.780,75.510,0.000
24,61.253,302.625,302.625,327.982,250.601,240.979,87.003,0.000
25,64.103,340.312,340.312,336.243,269.128,265.476,70.767,0.000
26,66.954,283.344,283.344,330.685,287.655,290.827,39.858,0.000
27,69.806,311.344,311.344,331.814,306.182,316.292,15.522,0.000
28,72.660,399.500,399.500,348.404,324.709,344.198,4.206,0.000
29,75.516,397.562,397.562,467.282,427.021,466.464,0.818,0.000
30,78.373,642.281,642.281,617.858,529.334,617.746,0.112,0.000
31,81.231,1117.125,1117.125,825.385,631.646,825.374,0.011,0.000
32,84.091,2125.906,2125.906,1103.099,733.959,1103.098,0.001,0.000
33,86.952,3378.375,3378.375,1412.218,836.272,1412.218,0.000,0.000
34,89.814,4209.937,4209.937,1656.493,938.584,1656.493,0.000,0.000
35,92.678,3967.719,3967.719,1749.372,1040.897,1749.372,0.000,0.000
36,95.543,3009.531,3009.531,1444.121,892.198,1444.121,0.000,0.000
37,98.409,1532.531,1532.531,1082.632,743.498,1082.632,0.000,0.000
38,101.277,577.656,577.656,759.085,594.798,759.085,0.000,0.000
39,104.146,118.312,118.312,508.794,446.099,508.794,0.000,0.000
40,107.017,9.906,9.906,316.222,297.399,316.222,0.000,0.000
41,109.889,0.000,-1.344,153.137,148.700,153.137,0.000,0.000
42,112.762,0.000,-16.438,0.820,0.000,0.820,0.000,0.000
43,115.636,0.000,-14.844,0.119,0.000,0.119,0.000,0.000
44,118.512,0.000,-11.656,0.013,0.000,0.013,0.000,0.000
45,121.389,0.000,-4.875,0.001,0.000,0.001,0.000,0.000
46,124.268,0.000,-12.031,0.000,0.000,0.000,0.000,0.000
47,127.148,0.000,-12.750,0.000,0.000,0.000,0.000,0.000
48,130.029,0.000,-21.188,0.000,0.000,0.000,0.000,0.000
49,132.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,135.795,0.000,-8.781,0.000,0.000,0.000,0.000,0.000
51,138.679,0.000,-11.250,0.000,0.000,0.000,0.000,0.000
52,141.566,0.000,-19.875,0.000,0.000,0.000,0.000,0.000
53,144.453,0.000,-6.125,0.000,0.000,0.000,0.000,0.000
54,147.342,0.000,-22.625,0.000,0.000,0.000,0.000,0.000
55,150.232,4.094,4.094,0.000,0.000,0.000,0.000,0.000
56,153.123,5.562,5.562,0.000,0.000,0.000,0.000,0.000
57,156.016,17.531,17.531,0.000,0.000,0.000,0.000,0.000
58,158.909,0.000,-4.063,0.000,0.000,0.000,0.000,0.000
59,161.804,0.000,-5.313,0.000,0.000,0.000,0.000,0.000
60,164.701,0.000,-11.625,0.000,0.000,0.000,0.000,0.000
61,167.598,0.000,-8.563,0.000,0.000,0.000,0.000,0.000
62,170.497,13.906,13.906,0.000,0.000,0.000,0.000,0.000
63,173.397,8.562,8.562,0.000,0.000,0.000,0.000,0.000
64,176.298,0.000,-4.969,0.000,0.000,0.000,0.000,0.000
65,179.200,0.000,-6.063,0.000,0.000,0.000,0.000,0.000
66,182.104,0.000,-1.906,0.000,0.000,0.000,0.000,0.000
67,185.008,2.250,2.250,0.000,0.000,0.000,0.000,0.000
68,187.914,0.281,0.281,0.000,0.000,0.000,0.000,0.000
69,190.822,0.937,0.937,0.000,0.000,0.000,0.000,0.000
70,193.730,0.000,-0.469,0.000,0.000,0.000,0.000,0.000
71,196.639,0.000,-16.031,0.000,0.000,0.000,0.000,0.000
72,199.550,0.000,-15.688,0.000,0.000,0.000,0.000,0.000
73,202.462,0.000,-0.313,0.000,0.000,0.000,0.000,0.000
74,205.375,0.875,0.875,0.000,0.000,0.000,0.000,0.000
75,208.289,18.187,18.187,0.000,0.000,0.000,0.000,0.000
76,211.204,0.000,-17.750,0.000,0.000,0.000,0.000,0.000
77,214.121,0.000,-10.750,0.000,0.000,0.000,0.000,0.000
78,217.038,0.000,-3.500,0.000,0.000,0.000,0.000,0.000
79,219.957,5.969,5.969,0.000,0.000,0.000,0.000,0.000
80,222.877,0.000,-6.000,0.000,0.000,0.000,0.000,0.000
81,225.798,0.000,-16.375,0.000,0.000,0.000,0.000,0.000
82,228.720,2.125,2.125,0.000,0.000,0.000,0.000,0.000
83,231.643,0.000,-3.125,0.000,0.000,0.000,0.000,0.000
84,234.567,0.000,-4.094,0.000,0.000,0.000,0.000,0.000
85,237.493,0.000,-12.844,0.425,0.425,0.000,0.000,0.425
86,240.419,0.000,-5.875,0.850,0.850,0.000,0.000,0.850
87,243.347,4.094,4.094,1.275,1.275,0.000,0.000,1.275
88,246.276,9.937,9.937,1.700,1.700,0.000,0.000,1.700
