ch,keV,net,fit,model,continuum_raw,Co-60
0,3.087,0.000,0.000,0.000,0.000,0.000
1,5.830,0.000,0.000,0.236,0.236,0.236
2,8.574,0.000,0.000,0.471,0.471,0.471
3,11.320,0.000,0.000,0.707,0.707,0.707
4,14.067,0.000,0.000,0.942,0.942,0.942
5,16.816,4.125,4.125,1.178,1.178,1.178
6,19.566,31.625,31.625,1.413,1.413,1.413
7,22.318,191.250,191.250,1.649,1.649,1.649
8,25.071,1041.344,1041.344,1418.170,1418.170,1418.170
9,27.826,2316.031,2316.031,2834.692,2834.692,2834.692
10,30.582,4620.969,4620.969,4251.214,4251.214,4251.214
11,33.339,6550.156,6550.156,5667.735,5667.735,5667.735
12,36.099,8473.437,8473.437,7084.257,7084.257,7084.257
13,38.859,8778.469,8778.469,8500.779,8500.779,8500.779
14,41.621,8775.000,8775.000,9917.301,9917.301,9917.301
15,44.384,8970.000,8970.000,9844.661,9844.661,9844.661
16,47.149,9709.750,9709.750,9772.021,9772.021,9772.021
17,49.916,9693.343,9693.343,9699.381,9699.381,9699.381
18,52.683,9689.875,9689.875,9626.740,9626.740,9626.740
19,55.452,9813.593,9813.593,9554.100,9554.100,9554.100
20,58.223,9600.968,9600.968,9481.460,9481.460,9481.460
21,60.995,9353.312,9353.312,9408.820,9408.820,9408.820
22,63.768,9356.656,9356.656,9596.180,9596.180,9596.180
23,66.543,9941.250,9941.250,9783.540,9783.540,9783.540
24,69.319,9909.625,9909.625,9970.900,9970.900,9970.900
25,72.097,10133.312,10133.312,10158.263,10158.260,10158.263
26,74.876,10205.343,10205.343,10345.651,10345.620,10345.651
27,77.656,10429.343,10429.343,10533.213,10532.979,10533.213
28,80.438,10398.500,10398.500,10721.766,10720.339,10721.766
29,83.221,10375.562,10375.562,10520.995,10513.823,10520.995
30,86.005,10610.281,10610.281,10336.998,10307.306,10336.998
31,88.791,11106.124,11106.124,10202.389,10100.789,10202.389
32,91.578,11502.906,11502.906,10182.984,9894.273,10182.984
33,94.366,11637.375,11637.375,10373.294,9687.756,10373.294
34,97.156,11889.937,11889.937,10852.726,9481.240,10852.726
35,99.947,11570.718,11570.718,11612.474,9274.723,11612.474
36,102.740,11867.531,11867.531,12317.409,8871.080,12317.409
37,105.534,11932.531,11932.531,12948.439,8467.436,12948.439
38,108.329,12295.656,12295.656,13329.374,8063.793,13329.374
39,111.125,12817.312,12817.312,13410.384,7660.150,13410.384
40,113.923,12798.906,12798.906,13257.285,7256.506,13257.285
41,116.722,12763.656,12763.656,12975.365,6852.863,12975.365
42,119.522,13032.562,13032.562,12642.787,6449.220,12642.787
43,122.324,13318.156,13318.156,13029.455,6781.663,13029.455
44,125.127,13516.343,13516.343,13407.514,7114.106,13407.514
45,127.931,14046.124,14046.124,13780.922,7446.549,13780.922
46,130.737,14460.968,14460.968,14155.508,7778.992,14155.508
47,133.543,14824.249,14824.249,14535.404,8111.435,14535.404
48,136.351,14921.812,14921.812,14920.869,8443.878,14920.869
49,139.161,15072.999,15072.999,15309.369,8776.321,15309.369
50,141.971,15216.218,15216.218,15416.582,8829.109,15416.582
51,144.783,15113.749,15113.749,15515.115,8881.896,15515.115
52,147.596,15620.124,15620.124,15596.737,8934.684,15596.737
53,150.410,15728.874,15728.874,15655.076,8987.472,15655.076
54,153.226,15748.374,15748.374,15688.592,9040.259,15688.592
55,156.043,15757.093,15757.093,15701.719,9093.047,15701.719
56,158.861,15723.562,15723.562,15703.583,9145.834,15703.583
57,161.680,15991.531,15991.531,15861.738,9355.504,15861.738
58,164.500,15996.937,15996.937,16027.985,9565.174,16027.985
59,167.322,16257.687,16257.687,16206.830,9774.844,16206.830
60,170.145,16070.374,16070.374,16398.573,9984.514,16398.573
61,172.969,16617.437,16617.437,16601.101,10194.184,16601.101
62,175.794,16751.906,16751.906,16812.260,10403.854,16812.260
63,178.620,17181.562,17181.562,17031.323,10613.524,17031.323
64,181.448,17055.031,17055.031,17238.591,10803.183,17238.591
65,184.277,17420.937,17420.937,17453.580,10992.842,17453.580
66,187.106,17675.093,17675.093,17673.405,11182.500,17673.405
67,189.938,18131.249,18131.249,17893.215,11372.159,17893.215
68,192.770,18498.281,18498.281,18108.878,11561.818,18108.878
69,195.603,18614.937,18614.937,18320.305,11751.477,18320.305
70,198.438,19113.531,19113.531,18533.041,11941.135,18533.041
71,201.274,19549.968,19549.968,19814.429,13188.407,19814.429
72,204.110,20541.312,20541.312,21116.870,14435.678,21116.870
73,206.948,21814.687,21814.687,22446.290,15682.950,22446.290
74,209.788,22821.874,22821.874,23801.751,16930.221,23801.751
75,212.628,24035.187,24035.187,25175.307,18177.493,25175.307
76,215.469,26071.250,26071.250,26554.254,19424.764,26554.254
77,218.312,27935.250,27935.250,27924.703,20672.036,27924.703
78,221.155,30077.500,30077.500,29356.297,22000.510,29356.297
79,224.000,31661.968,31661.968,30760.991,23328.984,30760.991
80,226.846,33756.000,33756.000,32137.422,24657.458,32137.422
81,229.693,35179.625,35179.625,33488.955,25985.932,33488.955
