ch,keV,net,fit,model,continuum_raw,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
0,-3.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-0.687,0.000,0.000,0.131,0.131,0.049,0.067,0.010,0.004,0.001,0.000
2,2.066,0.000,0.000,0.263,0.263,0.098,0.134,0.021,0.007,0.003,0.000
3,4.820,0.000,0.000,0.394,0.394,0.147,0.201,0.031,0.011,0.004,0.000
4,7.576,0.000,0.000,0.525,0.525,0.196,0.268,0.042,0.015,0.005,0.000
5,10.333,0.000,-0.639,0.657,0.656,0.244,0.334,0.052,0.018,0.007,0.000
6,13.093,13.252,13.252,0.796,0.788,0.293,0.401,0.071,0.022,0.008,0.000
7,15.855,108.335,108.335,1.340,0.919,0.342,0.468,0.493,0.026,0.010,0.000
8,18.618,571.823,571.823,555.062,545.076,202.987,277.654,53.096,15.334,5.690,0.295
9,21.383,1237.835,1237.835,1194.408,1089.232,405.635,554.846,191.314,30.643,11.371,0.590
10,24.150,2430.286,2430.286,2119.318,1633.389,608.345,832.121,614.943,45.956,17.054,0.885
11,26.918,2877.151,2877.151,3250.087,2177.545,811.401,1109.870,1243.575,61.295,22.746,1.180
12,29.689,4034.530,4034.530,4154.680,2721.702,1015.240,1388.689,1644.096,76.693,28.460,1.477
13,32.461,4958.296,4958.296,4907.323,3265.858,1219.958,1668.695,1890.509,92.157,34.199,1.775
14,35.235,5943.219,5943.219,5854.884,3810.015,1425.671,1949.929,2329.526,107.687,39.962,2.074
15,38.011,6920.340,6920.340,6612.939,3741.596,1403.949,1919.137,3142.484,105.969,39.324,2.041
16,40.788,7630.966,7630.966,7626.057,3673.177,1390.230,1892.909,4197.821,104.339,38.715,2.009
17,43.567,7681.885,7681.885,8335.707,3604.758,1427.414,1898.136,4867.064,102.934,38.146,1.979
18,46.348,8174.476,8174.476,8530.780,3536.339,1753.844,2132.741,4501.694,102.878,37.631,1.951
19,49.131,7767.921,7767.921,8239.414,3467.920,2652.875,3044.103,2394.438,108.644,37.370,1.923
20,51.916,7532.862,7532.862,7504.522,3399.501,2880.780,3625.448,842.276,116.500,37.557,1.894
21,54.702,7491.989,7491.989,6689.854,3331.083,2535.504,3541.110,451.828,121.284,38.202,1.864
22,57.489,7663.430,7663.430,7272.397,4381.473,2683.334,3969.187,406.604,158.793,51.953,2.460
23,60.279,8384.570,8384.570,8199.037,5431.864,2976.862,4521.451,432.345,197.625,67.622,3.059
24,63.070,9461.176,9461.176,9647.375,6482.255,3409.276,5423.969,488.507,236.095,85.784,3.660
25,65.863,11966.564,11966.564,12337.844,7532.645,4038.000,7349.104,565.798,273.406,107.174,4.267
26,68.658,16230.794,16230.794,17508.589,8583.036,4942.160,11454.244,659.196,312.025,135.970,4.887
27,71.454,24130.089,24130.089,26019.832,9633.427,6075.189,18634.484,757.947,359.298,187.257,5.536
28,74.252,36676.446,36676.446,36710.203,10683.817,7152.437,27981.560,845.108,428.981,295.733,6.247
29,77.051,44751.462,44751.462,43971.231,9822.812,7068.386,35129.511,799.410,478.722,489.162,5.907
30,79.852,48908.905,48908.905,45878.482,8961.807,6479.789,37283.091,734.425,566.089,809.361,5.600
31,82.655,45937.811,45937.811,41804.163,8100.802,5663.446,33626.068,666.883,660.712,1181.646,5.291
32,85.460,37807.939,37807.939,34584.759,7239.796,4921.259,26911.234,607.432,709.561,1430.217,4.948
33,88.266,28295.759,28295.759,27469.590,6378.791,4322.204,20509.813,555.210,678.685,1399.008,4.572
34,91.073,21587.990,21587.990,21649.372,5517.786,3782.899,15677.591,504.369,584.110,1096.120,4.195
35,93.883,16887.440,16887.440,16684.289,4656.781,3245.269,11824.905,450.407,472.206,687.574,3.850
36,96.694,13286.853,13286.853,12965.722,4583.048,3092.122,8665.727,448.069,403.450,352.145,4.132
37,99.506,9620.602,9620.602,9944.235,4509.316,2979.371,6009.542,442.905,354.156,153.758,4.427
38,102.320,7241.849,7241.849,7938.159,4435.584,2907.081,4209.025,436.160,315.103,66.044,4.670
39,105.136,6310.580,6310.580,6885.636,4361.852,2861.499,3272.258,429.390,281.381,36.215,4.819
40,107.953,5993.199,5993.199,6453.031,4288.119,2828.406,2914.181,423.708,253.655,28.136,4.870
41,110.772,6152.388,6152.388,6315.044,4214.387,2798.522,2833.056,419.500,232.550,26.491,4.852
42,113.592,6357.895,6357.895,6269.386,4140.655,2767.664,2836.492,416.635,216.514,27.209,4.798
43,116.414,6914.871,6914.871,6585.406,4440.289,2917.021,2972.671,442.077,216.472,32.071,5.018
44,119.237,7254.706,7254.706,6844.466,4739.923,3067.889,3043.325,468.328,218.474,41.130,5.238
45,122.062,7273.144,7273.144,7045.661,5039.558,3221.685,3044.333,495.006,222.641,56.447,5.464
46,124.889,7360.747,7360.747,7220.782,5339.192,3377.547,3007.696,521.640,229.194,78.919,5.699
47,127.716,7447.115,7447.115,7409.218,5638.826,3533.394,2977.908,547.836,237.790,106.256,5.944
48,130.546,7655.642,7655.642,7631.906,5938.460,3687.670,2984.930,573.350,247.592,132.073,6.195
49,133.377,7941.113,7941.113,7883.766,6238.095,3839.696,3033.985,597.945,257.737,147.856,6.448
50,136.209,7677.887,7677.887,7740.377,6131.767,3791.474,2951.407,591.578,253.496,145.937,6.388
51,139.043,7343.114,7343.114,7593.390,6025.439,3740.262,2886.035,583.498,248.938,128.239,6.322
52,141.879,7383.188,7383.188,7440.604,5919.111,3686.470,2828.722,573.536,244.161,101.374,6.247
53,144.716,7003.338,7003.338,7288.452,5812.783,3631.325,2775.138,562.042,239.300,74.393,6.163
54,147.554,7037.113,7037.113,7144.587,5706.456,3576.029,2723.787,549.861,234.464,54.289,6.067
55,150.394,7166.794,7166.794,7013.679,5600.128,3520.772,2674.949,538.052,229.789,44.067,5.963
56,153.235,7050.584,7050.584,6897.616,5493.800,3464.677,2630.411,527.518,225.494,43.575,5.857
57,156.078,7070.552,7070.552,7039.904,5630.316,3524.687,2690.515,536.368,230.407,51.899,5.940
58,158.922,7238.930,7238.930,7197.338,5766.832,3582.535,2759.877,546.794,236.236,65.767,6.039
59,161.768,7442.380,7442.380,7367.446,5903.348,3639.168,2838.923,558.239,243.057,81.811,6.157
60,164.615,7454.700,7454.700,7545.105,6039.864,3696.350,2925.843,569.983,250.726,95.819,6.292
61,167.463,7784.466,7784.466,7723.861,6176.380,3756.077,3017.220,581.436,258.935,103.661,6.439
62,170.313,7728.068,7728.068,7898.523,6312.896,3820.054,3109.269,592.329,267.332,102.850,6.591
63,173.164,7912.870,7912.870,8067.060,6449.412,3889.220,3198.955,602.738,275.630,93.669,6.747
64,176.017,8122.636,8122.636,7888.325,6243.807,3797.271,3146.474,588.149,271.568,78.115,6.649
65,178.871,7644.118,7644.118,7706.701,6038.201,3708.822,3089.181,573.725,267.152,61.170,6.553
66,181.726,7787.905,7787.905,7524.227,5832.596,3621.659,3027.655,559.663,262.373,46.326,6.454
67,184.583,7250.135,7250.135,7342.677,5626.990,3533.620,2963.835,545.966,257.285,35.534,6.344
68,187.441,7250.622,7250.622,7164.655,5421.384,3443.356,2901.216,532.478,252.044,29.254,6.216
69,190.300,6816.842,6816.842,6994.443,5215.779,3350.657,2844.515,518.986,246.937,27.194,6.067
70,193.161,6735.016,6735.016,6837.443,5010.173,3256.186,2798.511,505.300,242.359,29.106,5.894
71,196.023,6372.775,6372.775,6586.448,4692.645,3106.475,2721.346,483.213,234.750,34.961,5.620
72,198.887,6370.749,6370.749,6355.811,4375.117,2956.424,2659.158,460.828,228.339,45.651,5.332
73,201.752,6416.234,6416.234,6146.519,4057.589,2805.962,2612.215,438.238,223.241,61.750,5.038
74,204.618,6018.838,6018.838,5963.500,3740.061,2654.591,2585.761,415.605,219.641,83.084,4.747
75,207.485,6260.528,6260.528,5826.769,3422.533,2501.808,2600.780,393.104,218.441,108.102,4.466
76,210.354,6162.954,6162.954,5787.520,3105.005,2347.484,2708.927,370.858,222.374,133.617,4.198
77,213.224,6585.776,6585.776,5945.044,2787.477,2192.012,3007.492,348.885,237.454,155.200,3.942
78,216.096,6979.003,6979.003,7351.616,3365.675,2474.443,4005.131,392.177,305.843,169.600,4.356
79,218.968,8435.420,8435.420,9314.175,3943.873,2760.767,5529.602,435.867,411.267,171.821,4.778
80,221.842,10402.710,10402.710,12037.809,4522.072,3054.914,7764.376,480.187,571.916,161.129,5.207
81,224.718,14283.347,14283.347,15650.627,5100.270,3362.687,10812.998,525.739,803.760,139.706,5.650
82,227.594,18929.540,18929.540,20104.846,5678.468,3692.173,14608.257,573.625,1112.677,111.899,6.119
83,230.472,25117.321,25117.321,25097.608,6256.666,4053.825,18842.893,625.475,1485.934,82.743,6.634
84,233.351,30975.430,30975.430,30062.168,6834.864,4460.005,22968.006,683.339,1887.027,56.460,7.217
85,236.231,34838.095,34838.095,34264.206,7413.062,4923.806,26289.243,749.433,2258.165,35.542,7.893
86,239.113,37119.531,37119.531,35645.195,6643.459,4677.296,27735.723,710.425,2493.582,20.535,7.517
87,241.996,36201.276,36201.276,35087.471,5873.856,4422.238,27394.360,670.309,2582.373,10.943,7.137
88,244.880,33452.393,33452.393,32529.650,5104.253,4141.130,25251.996,626.406,2497.915,5.378,6.722
89,247.765,28660.252,28660.252,28337.145,4334.649,3817.441,21683.617,575.949,2251.366,2.436,6.241
90,250.651,22671.328,22671.328,23178.100,3565.046,3440.606,17325.911,516.815,1887.996,1.017,5.669
91,253.539,17208.193,17208.193,17810.776,2795.443,3010.451,12874.693,448.245,1471.923,0.392,4.998
92,256.428,12480.957,12480.957,12875.193,2025.840,2538.362,8894.875,371.161,1066.360,0.139,4.235
93,259.318,8604.106,8604.106,8765.473,1256.237,2043.682,5712.698,287.882,717.720,0.046,3.399
94,262.209,6400.172,6400.172,6502.035,1379.774,2272.801,3465.833,308.668,451.078,0.014,3.591
95,265.102,5157.764,5157.764,5113.470,1503.312,2528.115,1986.864,331.496,263.162,0.004,3.776
96,267.995,4520.057,4520.057,4410.606,1626.850,2802.693,1103.982,357.400,142.518,0.001,3.956
97,270.890,4411.938,4411.938,4178.019,1750.388,3082.441,632.452,387.291,71.646,0.000,4.129
98,273.786,4456.988,4456.988,4227.325,1873.926,3347.114,420.881,421.537,33.435,0.000,4.296
99,276.683,4598.809,4598.809,4418.880,1997.464,3573.988,366.285,459.600,14.485,0.000,4.456
100,279.581,4749.193,4749.193,4662.430,2121.002,3743.354,408.739,499.834,5.825,0.000,4.611
101,282.481,4652.170,4652.170,4907.943,2244.540,3844.019,517.331,539.585,2.175,0.000,4.763
102,285.381,4712.546,4712.546,4919.399,2153.845,3698.730,666.116,549.083,0.753,0.000,4.650
103,288.283,4811.233,4811.233,4905.764,2063.149,3497.816,851.344,551.759,0.242,0.000,4.537
104,291.186,4805.764,4805.764,4868.045,1972.454,3262.203,1055.763,545.513,0.072,0.000,4.428
105,294.090,4848.283,4848.283,4805.954,1881.759,3015.703,1256.074,529.770,0.020,0.000,4.324
106,296.995,4781.212,4781.212,4714.248,1791.063,2779.401,1424.906,505.650,0.005,0.000,4.224
107,299.901,4424.321,4424.321,4583.462,1700.368,2567.781,1535.815,475.677,0.001,0.000,4.128
108,302.808,4519.011,4519.011,4404.057,1609.673,2387.398,1569.443,443.123,0.000,0.000,4.036
109,305.717,4165.027,4165.027,4171.670,1518.977,2237.881,1518.566,411.223,0.000,0.000,3.944
110,308.626,3944.898,3944.898,3890.800,1428.282,2114.287,1390.093,382.513,0.000,0.000,3.853
111,311.536,3701.273,3701.273,3638.254,1400.635,2063.841,1204.109,366.409,0.000,0.000,3.840
112,314.448,3509.120,3509.120,3370.998,1372.987,2026.007,985.803,355.307,0.000,0.000,3.826
113,317.361,3030.603,3030.603,3110.300,1345.340,1995.148,762.720,348.568,0.000,0.000,3.810
114,320.274,2811.460,2811.460,2873.761,1317.693,1967.306,557.675,344.933,0.000,0.000,3.793
115,323.189,2626.617,2626.617,2672.171,1290.045,1940.113,385.350,342.879,0.000,0.000,3.775
116,326.105,2417.752,2417.752,2508.842,1262.398,1912.435,251.662,340.932,0.000,0.000,3.759
117,329.022,2376.692,2376.692,2381.030,1234.751,1883.983,155.342,337.907,0.000,0.000,3.745
118,331.940,2189.195,2189.195,2282.438,1207.103,1854.967,90.630,333.056,0.000,0.000,3.734
119,334.859,2300.425,2300.425,2205.714,1179.456,1825.832,49.977,326.131,0.000,0.000,3.723
120,337.779,2217.050,2217.050,2140.641,1148.222,1793.940,26.047,316.897,0.000,0.000,3.707
121,340.700,2123.278,2123.278,2085.745,1116.988,1762.796,12.831,306.381,0.000,0.000,3.688
122,343.622,2014.905,2014.905,2037.608,1085.753,1732.586,5.975,295.337,0.000,0.000,3.661
123,346.545,1959.567,1959.567,1994.104,1054.519,1703.275,2.630,284.527,0.000,0.000,3.625
124,349.469,1989.375,1989.375,1953.945,1023.285,1674.659,1.094,274.570,0.000,0.000,3.575
125,352.394,1967.217,1967.217,1916.308,992.051,1646.457,0.431,265.866,0.000,0.000,3.509
126,355.320,1847.630,1847.630,1880.613,960.816,1618.408,0.160,258.574,0.000,0.000,3.426
127,358.247,1868.910,1868.910,1846.407,929.582,1590.335,0.056,252.648,0.000,0.000,3.324
128,361.174,1793.405,1793.405,1813.317,898.348,1562.158,0.019,247.893,0.000,0.000,3.204
129,364.103,1791.770,1791.770,1780.998,867.113,1533.848,0.006,244.035,0.000,0.000,3.067
130,367.033,1688.136,1688.136,1754.557,841.352,1510.128,0.002,241.464,0.000,0.000,2.922
131,369.964,1732.392,1732.392,1728.083,815.591,1486.066,0.000,239.208,0.000,0.000,2.766
132,372.896,1651.408,1651.408,1701.041,789.830,1461.366,0.000,237.029,0.000,0.000,2.604
133,375.829,1700.711,1700.711,1672.813,764.069,1435.588,0.000,234.745,0.000,0.000,2.439
134,378.762,1698.244,1698.244,1642.743,738.307,1408.197,0.000,232.230,0.000,0.000,2.275
135,381.697,1668.257,1668.257,1610.207,712.546,1378.632,0.000,229.418,0.000,0.000,2.117
136,384.632,1555.428,1555.428,1574.678,686.785,1346.382,0.000,226.289,0.000,0.000,1.967
137,387.569,1544.777,1544.777,1535.778,661.024,1311.050,0.000,222.861,0.000,0.000,1.828
138,390.506,1502.669,1502.669,1493.311,635.262,1272.395,0.000,219.178,0.000,0.000,1.700
139,393.445,1505.249,1505.249,1447.276,609.501,1230.351,0.000,215.302,0.000,0.000,1.584
140,396.384,1421.634,1421.634,1421.199,607.072,1205.440,0.000,214.212,0.000,0.000,1.508
141,399.324,1359.719,1359.719,1392.140,604.643,1177.583,0.000,213.076,0.000,0.000,1.443
142,402.265,1334.490,1334.490,1360.678,602.214,1147.276,0.000,211.976,0.000,0.000,1.387
143,405.207,1308.984,1308.984,1327.566,599.785,1115.181,0.000,211.006,0.000,0.000,1.339
144,408.150,1240.445,1240.445,1293.703,597.356,1082.095,0.000,210.269,0.000,0.000,1.299
145,411.093,1286.540,1286.540,1260.090,594.928,1048.893,0.000,209.893,0.000,0.000,1.266
146,414.038,1184.685,1184.685,1227.770,592.499,1016.460,0.000,210.033,0.000,0.000,1.237
147,416.983,1206.519,1206.519,1197.754,590.070,985.621,0.000,210.881,0.000,0.000,1.214
148,419.929,1137.964,1137.964,1170.956,587.641,957.064,0.000,212.659,0.000,0.000,1.194
149,422.876,1133.361,1133.361,1148.111,585.212,931.289,0.000,215.606,0.000,0.000,1.178
150,425.824,1188.351,1188.351,1129.722,582.783,908.574,0.000,219.946,0.000,0.000,1.165
151,428.773,1135.495,1135.495,1113.411,577.766,886.706,0.000,225.518,0.000,0.000,1.150
152,431.723,1099.990,1099.990,1101.647,572.749,867.794,0.000,232.678,0.000,0.000,1.138
153,434.673,1111.303,1111.303,1093.966,567.731,851.518,0.000,241.285,0.000,0.000,1.127
154,437.624,1102.003,1102.003,1089.578,562.714,837.446,0.000,250.978,0.000,0.000,1.118
155,440.577,1049.618,1049.618,1087.430,557.697,825.111,0.000,261.173,0.000,0.000,1.110
