arm;line_kev;node_kev;bin;dep_kev;peak;compton;esc_se;esc_xray;esc_de;esc_lx;total
direct_peakw0_rayl2;100.000;100.0000;0;0.00;0.000000E+000;4.370266E-006;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;4.370266E-006
direct_peakw0_rayl2;100.000;100.0000;1;2.00;0.000000E+000;1.005405E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.005405E-005
direct_peakw0_rayl2;100.000;100.0000;2;4.00;0.000000E+000;1.690520E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.690520E-005
direct_peakw0_rayl2;100.000;100.0000;3;6.00;0.000000E+000;2.100279E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.100279E-005
direct_peakw0_rayl2;100.000;100.0000;4;8.00;0.000000E+000;2.711670E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.711670E-005
direct_peakw0_rayl2;100.000;100.0000;5;10.00;0.000000E+000;2.821765E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.821765E-005
direct_peakw0_rayl2;100.000;100.0000;6;12.00;0.000000E+000;3.298236E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.298236E-005
direct_peakw0_rayl2;100.000;100.0000;7;14.00;0.000000E+000;3.751440E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.751440E-005
direct_peakw0_rayl2;100.000;100.0000;8;16.00;0.000000E+000;5.163128E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;5.163128E-005
direct_peakw0_rayl2;100.000;100.0000;9;18.00;0.000000E+000;1.154870E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.154870E-004
direct_peakw0_rayl2;100.000;100.0000;10;20.00;0.000000E+000;1.438207E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.438207E-004
direct_peakw0_rayl2;100.000;100.0000;11;22.00;0.000000E+000;3.504375E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.504375E-004
direct_peakw0_rayl2;100.000;100.0000;12;24.00;0.000000E+000;7.167453E-004;0.000000E+000;3.089434E-007;0.000000E+000;0.000000E+000;7.170542E-004
direct_peakw0_rayl2;100.000;100.0000;13;26.00;0.000000E+000;4.100476E-004;0.000000E+000;2.438995E-008;0.000000E+000;0.000000E+000;4.100720E-004
direct_peakw0_rayl2;100.000;100.0000;14;28.00;0.000000E+000;7.938479E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.938479E-005
direct_peakw0_rayl2;100.000;100.0000;15;30.00;0.000000E+000;8.482306E-005;0.000000E+000;2.730540E-007;0.000000E+000;0.000000E+000;8.509611E-005
direct_peakw0_rayl2;100.000;100.0000;16;32.00;0.000000E+000;2.561261E-004;0.000000E+000;6.027931E-008;0.000000E+000;0.000000E+000;2.561864E-004
direct_peakw0_rayl2;100.000;100.0000;17;34.00;0.000000E+000;2.073560E-004;0.000000E+000;6.063040E-007;0.000000E+000;0.000000E+000;2.079623E-004
direct_peakw0_rayl2;100.000;100.0000;18;36.00;0.000000E+000;3.639203E-005;0.000000E+000;9.352507E-007;0.000000E+000;0.000000E+000;3.732728E-005
direct_peakw0_rayl2;100.000;100.0000;19;38.00;0.000000E+000;2.201315E-005;0.000000E+000;2.595254E-006;0.000000E+000;0.000000E+000;2.460841E-005
direct_peakw0_rayl2;100.000;100.0000;20;40.00;0.000000E+000;2.657388E-005;0.000000E+000;4.944920E-006;0.000000E+000;0.000000E+000;3.151880E-005
direct_peakw0_rayl2;100.000;100.0000;21;42.00;0.000000E+000;3.253926E-005;0.000000E+000;8.458700E-006;0.000000E+000;0.000000E+000;4.099796E-005
direct_peakw0_rayl2;100.000;100.0000;22;44.00;0.000000E+000;5.424637E-005;0.000000E+000;1.543875E-005;0.000000E+000;0.000000E+000;6.968512E-005
direct_peakw0_rayl2;100.000;100.0000;23;46.00;0.000000E+000;1.038119E-004;0.000000E+000;1.976460E-005;0.000000E+000;0.000000E+000;1.235765E-004
direct_peakw0_rayl2;100.000;100.0000;24;48.00;0.000000E+000;1.498575E-004;0.000000E+000;2.066241E-005;0.000000E+000;0.000000E+000;1.705199E-004
direct_peakw0_rayl2;100.000;100.0000;25;50.00;0.000000E+000;1.992530E-004;0.000000E+000;3.238688E-005;0.000000E+000;0.000000E+000;2.316399E-004
direct_peakw0_rayl2;100.000;100.0000;26;52.00;0.000000E+000;2.163879E-004;0.000000E+000;2.626782E-005;0.000000E+000;0.000000E+000;2.426557E-004
direct_peakw0_rayl2;100.000;100.0000;27;54.00;0.000000E+000;4.845675E-003;0.000000E+000;6.949204E-005;0.000000E+000;0.000000E+000;4.915167E-003
direct_peakw0_rayl2;100.000;100.0000;28;56.00;0.000000E+000;2.983088E-003;0.000000E+000;2.602773E-005;0.000000E+000;0.000000E+000;3.009116E-003
direct_peakw0_rayl2;100.000;100.0000;29;58.00;0.000000E+000;9.299217E-005;0.000000E+000;2.412500E-005;0.000000E+000;0.000000E+000;1.171172E-004
direct_peakw0_rayl2;100.000;100.0000;30;60.00;0.000000E+000;1.224273E-004;0.000000E+000;3.375855E-005;0.000000E+000;0.000000E+000;1.561859E-004
direct_peakw0_rayl2;100.000;100.0000;31;62.00;0.000000E+000;1.363223E-003;0.000000E+000;3.192541E-005;0.000000E+000;0.000000E+000;1.395149E-003
direct_peakw0_rayl2;100.000;100.0000;32;64.00;0.000000E+000;2.068901E-003;0.000000E+000;8.890214E-005;0.000000E+000;0.000000E+000;2.157803E-003
direct_peakw0_rayl2;100.000;100.0000;33;66.00;0.000000E+000;3.566988E-005;0.000000E+000;8.720042E-005;0.000000E+000;0.000000E+000;1.228703E-004
direct_peakw0_rayl2;100.000;100.0000;34;68.00;0.000000E+000;4.807578E-005;0.000000E+000;4.204786E-004;0.000000E+000;0.000000E+000;4.685544E-004
direct_peakw0_rayl2;100.000;100.0000;35;70.00;0.000000E+000;4.243484E-005;0.000000E+000;4.780541E-004;0.000000E+000;0.000000E+000;5.204890E-004
