arm;line_kev;node_kev;bin;dep_kev;peak;compton;esc_se;esc_xray;esc_de;esc_lx;total
direct_peakw0_seed1;100.000;100.0000;0;0.00;0.000000E+000;5.426915E-006;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;5.426915E-006
direct_peakw0_seed1;100.000;100.0000;1;2.00;0.000000E+000;1.121438E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.121438E-005
direct_peakw0_seed1;100.000;100.0000;2;4.00;0.000000E+000;1.463046E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.463046E-005
direct_peakw0_seed1;100.000;100.0000;3;6.00;0.000000E+000;2.164350E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.164350E-005
direct_peakw0_seed1;100.000;100.0000;4;8.00;0.000000E+000;2.404473E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.404473E-005
direct_peakw0_seed1;100.000;100.0000;5;10.00;0.000000E+000;2.704002E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.704002E-005
direct_peakw0_seed1;100.000;100.0000;6;12.00;0.000000E+000;2.710764E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.710764E-005
direct_peakw0_seed1;100.000;100.0000;7;14.00;0.000000E+000;3.743839E-005;0.000000E+000;2.839733E-007;0.000000E+000;0.000000E+000;3.772236E-005
direct_peakw0_seed1;100.000;100.0000;8;16.00;0.000000E+000;5.578322E-005;0.000000E+000;4.935999E-008;0.000000E+000;0.000000E+000;5.583258E-005
direct_peakw0_seed1;100.000;100.0000;9;18.00;0.000000E+000;1.127056E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.127056E-004
direct_peakw0_seed1;100.000;100.0000;10;20.00;0.000000E+000;1.519213E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.519213E-004
direct_peakw0_seed1;100.000;100.0000;11;22.00;0.000000E+000;3.575338E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.575338E-004
direct_peakw0_seed1;100.000;100.0000;12;24.00;0.000000E+000;7.014817E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.014817E-004
direct_peakw0_seed1;100.000;100.0000;13;26.00;0.000000E+000;4.468017E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;4.468017E-004
direct_peakw0_seed1;100.000;100.0000;14;28.00;0.000000E+000;8.050704E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;8.050704E-005
direct_peakw0_seed1;100.000;100.0000;15;30.00;0.000000E+000;7.720873E-005;0.000000E+000;2.799679E-007;0.000000E+000;0.000000E+000;7.748870E-005
direct_peakw0_seed1;100.000;100.0000;16;32.00;0.000000E+000;2.498443E-004;0.000000E+000;5.336543E-008;0.000000E+000;0.000000E+000;2.498976E-004
direct_peakw0_seed1;100.000;100.0000;17;34.00;0.000000E+000;1.841454E-004;0.000000E+000;6.097530E-007;0.000000E+000;0.000000E+000;1.847552E-004
direct_peakw0_seed1;100.000;100.0000;18;36.00;0.000000E+000;3.260202E-005;0.000000E+000;1.157922E-006;0.000000E+000;0.000000E+000;3.375995E-005
direct_peakw0_seed1;100.000;100.0000;19;38.00;0.000000E+000;2.243394E-005;0.000000E+000;2.808929E-006;0.000000E+000;0.000000E+000;2.524287E-005
direct_peakw0_seed1;100.000;100.0000;20;40.00;0.000000E+000;2.458006E-005;0.000000E+000;8.168498E-006;0.000000E+000;0.000000E+000;3.274856E-005
direct_peakw0_seed1;100.000;100.0000;21;42.00;0.000000E+000;2.927275E-005;0.000000E+000;1.365566E-005;0.000000E+000;0.000000E+000;4.292841E-005
direct_peakw0_seed1;100.000;100.0000;22;44.00;0.000000E+000;4.450145E-005;0.000000E+000;1.468381E-005;0.000000E+000;0.000000E+000;5.918526E-005
direct_peakw0_seed1;100.000;100.0000;23;46.00;0.000000E+000;9.511325E-005;0.000000E+000;1.730667E-005;0.000000E+000;0.000000E+000;1.124199E-004
direct_peakw0_seed1;100.000;100.0000;24;48.00;0.000000E+000;1.530589E-004;0.000000E+000;2.326734E-005;0.000000E+000;0.000000E+000;1.763262E-004
direct_peakw0_seed1;100.000;100.0000;25;50.00;0.000000E+000;2.117682E-004;0.000000E+000;3.560073E-005;0.000000E+000;0.000000E+000;2.473689E-004
direct_peakw0_seed1;100.000;100.0000;26;52.00;0.000000E+000;2.343573E-004;0.000000E+000;2.806759E-005;0.000000E+000;0.000000E+000;2.624249E-004
direct_peakw0_seed1;100.000;100.0000;27;54.00;0.000000E+000;4.893824E-003;0.000000E+000;6.867210E-005;0.000000E+000;0.000000E+000;4.962496E-003
direct_peakw0_seed1;100.000;100.0000;28;56.00;0.000000E+000;3.052969E-003;0.000000E+000;3.270641E-005;0.000000E+000;0.000000E+000;3.085675E-003
direct_peakw0_seed1;100.000;100.0000;29;58.00;0.000000E+000;1.011485E-004;0.000000E+000;2.413614E-005;0.000000E+000;0.000000E+000;1.252846E-004
direct_peakw0_seed1;100.000;100.0000;30;60.00;0.000000E+000;1.258428E-004;0.000000E+000;3.115026E-005;0.000000E+000;0.000000E+000;1.569930E-004
direct_peakw0_seed1;100.000;100.0000;31;62.00;0.000000E+000;1.295100E-003;0.000000E+000;2.957317E-005;0.000000E+000;0.000000E+000;1.324674E-003
direct_peakw0_seed1;100.000;100.0000;32;64.00;0.000000E+000;2.027700E-003;0.000000E+000;8.572737E-005;0.000000E+000;0.000000E+000;2.113428E-003
direct_peakw0_seed1;100.000;100.0000;33;66.00;0.000000E+000;3.914954E-005;0.000000E+000;9.818961E-005;0.000000E+000;0.000000E+000;1.373391E-004
direct_peakw0_seed1;100.000;100.0000;34;68.00;0.000000E+000;4.820446E-005;0.000000E+000;4.414695E-004;0.000000E+000;0.000000E+000;4.896739E-004
direct_peakw0_seed1;100.000;100.0000;35;70.00;0.000000E+000;4.327828E-005;0.000000E+000;4.836669E-004;0.000000E+000;0.000000E+000;5.269451E-004
direct_peakw0_seed1;100.000;100.0000;36;72.00;0.000000E+000;3.494968E-005;0.000000E+000;2.700484E-004;0.000000E+000;0.000000E+000;3.049980E-004
direct_peakw0_seed1;100.000;100.0000;37;74.00;0.000000E+000;5.094684E-005;0.000000E+000;8.938042E-007;0.000000E+000;0.000000E+000;5.184065E-005
direct_peakw0_seed1;100.000;100.0000;38;76.00;0.000000E+000;1.021787E-004;0.000000E+000;1.991063E-006;0.000000E+000;0.000000E+000;1.041698E-004
direct_peakw0_seed1;100.000;100.0000;39;78.00;0.000000E+000;1.375845E-004;0.000000E+000;2.681291E-006;0.000000E+000;0.000000E+000;1.402658E-004
direct_peakw0_seed1;100.000;100.0000;40;80.00;0.000000E+000;1.489664E-004;0.000000E+000;2.306919E-006;0.000000E+000;0.000000E+000;1.512734E-004
direct_peakw0_seed1;100.000;100.0000;41;82.00;0.000000E+000;1.596967E-004;0.000000E+000;1.808776E-006;0.000000E+000;0.000000E+000;1.615054E-004
direct_peakw0_seed1;100.000;100.0000;42;84.00;0.000000E+000;1.702905E-004;0.000000E+000;1.081007E-006;0.000000E+000;0.000000E+000;1.713715E-004
direct_peakw0_seed1;100.000;100.0000;43;86.00;0.000000E+000;1.894736E-004;0.000000E+000;1.667729E-006;0.000000E+000;0.000000E+000;1.911414E-004
direct_peakw0_seed1;100.000;100.0000;44;88.00;0.000000E+000;1.957174E-004;0.000000E+000;2.043946E-006;0.000000E+000;0.000000E+000;1.977614E-004
direct_peakw0_seed1;100.000;100.0000;45;90.00;0.000000E+000;2.251538E-004;0.000000E+000;2.049627E-006;0.000000E+000;0.000000E+000;2.272035E-004
direct_peakw0_seed1;100.000;100.0000;46;92.00;0.000000E+000;2.504177E-004;0.000000E+000;1.267598E-006;0.000000E+000;0.000000E+000;2.516853E-004
direct_peakw0_seed1;100.000;100.0000;47;94.00;0.000000E+000;3.083927E-004;0.000000E+000;3.667081E-006;0.000000E+000;0.000000E+000;3.120597E-004
direct_peakw0_seed1;100.000;100.0000;48;96.00;0.000000E+000;3.424691E-004;0.000000E+000;1.295981E-005;0.000000E+000;9.086820E-007;3.563376E-004
direct_peakw0_seed1;100.000;100.0000;49;98.00;0.000000E+000;3.554149E-004;0.000000E+000;3.136123E-005;0.000000E+000;9.131804E-008;3.868674E-004
direct_peakw0_seed1;100.000;100.0000;50;100.00;1.994092E-002;1.975147E-004;0.000000E+000;2.220122E-006;0.000000E+000;0.000000E+000;2.014065E-002
direct_peakw0_seed1;200.000;200.0000;0;0.00;0.000000E+000;8.840745E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;8.840745E-005
direct_peakw0_seed1;200.000;200.0000;1;2.00;0.000000E+000;1.053873E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.053873E-004
direct_peakw0_seed1;200.000;200.0000;2;4.00;0.000000E+000;1.255020E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.255020E-004
direct_peakw0_seed1;200.000;200.0000;3;6.00;0.000000E+000;1.430366E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.430366E-004
direct_peakw0_seed1;200.000;200.0000;4;8.00;0.000000E+000;1.122658E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.122658E-004
direct_peakw0_seed1;200.000;200.0000;5;10.00;0.000000E+000;1.293037E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.293037E-004
direct_peakw0_seed1;200.000;200.0000;6;12.00;0.000000E+000;1.226130E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.226130E-004
direct_peakw0_seed1;200.000;200.0000;7;14.00;0.000000E+000;1.348716E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.348716E-004
direct_peakw0_seed1;200.000;200.0000;8;16.00;0.000000E+000;1.429528E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.429528E-004
direct_peakw0_seed1;200.000;200.0000;9;18.00;0.000000E+000;1.587217E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.587217E-004
direct_peakw0_seed1;200.000;200.0000;10;20.00;0.000000E+000;1.733313E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.733313E-004
direct_peakw0_seed1;200.000;200.0000;11;22.00;0.000000E+000;2.478563E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.478563E-004
direct_peakw0_seed1;200.000;200.0000;12;24.00;0.000000E+000;4.307942E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;4.307942E-004
direct_peakw0_seed1;200.000;200.0000;13;26.00;0.000000E+000;3.532651E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.532651E-004
