arm;line_kev;node_kev;bin;dep_kev;peak;compton;esc_se;esc_xray;esc_de;esc_lx;total
direct_peakw0_seed1;40.000;40.0000;0;0.00;0.000000E+000;0.000000E+000;0.000000E+000;4.429453E-007;0.000000E+000;0.000000E+000;4.429453E-007
direct_peakw0_seed1;40.000;40.0000;1;2.00;0.000000E+000;3.122882E-007;0.000000E+000;1.389823E-006;0.000000E+000;0.000000E+000;1.702111E-006
direct_peakw0_seed1;40.000;40.0000;2;4.00;0.000000E+000;8.459653E-007;0.000000E+000;2.862546E-006;0.000000E+000;0.000000E+000;3.708511E-006
direct_peakw0_seed1;40.000;40.0000;3;6.00;0.000000E+000;1.406315E-006;0.000000E+000;4.463571E-005;0.000000E+000;0.000000E+000;4.604203E-005
direct_peakw0_seed1;40.000;40.0000;4;8.00;0.000000E+000;4.673725E-007;0.000000E+000;7.152158E-005;0.000000E+000;0.000000E+000;7.198895E-005
direct_peakw0_seed1;40.000;40.0000;5;10.00;0.000000E+000;5.176896E-007;0.000000E+000;1.479083E-004;0.000000E+000;0.000000E+000;1.484259E-004
direct_peakw0_seed1;40.000;40.0000;6;12.00;0.000000E+000;6.397547E-007;0.000000E+000;2.716672E-004;0.000000E+000;0.000000E+000;2.723069E-004
direct_peakw0_seed1;40.000;40.0000;7;14.00;0.000000E+000;4.772809E-007;0.000000E+000;4.002546E-007;0.000000E+000;0.000000E+000;8.775355E-007
direct_peakw0_seed1;40.000;40.0000;8;16.00;0.000000E+000;2.611765E-008;0.000000E+000;5.050525E-007;0.000000E+000;0.000000E+000;5.311702E-007
direct_peakw0_seed1;40.000;40.0000;9;18.00;0.000000E+000;6.405490E-007;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.405490E-007
direct_peakw0_seed1;40.000;40.0000;10;20.00;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000
direct_peakw0_seed1;40.000;40.0000;11;22.00;0.000000E+000;5.468553E-007;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;5.468553E-007
direct_peakw0_seed1;40.000;40.0000;12;24.00;0.000000E+000;6.808471E-007;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.808471E-007
direct_peakw0_seed1;40.000;40.0000;13;26.00;0.000000E+000;5.653338E-007;0.000000E+000;1.367867E-007;0.000000E+000;0.000000E+000;7.021205E-007
direct_peakw0_seed1;40.000;40.0000;14;28.00;0.000000E+000;2.069638E-007;0.000000E+000;1.965466E-007;0.000000E+000;0.000000E+000;4.035104E-007
direct_peakw0_seed1;40.000;40.0000;15;30.00;0.000000E+000;4.562463E-007;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;4.562463E-007
direct_peakw0_seed1;40.000;40.0000;16;32.00;0.000000E+000;3.174645E-006;0.000000E+000;5.099881E-008;0.000000E+000;0.000000E+000;3.225644E-006
direct_peakw0_seed1;40.000;40.0000;17;34.00;0.000000E+000;7.927601E-006;0.000000E+000;1.464919E-006;0.000000E+000;5.370125E-008;9.446222E-006
direct_peakw0_seed1;40.000;40.0000;18;36.00;0.000000E+000;1.677484E-005;0.000000E+000;5.484083E-006;0.000000E+000;1.612965E-006;2.387189E-005
direct_peakw0_seed1;40.000;40.0000;19;38.00;0.000000E+000;6.611376E-005;0.000000E+000;1.692011E-005;0.000000E+000;0.000000E+000;8.303387E-005
direct_peakw0_seed1;40.000;40.0000;20;40.00;2.248559E-003;5.694544E-005;0.000000E+000;1.079891E-006;0.000000E+000;0.000000E+000;2.306584E-003
direct_peakw0_seed1;60.000;60.0000;0;0.00;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000
direct_peakw0_seed1;60.000;60.0000;1;2.00;0.000000E+000;2.089570E-008;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.089570E-008
direct_peakw0_seed1;60.000;60.0000;2;4.00;0.000000E+000;3.124376E-007;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.124376E-007
direct_peakw0_seed1;60.000;60.0000;3;6.00;0.000000E+000;2.968961E-007;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.968961E-007
direct_peakw0_seed1;60.000;60.0000;4;8.00;0.000000E+000;1.358874E-006;0.000000E+000;4.408122E-007;0.000000E+000;0.000000E+000;1.799686E-006
direct_peakw0_seed1;60.000;60.0000;5;10.00;0.000000E+000;2.815466E-006;0.000000E+000;2.258545E-007;0.000000E+000;0.000000E+000;3.041320E-006
direct_peakw0_seed1;60.000;60.0000;6;12.00;0.000000E+000;1.149838E-006;0.000000E+000;3.264344E-007;0.000000E+000;0.000000E+000;1.476272E-006
direct_peakw0_seed1;60.000;60.0000;7;14.00;0.000000E+000;1.179798E-006;0.000000E+000;1.608641E-006;0.000000E+000;0.000000E+000;2.788439E-006
direct_peakw0_seed1;60.000;60.0000;8;16.00;0.000000E+000;1.991288E-007;0.000000E+000;3.982575E-007;0.000000E+000;0.000000E+000;5.973863E-007
direct_peakw0_seed1;60.000;60.0000;9;18.00;0.000000E+000;3.152633E-007;0.000000E+000;2.837370E-006;0.000000E+000;0.000000E+000;3.152633E-006
direct_peakw0_seed1;60.000;60.0000;10;20.00;0.000000E+000;2.818125E-007;0.000000E+000;1.481343E-006;0.000000E+000;0.000000E+000;1.763155E-006
direct_peakw0_seed1;60.000;60.0000;11;22.00;0.000000E+000;6.274695E-007;0.000000E+000;5.368863E-006;0.000000E+000;0.000000E+000;5.996332E-006
direct_peakw0_seed1;60.000;60.0000;12;24.00;0.000000E+000;1.087879E-007;0.000000E+000;4.167409E-006;0.000000E+000;0.000000E+000;4.276197E-006
direct_peakw0_seed1;60.000;60.0000;13;26.00;0.000000E+000;0.000000E+000;0.000000E+000;3.003419E-005;0.000000E+000;0.000000E+000;3.003419E-005
direct_peakw0_seed1;60.000;60.0000;14;28.00;0.000000E+000;4.570529E-009;0.000000E+000;7.021595E-005;0.000000E+000;0.000000E+000;7.022052E-005
direct_peakw0_seed1;60.000;60.0000;15;30.00;0.000000E+000;4.776948E-007;0.000000E+000;6.638966E-005;0.000000E+000;0.000000E+000;6.686735E-005
direct_peakw0_seed1;60.000;60.0000;16;32.00;0.000000E+000;5.177347E-007;0.000000E+000;2.045052E-004;0.000000E+000;0.000000E+000;2.050230E-004
direct_peakw0_seed1;60.000;60.0000;17;34.00;0.000000E+000;3.194499E-007;0.000000E+000;6.388998E-007;0.000000E+000;0.000000E+000;9.583497E-007
direct_peakw0_seed1;60.000;60.0000;18;36.00;0.000000E+000;7.188276E-008;0.000000E+000;8.576620E-008;0.000000E+000;0.000000E+000;1.576490E-007
direct_peakw0_seed1;60.000;60.0000;19;38.00;0.000000E+000;2.753340E-007;0.000000E+000;2.753340E-007;0.000000E+000;0.000000E+000;5.506680E-007
