call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,28,21,840,0,19,0,1.0237727678533068E-08,102.37727678533068,-550782.08939643973,-2.8398567267791402E-15,-2.7739131338039797E-07,3.1320723792305216E-11,0
2,28,21,840,0,19,0,1.0237727678533068E-08,102.37727678533068,-550782.08939643973,-2.8398567267791402E-15,-2.7739131338039797E-07,3.1320723792305216E-11,0
3,28,21,840,0,19,0,1.0166143508241327E-08,101.66143508241326,-461269.92934441869,-2.0825725457990046E-15,-2.0485374263217296E-07,3.7402969610411674E-11,0
4,28,21,840,0,19,0,1.0155150392195135E-08,101.55150392195134,-455103.44932006305,-2.2329929719416544E-15,-2.1988773043261362E-07,1.4480860954790842E-11,0
5,28,21,840,0,19,0,1.0237727678533068E-08,102.37727678533068,-550532.72142260685,-2.3980238183948136E-15,-2.3423399153535786E-07,3.3850255931611173E-11,0
6,28,21,840,0,19,0,1.0166119635979865E-08,101.66119635979865,-460292.39544132707,-1.7637439488560632E-15,-1.7349234634361688E-07,3.0198066269804258E-12,0
7,28,21,840,0,19,0,1.0155042383210842E-08,101.55042383210841,-454283.27614971151,-1.8844790380392976E-15,-1.8557077035491991E-07,2.6389557206130121E-11,0
8,30,21,900,0,19,0,1.0237727678533068E-08,102.37727678533068,-554976.316869696,-7.0180019683240994E-16,-6.8550387241103947E-08,4.1996628397100721E-11,0
9,30,21,900,0,19,0,1.0178612531543304E-08,101.78612531543303,-480975.17176518642,-5.9941043679605635E-16,-5.8889208616449065E-08,4.5560000216937624E-11,0
10,30,21,900,0,19,0,1.017153618473159E-08,101.7153618473159,-474198.35360892134,-5.9853738457452958E-16,-5.8844345013783577E-08,9.4516394710808527E-11,0
11,30,21,900,0,19,0,1.0237727678533068E-08,102.37727678533068,-554948.79429298651,-7.1006197110643263E-16,-6.9357380211951022E-08,5.2736481848114636E-11,0
12,30,21,900,0,19,0,1.0183865764242655E-08,101.83865764242655,-481208.14320240589,-6.0795521230338292E-16,-5.9697881568512091E-08,3.2045477382780518E-11,0
13,30,21,900,0,19,0,1.0177778474318779E-08,101.77778474318779,-474440.48329586297,-6.0672903476689049E-16,-5.961311068990428E-08,1.7365664461976849E-11,0
14,30,21,900,0,19,0,1.0237727678533068E-08,102.37727678533068,-554941.5441814675,-7.1257778318269309E-16,-6.9603119516146E-08,4.7720050133648328E-11,0
15,30,21,900,0,19,0,1.0185827826549805E-08,101.85827826549804,-481291.17179557611,-6.1049585544455223E-16,-5.9935811388178793E-08,1.0022205287896213E-11,0
16,30,21,900,0,19,0,1.0179931817253378E-08,101.79931817253377,-474532.66851098713,-6.0923427334071772E-16,-5.9846596644995376E-08,5.4136251037562033E-11,0
17,23,21,690,0,19,0,1.0237727678533068E-08,102.37727678533068,-554941.5441814675,-2.8757002543386516E-09,-0.28089243478985582,4.7720050133648328E-11,0
18,23,21,690,0,19,0,1.0185827826549805E-08,101.85827826549804,-481291.17179557611,-2.4168474295580108E-09,-0.23727550383861706,1.0022205287896213E-11,0
19,23,21,690,0,19,0,1.0179931817253378E-08,101.79931817253377,-474532.66851098713,-2.4012526668892924E-09,-0.23588101669006742,5.4136251037562033E-11,0
