keV,response
0.000,2.50000000E-005
1.000,6.00000000E-005
2.000,6.50000000E-005
3.000,8.50000000E-005
4.000,7.00000000E-005
5.000,8.50000000E-005
6.000,8.00000000E-005
7.000,8.00000000E-005
8.000,4.00000000E-005
9.000,7.50000000E-005
10.000,8.00000000E-005
11.000,4.00000000E-005
12.000,6.00000000E-005
13.000,8.00000000E-005
14.000,5.50000000E-005
15.000,5.50000000E-005
16.000,7.00000000E-005
17.000,8.00000000E-005
18.000,9.00000000E-005
19.000,1.90000000E-004
20.000,1.00000000E-004
21.000,1.30000000E-004
22.000,2.60000000E-004
23.000,2.85000000E-004
24.000,1.40000000E-004
25.000,1.55000000E-004
26.000,1.20000000E-004
27.000,7.50000000E-005
28.000,9.50000000E-005
29.000,1.20000000E-004
30.000,5.00000000E-005
31.000,1.70000000E-004
32.000,4.50000000E-005
33.000,1.35000000E-004
34.000,1.20000000E-004
35.000,6.00000000E-005
36.000,4.50000000E-005
37.000,4.00000000E-005
38.000,7.00000000E-005
39.000,6.50000000E-005
40.000,4.00000000E-005
41.000,4.50000000E-005
42.000,1.50000000E-005
43.000,3.50000000E-005
44.000,4.50000000E-005
45.000,3.50000000E-005
46.000,7.50000000E-005
47.000,7.50000000E-005
48.000,9.50000000E-005
49.000,1.10000000E-004
50.000,1.30000000E-004
51.000,1.95000000E-004
52.000,2.10000000E-004
53.000,1.58000000E-003
54.000,2.99000000E-003
55.000,7.00000000E-005
56.000,3.00000000E-005
57.000,8.00000000E-005
58.000,5.00000000E-005
59.000,6.00000000E-005
60.000,7.50000000E-005
61.000,1.00000000E-004
62.000,1.76000000E-003
63.000,3.50000000E-005
64.000,4.00000000E-005
65.000,2.50000000E-005
66.000,6.00000000E-005
67.000,5.00000000E-005
68.000,4.00000000E-005
69.000,4.00000000E-005
70.000,9.50000000E-005
71.000,3.00000000E-005
72.000,8.00000000E-005
73.000,5.50000000E-005
74.000,6.00000000E-005
75.000,8.00000000E-005
76.000,3.50000000E-005
77.000,5.50000000E-005
78.000,4.50000000E-005
79.000,8.00000000E-005
80.000,2.50000000E-005
81.000,9.00000000E-005
82.000,5.00000000E-005
83.000,6.00000000E-005
84.000,4.50000000E-005
85.000,9.00000000E-005
86.000,5.00000000E-005
87.000,9.50000000E-005
88.000,8.50000000E-005
89.000,6.00000000E-005
90.000,4.50000000E-005
91.000,5.50000000E-005
92.000,3.50000000E-005
93.000,6.50000000E-005
94.000,4.50000000E-005
95.000,4.00000000E-005
96.000,4.00000000E-005
97.000,3.50000000E-005
98.000,3.50000000E-005
99.000,3.50000000E-005
100.000,4.00000000E-005
101.000,5.00000000E-005
102.000,6.00000000E-005
103.000,2.50000000E-005
104.000,2.50000000E-005
105.000,2.50000000E-005
106.000,3.50000000E-005
107.000,6.50000000E-005
108.000,6.00000000E-005
109.000,3.00000000E-005
110.000,8.00000000E-005
111.000,3.50000000E-005
112.000,8.00000000E-005
113.000,5.50000000E-005
114.000,1.00000000E-004
115.000,7.50000000E-005
116.000,7.50000000E-005
117.000,1.25000000E-004
118.000,7.50000000E-005
119.000,1.25000000E-004
120.000,6.50000000E-005
121.000,1.00000000E-004
122.000,1.20000000E-004
123.000,1.05000000E-004
124.000,1.25000000E-004
125.000,1.00000000E-004
126.000,8.00000000E-005
127.000,1.40000000E-004
128.000,1.65000000E-004
129.000,1.50000000E-004
130.000,8.50000000E-005
131.000,8.00000000E-005
132.000,6.50000000E-005
133.000,1.15000000E-004
134.000,1.30000000E-004
135.000,1.15000000E-004
136.000,1.15000000E-004
137.000,1.55000000E-004
138.000,1.05000000E-004
139.000,1.00000000E-004
140.000,1.00000000E-004
141.000,1.00000000E-004
142.000,1.40000000E-004
143.000,1.05000000E-004
144.000,1.40000000E-004
145.000,1.40000000E-004
146.000,1.15000000E-004
147.000,1.05000000E-004
148.000,1.05000000E-004
149.000,1.20000000E-004
150.000,1.45000000E-004
151.000,1.05000000E-004
152.000,1.10000000E-004
153.000,1.15000000E-004
154.000,1.45000000E-004
155.000,1.20000000E-004
156.000,1.20000000E-004
157.000,1.60000000E-004
158.000,9.00000000E-005
159.000,2.00000000E-004
160.000,1.20000000E-004
161.000,1.55000000E-004
162.000,1.65000000E-004
163.000,1.20000000E-004
164.000,1.50000000E-004
165.000,1.65000000E-004
166.000,1.20000000E-004
167.000,2.95000000E-004
168.000,1.55000000E-004
169.000,7.15000000E-004
170.000,1.95000000E-004
171.000,4.40000000E-004
172.000,3.65000000E-004
173.000,1.90000000E-004
174.000,1.25000000E-004
175.000,1.75000000E-004
176.000,1.90000000E-004
177.000,1.35000000E-004
178.000,2.25000000E-004
179.000,1.20000000E-004
180.000,2.00000000E-004
181.000,1.20000000E-004
182.000,2.00000000E-004
183.000,2.05000000E-004
184.000,1.90000000E-004
185.000,1.65000000E-004
186.000,1.80000000E-004
187.000,1.70000000E-004
188.000,1.90000000E-004
189.000,2.20000000E-004
190.000,1.65000000E-004
191.000,1.55000000E-004
192.000,1.50000000E-004
193.000,1.55000000E-004
194.000,2.50000000E-004
195.000,2.05000000E-004
196.000,1.75000000E-004
197.000,2.35000000E-004
198.000,1.50000000E-004
199.000,2.25000000E-004
200.000,5.80472364E-002
