call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,32,21,960,0,19,0,1.0354196853321835E-08,103.54196853321835,-562304.8990285102,-1.7821498222205466E-10,-0.017211859572177218,2.0122570276726037E-11,0
2,32,21,960,0,19,0,1.0354196853321835E-08,103.54196853321835,-562304.8990285102,-1.7821498222205466E-10,-0.017211859572177218,2.0122570276726037E-11,0
3,32,21,960,0,19,0,1.0282218446674605E-08,102.82218446674605,-471489.77320075396,-5.2180821895577486E-11,-0.0050748602712728207,1.404032445861958E-11,0
4,32,21,960,0,19,0,1.0270703061892316E-08,102.70703061892316,-465473.42635670939,-4.6656914067043595E-11,-0.0045427186226574962,6.8993699642305728E-12,0
5,32,21,960,0,19,0,1.0354196853321835E-08,103.54196853321835,-561934.70167916047,-1.390944785136469E-10,-0.013433632804559108,2.4854784896888305E-11,0
6,32,21,960,0,19,0,1.0282181448005816E-08,102.82181448005817,-470099.26942207274,-2.7043636264764226E-11,-0.0026301457916801515,1.6179058093257481E-11,0
7,32,21,960,0,19,0,1.0270530465894095E-08,102.70530465894095,-464332.8441324936,-2.2299880402808936E-11,-0.0021712491362409522,2.6339819214626914E-11,0
8,33,24,990,0,21,0,1.0354196853321835E-08,103.54196853321835,-566637.506751964,8.5000803493124458E-09,0.82093092006314794,2.6162183530686889E-11,0
9,33,24,990,0,21,0,1.0295075367621955E-08,102.95075367621955,-492637.30641705275,6.1802546396505766E-09,0.60031174313570324,2.9622526653838577E-11,0
10,33,24,990,0,21,0,1.0287688214649775E-08,102.87688214649775,-485828.73537402955,5.8028495047017996E-09,0.56405767589636724,2.1280754936015E-11,0
11,33,24,990,0,21,0,1.0354196853321835E-08,103.54196853321835,-566609.86738012161,8.6005967382256912E-09,0.83063871201815587,4.82458517581108E-11,0
12,33,24,990,0,21,0,1.0300474104172124E-08,103.00474104172123,-492857.24978305533,6.3156549427801527E-09,0.61314216014795353,4.0955683289212175E-11,0
13,33,24,990,0,21,0,1.0294099023003E-08,102.94099023003001,-486056.94639009476,5.9338866064398184E-09,0.57643574179537871,7.5004891186836176E-11,0
14,33,25,990,0,21,0,1.0354196853321835E-08,103.54196853321835,-566600.56374996225,8.6165999826633352E-09,0.832184292488022,3.3907099350471981E-11,0
15,33,24,990,0,21,0,1.0302345125025063E-08,103.02345125025063,-492923.53516631003,6.3433131510428521E-09,0.61571545837991137,9.7770680440589786E-12,0
16,33,24,990,0,21,0,1.029630091794773E-08,102.9630091794773,-486129.85914949514,5.9600102335451071E-09,0.57884965494317187,4.9183768169314135E-11,0
17,24,24,720,0,21,0,1.0354196853321835E-08,103.54196853321835,-566591.34953899414,-2.150721615141668E-05,-2077.1496288982307,3.3494984563731123E-11,0
18,24,23,720,0,21,0,1.0302357614910549E-08,103.02357614910549,-492911.63612256141,-1.0717895857182205E-05,-1040.3342863647297,1.4686207805425511E-10,0
19,24,23,720,0,21,0,1.0296315962228943E-08,102.96315962228942,-486110.85620814544,-1.061882336856777E-05,-1031.3226019405304,4.5457682062988169E-10,0
