call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,32,21,960,0,18,0,8.4540145714298819E-09,84.540145714298816,-562481.62614629336,-4.7080693195936042E-14,-5.56903383571682E-06,3.5072389437118545E-11,0
2,32,21,960,0,18,0,8.4540145714298819E-09,84.540145714298816,-562481.62614629336,-4.7080693195936042E-14,-5.56903383571682E-06,3.5072389437118545E-11,0
3,32,20,960,0,18,0,8.4467284369916632E-09,84.467284369916626,-462151.30772512255,2.3211773429945752E-09,0.27480193785196105,4.8558490561845247E-11,0
4,32,20,960,0,18,0,8.4466851353879182E-09,84.466851353879179,-456371.65759683371,2.2933924868210942E-09,0.27151390753430388,5.0903281589853577E-11,0
5,32,21,960,0,18,0,8.4540145714298819E-09,84.540145714298816,-560170.77469730668,6.9142990346855534E-09,0.81787167224104906,1.014512918118271E-10,0
6,32,22,960,0,19,0,8.4467323518295111E-09,84.4673235182951,-454805.15218100528,-3.7126702070082266E-14,-4.3953922681166582E-06,8.8391516328556463E-12,0
7,32,22,960,0,19,0,8.44670802656055E-09,84.4670802656055,-449814.76064548304,-4.3318268927954774E-14,-5.12842030193788E-06,1.0908252079389058E-10,0
8,31,22,930,0,19,0,8.4540145714298819E-09,84.540145714298816,-565986.78926190885,1.5065967255464843E-13,1.7821080302345209E-05,2.3741719701320108E-10,0
9,31,21,930,0,19,0,8.4476739987751234E-09,84.47673998775123,-482517.07276359422,7.4946760313218933E-09,0.88718812212788856,6.2158278524293564E-11,0
10,31,21,930,0,19,0,8.4475318544676913E-09,84.475318544676909,-476614.16216947115,5.1227782153634218E-09,0.606423071687396,5.7212901083403267E-11,0
11,31,22,930,0,19,0,8.4540145714298819E-09,84.540145714298816,-565929.4232789817,1.5652246336695761E-13,1.8514572224173958E-05,3.6924774349245126E-10,0
12,31,21,930,0,19,0,8.4480422311428314E-09,84.480422311428313,-482535.55602734716,7.5012903223131378E-09,0.88793238919431638,7.8912876233516727E-11,0
13,31,21,930,0,19,0,8.44808115279374E-09,84.4808115279374,-476664.68181863992,5.1135685440062188E-09,0.60529349227607576,8.1143980423803441E-12,0
14,31,22,930,0,19,0,8.4540145714298819E-09,84.540145714298816,-565913.00576001685,1.582083426665243E-13,1.8713989824572246E-05,5.3338666816671321E-10,0
15,31,21,930,0,19,0,8.4481502793880973E-09,84.481502793880964,-482561.12127006269,7.5156864066889714E-09,0.88962508456150891,6.5512040237081237E-12,0
16,31,21,930,0,19,0,8.4481651812750764E-09,84.481651812750769,-476683.95972921193,5.1320472861762828E-09,0.60747478015122169,1.3771739304502262E-10,0
17,22,21,660,0,18,0,8.4540145714298819E-09,84.540145714298816,-565912.09980572306,-1.1722225984941298E-06,-138.65869151156008,2.7810642677650321E-11,0
18,22,21,660,0,19,0,8.4481501254442581E-09,84.481501254442577,-482582.238222126,-8.6393981105045876E-06,-1022.6378535206572,4.3627323975670151E-11,0
19,22,21,660,0,19,0,8.448165113968366E-09,84.481651139683663,-476685.82167220541,-9.180479198891197E-06,-1086.6832116848673,6.3280936046794523E-11,0
