call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,34,21,1020,0,19,0,1.0354196853321835E-08,103.54196853321835,-562396.674975874,-1.4277733655053255E-19,-1.3789320270140191E-11,1.8616219676914625E-11,0
2,34,21,1020,0,19,0,1.0354196853321835E-08,103.54196853321835,-562396.674975874,-1.4277733655053255E-19,-1.3789320270140191E-11,1.8616219676914625E-11,0
3,34,21,1020,0,19,0,5.6541941445633136E-09,56.541941445633135,-221055.65256160466,4.0522728794313978E-09,0.7166844250170975,2.0431656366781681E-11,0
4,34,21,1020,0,19,0,5.6141575122402692E-09,56.141575122402692,-220864.93547561381,4.6856191042179419E-09,0.83460770275898366,7.879208396843751E-11,0
5,34,21,1020,0,19,0,1.0354196853321835E-08,103.54196853321835,-561930.53073930077,-9.3584888210752648E-20,-9.0383531949876663E-12,5.89039927945123E-11,0
6,34,21,1020,0,19,0,5.6542177915014278E-09,56.542177915014278,-220645.12852303043,4.4983420571196021E-09,0.79557283129079948,8.3453244315023767E-12,0
7,34,21,1020,0,19,0,5.6142041439426345E-09,56.142041439426343,-220401.82303238841,4.9191906534034326E-09,0.87620444987041,6.66773303237278E-11,0
8,33,25,990,0,22,0,1.0354196853321835E-08,103.54196853321835,-566808.47656238242,9.5213969948018453E-09,0.91956885982394565,2.2071148464419821E-08,0
9,33,27,990,0,23,0,5.7052533992294657E-09,57.052533992294656,-235132.28544913468,3.1908581375366634E-09,0.55928420952654112,2.0478591267192314E-08,0
10,33,27,990,0,23,0,5.647335910726695E-09,56.473359107266944,-236896.63350112279,3.1832550335572828E-09,0.56367375411668474,2.2316847037018306E-08,0
11,33,25,990,0,22,0,1.0354196853321835E-08,103.54196853321835,-566786.13336501922,9.5205136680996227E-09,0.919483548841864,1.9939997031315215E-07,0
12,33,27,990,0,23,0,5.71908362778566E-09,57.1908362778566,-235209.24962953324,3.1884455410159723E-09,0.55750986495899324,1.3754995364934075E-08,0
13,33,27,990,0,23,0,5.6596100270241846E-09,56.596100270241848,-236956.55233499149,3.182629242304376E-09,0.56234073144749841,6.8008532139174349E-09,0
14,33,25,990,0,22,0,1.0354196853321835E-08,103.54196853321835,-566778.366893271,9.5290841177328341E-09,0.92031127597073947,5.0203851742480765E-08,0
15,33,27,990,0,23,0,5.7233938855670739E-09,57.233938855670736,-235220.81568081284,3.19081025577763E-09,0.55750317374172553,5.1295003800078121E-09,0
16,33,27,990,0,23,0,5.662893281667871E-09,56.628932816678706,-237008.61010729466,3.1855196482623875E-09,0.562525106834464,2.9750815144780063E-08,0
17,24,23,720,0,21,0,1.0354196853321835E-08,103.54196853321835,-566771.78804386826,-2.4308600377155772E-05,-2347.7050631268503,1.1068834737670841E-10,0
18,24,24,720,0,22,0,5.7233911077105707E-09,57.2339110771057,-234969.79713088542,-10.548564029780096,-1843061889.5795951,8.0952133885148214E-11,0
19,24,23,720,0,21,0,5.6628945842051122E-09,56.628945842051124,-236747.56473722321,-7.9452375746288939E-08,-14.030346947989583,2.1174173525650986E-10,0
