call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,48,35,1440,0,29,0,6.5080267013550282E-09,65.080267013550284,-567510.10142217588,-1.0183667416092004E-19,-1.5647857458808021E-11,1.8216894659417449E-10,0
2,48,35,1440,0,29,0,6.5080267013550282E-09,65.080267013550284,-567510.10142217588,-1.0183667416092004E-19,-1.5647857458808021E-11,1.8216894659417449E-10,0
3,48,35,1440,0,31,0,6.4830424945920573E-09,64.830424945920569,-481439.91214339872,-7.74300272021127E-20,-1.1943470564430558E-11,1.0345502232667059E-11,0
4,48,35,1440,0,31,0,6.4796798190735661E-09,64.796798190735657,-477751.93362782866,-8.7688610791879671E-20,-1.3532861690752024E-11,2.9771740628348198E-12,0
5,48,35,1440,0,28,0,6.5080267013550282E-09,65.080267013550284,-569509.47922067053,-2.5467872326093233E-17,-3.9133017571655938E-09,4.3343106881366111E-13,0
6,48,35,1440,0,30,0,6.4823928252944156E-09,64.823928252944157,-497052.32731089572,-1.1530251098281406E-17,-1.7787029279204054E-09,2.2666313270747196E-12,0
7,48,35,1440,0,30,0,6.47950929826918E-09,64.7950929826918,-492234.99975028203,-1.1619073606294144E-17,-1.7932027058588922E-09,1.7124079931818414E-12,0
8,47,40,1410,0,31,0,6.5080267013550282E-09,65.080267013550284,-570370.17201899772,-5.1130154069919749E-14,-7.8564757669592839E-06,7.08505609736676E-09,0
9,47,42,1410,0,33,0,6.4788613652236224E-09,64.788613652236222,-504403.08047301474,-5.7901434352947746E-14,-8.9369768990186189E-06,4.3881229316866666E-08,0
10,47,42,1410,0,34,0,6.4750120322133088E-09,64.750120322133085,-499650.26110954,-5.5556310099663337E-14,-8.5801091678702113E-06,2.5682339810373378E-08,0
11,47,40,1410,0,31,0,6.5080267013550282E-09,65.080267013550284,-570398.30513622,-5.2990444229589679E-14,-8.14232126898874E-06,5.3222301232835889E-08,0
12,47,42,1410,0,33,0,6.4787335222182606E-09,64.7873352221826,-504395.07132095104,-6.0257546059543587E-14,-9.30082181230259E-06,4.6847006274219893E-09,0
13,47,42,1410,0,33,0,6.4747682141024077E-09,64.747682141024072,-499598.22329055914,-5.7996436901604215E-14,-8.95729931695234E-06,2.8209967695147498E-09,0
14,47,40,1410,0,31,0,6.5080267013550282E-09,65.080267013550284,-570403.45363008021,-5.5333238513611874E-14,-8.5023066211592228E-06,6.987323786233901E-08,0
15,47,42,1410,0,33,0,6.4786561980596643E-09,64.786561980596645,-504368.75104737317,-6.2886061823242764E-14,-9.70665210511972E-06,1.1743594541258062E-08,0
16,47,42,1410,0,33,0,6.474701313783739E-09,64.747013137837385,-499561.967301262,-6.0523924448337248E-14,-9.347755443095148E-06,1.6394935187236115E-08,0
17,38,37,1140,0,30,0,6.5080267013550282E-09,65.080267013550284,-570394.13940536708,-7.61808932138279E-06,-1170.5682338083579,3.3713831726345234E-10,0
18,38,39,1140,0,32,0,6.478665288331421E-09,64.7866528833142,-504350.15378665976,-0.048732609635585789,-7522013.7893768027,1.6124488411151106E-09,0
19,38,39,1140,0,32,0,6.4747141616544652E-09,64.747141616544653,-499556.24651636073,-0.049749124043557913,-7683601.5925134923,4.297930900065694E-10,0
