call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,21,19,630,0,17,0,1.0354196853321835E-08,103.54196853321835,-547820.67715084448,-4.4567341090668253E-13,-4.3042779388891132E-05,5.6843418860808015E-14,0
2,21,19,630,0,17,0,1.0354196853321835E-08,103.54196853321835,-547820.67715084448,-4.4567341090668253E-13,-4.3042779388891132E-05,5.6843418860808015E-14,0
3,21,19,630,0,17,0,1.0298687348972485E-08,102.98687348972484,-428194.78797674325,-1.7487463570587988E-13,-1.6980283970202025E-05,1.1368683772161603E-13,0
4,21,19,630,0,17,0,1.0285368188242285E-08,102.85368188242285,-422458.67401690257,-2.0161901732563673E-13,-1.9602508499026553E-05,5.6843418860808015E-14,0
5,21,19,630,0,17,0,1.0354196853321835E-08,103.54196853321835,-545663.44588282006,-3.1280802633384957E-09,-0.3021074746454086,1.1368683772161603E-13,0
6,21,19,630,0,17,0,1.0293886180879457E-08,102.93886180879456,-427540.44117102923,-1.2083987277070148E-09,-0.1173899445237285,1.1368683772161603E-13,0
7,21,19,630,0,17,0,1.028186584725252E-08,102.8186584725252,-421910.91651153285,-1.3624531889395974E-09,-0.13251030592892504,1.1368683772161603E-13,0
8,21,20,630,0,18,0,1.0354196853321835E-08,103.54196853321835,-548914.45376527612,-0.032179995575459919,-3107918.077212906,3.8757264064770425E-10,0
9,21,20,630,0,18,0,1.0309651089201846E-08,103.09651089201846,-439171.58719630842,-0.014155366579537809,-1373020.915747954,1.6373746802855749E-10,0
10,21,20,630,0,18,0,1.0301883248255842E-08,103.01883248255842,-430988.06125320226,-0.013438074023426533,-1304428.8796130226,7.8458128882630263E-11,0
11,21,20,630,0,18,0,1.0354196853321835E-08,103.54196853321835,-548969.396978947,-0.032113624998408072,-3101508.060290101,2.2524204723595176E-11,0
12,21,20,630,0,18,0,1.0306233494452212E-08,103.06233494452212,-439311.381526854,-0.014128166214755322,-1370837.000962615,7.1409544943890069E-11,0
13,21,20,630,0,18,0,1.0298538396694591E-08,102.98538396694592,-431030.20233820338,-0.013409639118950184,-1302091.4815692806,7.6759931744163623E-11,0
14,21,20,630,0,18,0,1.0354196853321835E-08,103.54196853321835,-548988.23211799224,-0.032094449299232,-3099656.0866944934,2.8198599011375336E-10,0
15,21,20,630,0,18,0,1.0305206849130361E-08,103.05206849130361,-439363.3448727,-0.014121818934750535,-1370357.6397345436,1.5482015669476823E-10,0
16,21,20,630,0,18,0,1.0297535612472929E-08,102.97535612472929,-431049.71675358817,-0.01340285805397895,-1301559.7671490146,3.7811531683473731E-11,0
17,20,20,600,0,18,0,1.0354196853321835E-08,103.54196853321835,-548988.23211799224,-120.25374539200686,-11614009960.939369,2.8198599011375336E-10,0
18,20,20,600,0,18,0,1.0305206849130361E-08,103.05206849130361,-439363.3448727,-70.950257285553789,-6884894046.696516,1.5482015669476823E-10,0
19,20,20,600,0,18,0,1.0297535612472929E-08,102.97535612472929,-431049.71675358817,-63.539311253287792,-6170341491.8347607,3.7811531683473731E-11,0
