call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,51,32,1530,0,28,0,1.0354196853321835E-08,103.54196853321835,-565742.71746123489,-2.0902365143576164E-19,-2.0187336052887835E-11,2.6439295197633328E-11,0
2,51,32,1530,0,28,0,1.0354196853321835E-08,103.54196853321835,-565742.71746123489,-2.0902365143576164E-19,-2.0187336052887835E-11,2.6439295197633328E-11,0
3,51,31,1530,0,27,0,1.0278648130082302E-08,102.78648130082301,-504823.24209324742,-5.9491453826087524E-20,-5.78786753600166E-12,1.1787903986260062E-11,0
4,51,31,1530,0,27,0,1.0272664317795015E-08,102.72664317795015,-506868.77847087837,-5.2910060855958525E-20,-5.1505684620010488E-12,3.3587355119379936E-11,0
5,50,31,1500,0,27,0,1.0354196853321835E-08,103.54196853321835,-564288.63004973345,-3.3655971520951409E-10,-0.03250466646300422,3.858247055177344E-11,0
6,50,31,1500,0,27,0,1.0277702611297544E-08,102.77702611297543,-496428.55032001674,-1.2592956099807809E-10,-0.012252695544980327,2.4520829811081057E-11,0
7,50,31,1500,0,27,0,1.0271619584244382E-08,102.71619584244381,-501947.57583961374,-1.2073231981913226E-10,-0.01175397110737272,2.0293100533308461E-11,0
8,50,34,1500,0,28,0,1.0354196853321835E-08,103.54196853321835,-566952.40740966366,-3.8986998780331949E-10,-0.037653329690968872,2.9393731892923824E-10,0
9,50,32,1500,0,27,0,1.0297880943419547E-08,102.97880943419547,-512945.27323801606,-2.45314732555565E-10,-0.023821865285044271,2.219735506514553E-11,0
10,50,32,1500,0,26,0,1.0294175000316159E-08,102.94175000316159,-514341.45111972478,-2.4383956243583056E-10,-0.023687139807545689,3.2287061912938952E-11,0
11,50,34,1500,0,28,0,1.0354196853321835E-08,103.54196853321835,-567004.3953827091,-3.8857042735733629E-10,-0.03752781918886109,6.2933480649007834E-10,0
12,50,32,1500,0,26,0,1.0303827739709365E-08,103.03827739709365,-513677.62360081519,-2.4537195547265728E-10,-0.023813670188509807,2.90754087473033E-11,0
13,50,32,1500,0,26,0,1.030065204244365E-08,103.0065204244365,-514682.72747013113,-2.4174014771355748E-10,-0.023468431582532017,3.19317905450589E-11,0
14,50,34,1500,0,28,0,1.0354196853321835E-08,103.54196853321835,-567014.06770603266,-3.8788414428205052E-10,-0.037461538521706729,2.4207480464610853E-10,0
15,50,32,1500,0,26,0,1.0305477680866582E-08,103.05477680866581,-513825.73660651804,-2.4437042666072037E-10,-0.0237126734177907,5.7980287238024175E-12,0
16,50,32,1500,0,26,0,1.0302354707290331E-08,103.0235470729033,-514728.45004777185,-2.4085970967539291E-10,-0.023379093082958168,2.191313797084149E-11,0
17,34,31,1020,0,26,0,1.0354196853321835E-08,103.54196853321835,-566994.87672711443,-8.896894625748256E-07,-85.925492356212573,6.6393113229423761E-11,0
18,34,31,1020,0,26,0,1.0305489563942516E-08,103.05489563942515,-514732.01889989252,-6.5952000104005219E-07,-63.996959770608228,3.134914550173562E-11,0
19,34,31,1020,0,26,0,1.0302354114045178E-08,103.02354114045178,-514760.5681604378,-6.7436277516198914E-07,-65.4571535492681,8.0717654782347381E-12,0
20,32,29,960,0,27,0,1.0354196853321835E-08,103.54196853321835,-566504.69040970027,-2.1576218592174131E-07,-20.83813829099844,1.2579975106064012E-07,0
21,32,30,960,0,27,0,1.0306031654405641E-08,103.06031654405641,-513676.46899965359,-1.6009172015509681E-07,-15.533788903768844,3.7927804896753514E-08,0
22,32,30,960,0,27,0,1.030281364566506E-08,103.0281364566506,-513797.71237105527,-1.5304777912689724E-07,-14.854949763290396,4.1526035943206807E-09,0
