keV,response
0.000,2.42500000E-005
1.000,9.66250000E-005
2.000,9.85000000E-005
3.000,9.83750000E-005
4.000,9.27500000E-005
5.000,1.36500000E-004
6.000,9.98750000E-005
7.000,1.05000000E-004
8.000,1.12750000E-004
9.000,1.03375000E-004
10.000,1.08875000E-004
11.000,9.95000000E-005
12.000,9.46250000E-005
13.000,9.11250000E-005
14.000,9.22500000E-005
15.000,9.05000000E-005
16.000,8.87500000E-005
17.000,8.87500000E-005
18.000,9.31250000E-005
19.000,8.53750000E-005
20.000,8.31250000E-005
21.000,8.60000000E-005
22.000,8.28750000E-005
23.000,8.32500000E-005
24.000,7.83750000E-005
25.000,7.98750000E-005
26.000,8.02500000E-005
27.000,7.63750000E-005
28.000,7.45000000E-005
29.000,7.85000000E-005
30.000,7.91250000E-005
31.000,8.18750000E-005
32.000,3.42000000E-004
33.000,3.30125000E-004
34.000,7.43750000E-005
35.000,7.62500000E-005
36.000,7.82500000E-005
37.000,1.74125000E-004
38.000,1.24625000E-004
39.000,6.62500000E-005
40.000,7.21250000E-005
41.000,7.13750000E-005
42.000,6.81250000E-005
43.000,6.70000000E-005
44.000,6.87500000E-005
45.000,6.51250000E-005
46.000,6.55000000E-005
47.000,6.48750000E-005
48.000,6.91250000E-005
49.000,7.00000000E-005
50.000,6.42500000E-005
51.000,6.36250000E-005
52.000,6.56250000E-005
53.000,6.11250000E-005
54.000,6.38750000E-005
55.000,6.48750000E-005
56.000,6.98750000E-005
57.000,8.51250000E-005
58.000,6.76250000E-005
59.000,6.13750000E-005
60.000,6.35000000E-005
61.000,1.26500000E-004
62.000,8.87500000E-005
63.000,6.12500000E-005
64.000,6.53750000E-005
65.000,1.59000000E-004
66.000,7.17500000E-005
67.000,6.93750000E-005
68.000,7.36250000E-005
69.000,7.41250000E-005
70.000,8.01250000E-005
71.000,8.12500000E-005
72.000,8.12500000E-005
73.000,7.51250000E-005
74.000,9.78750000E-005
75.000,8.47500000E-005
76.000,8.65000000E-005
77.000,8.78750000E-005
78.000,1.21500000E-004
79.000,1.02750000E-004
80.000,9.02500000E-005
81.000,9.25000000E-005
82.000,1.00625000E-004
83.000,1.03250000E-004
84.000,1.14375000E-004
85.000,1.16625000E-004
86.000,1.22875000E-004
87.000,1.30625000E-004
88.000,1.33875000E-004
89.000,1.39125000E-004
90.000,1.39337500E-003
91.000,1.30875000E-004
92.000,1.38125000E-004
93.000,2.41412500E-003
94.000,1.19250000E-004
95.000,1.18750000E-004
96.000,1.20000000E-004
97.000,1.25000000E-004
98.000,1.30250000E-004
99.000,1.32750000E-004
100.000,1.30625000E-004
101.000,1.38625000E-004
102.000,1.38750000E-004
103.000,1.47125000E-004
104.000,1.55125000E-004
105.000,1.48000000E-004
106.000,1.59500000E-004
107.000,1.66037500E-003
108.000,1.37625000E-004
109.000,1.43000000E-004
110.000,1.44500000E-004
111.000,1.46375000E-004
112.000,1.39500000E-004
113.000,1.40125000E-004
114.000,1.27250000E-004
115.000,1.17875000E-004
116.000,1.11875000E-004
117.000,9.96250000E-005
118.000,9.33750000E-005
119.000,9.41250000E-005
120.000,9.33750000E-005
121.000,9.12500000E-005
122.000,9.96250000E-005
123.000,1.08000000E-004
124.000,1.16625000E-004
125.000,1.33500000E-004
126.000,1.34625000E-004
127.000,1.42250000E-004
128.000,1.47875000E-004
129.000,1.54000000E-004
130.000,1.60250000E-004
131.000,1.76375000E-004
132.000,1.81750000E-004
133.000,1.76750000E-004
134.000,1.86750000E-004
135.000,1.81500000E-004
136.000,1.85625000E-004
137.000,1.87625000E-004
138.000,1.97250000E-004
139.000,2.00750000E-004
140.000,1.98125000E-004
141.000,2.02375000E-004
142.000,2.07750000E-004
143.000,2.07375000E-004
144.000,2.13375000E-004
145.000,2.11750000E-004
146.000,2.01750000E-004
147.000,2.08125000E-004
148.000,2.10625000E-004
149.000,2.00250000E-004
150.000,2.12750000E-004
151.000,2.03625000E-004
152.000,2.11750000E-004
153.000,2.00625000E-004
154.000,2.06500000E-004
155.000,2.16625000E-004
156.000,2.13500000E-004
157.000,2.13375000E-004
158.000,2.13375000E-004
159.000,2.02625000E-004
160.000,2.11750000E-004
161.000,2.13875000E-004
162.000,2.06500000E-004
163.000,2.06250000E-004
164.000,2.18375000E-004
165.000,2.16875000E-004
166.000,2.20250000E-004
167.000,2.11125000E-004
168.000,2.14750000E-004
169.000,2.09125000E-004
170.000,2.16375000E-004
171.000,2.22750000E-004
172.000,2.08125000E-004
173.000,2.16375000E-004
174.000,2.12125000E-004
175.000,2.11625000E-004
176.000,2.15500000E-004
177.000,2.06625000E-004
178.000,2.06125000E-004
179.000,2.10875000E-004
180.000,2.15625000E-004
181.000,2.16500000E-004
182.000,2.21500000E-004
183.000,2.13375000E-004
184.000,2.19250000E-004
185.000,2.17625000E-004
186.000,2.19625000E-004
187.000,2.17625000E-004
188.000,2.21875000E-004
189.000,2.15250000E-004
190.000,2.16250000E-004
191.000,2.20750000E-004
192.000,2.24250000E-004
193.000,2.24375000E-004
194.000,2.28000000E-004
195.000,2.39125000E-004
196.000,2.30500000E-004
197.000,2.23500000E-004
198.000,2.26875000E-004
199.000,2.29500000E-004
200.000,2.27625000E-004
201.000,2.29750000E-004
202.000,2.39250000E-004
203.000,2.28500000E-004
204.000,2.31875000E-004
205.000,2.25625000E-004
206.000,4.13000000E-004
207.000,2.35625000E-004
208.000,2.43250000E-004
209.000,2.34625000E-004
210.000,7.27250000E-004
211.000,2.37625000E-004
212.000,2.38625000E-004
213.000,2.28500000E-004
214.000,2.23625000E-004
215.000,2.35500000E-004
216.000,2.31125000E-004
217.000,2.33375000E-004
218.000,2.37750000E-004
219.000,2.37375000E-004
220.000,2.44125000E-004
221.000,2.29125000E-004
222.000,2.31375000E-004
223.000,2.30250000E-004
224.000,2.28750000E-004
225.000,2.34250000E-004
226.000,2.29500000E-004
227.000,2.32875000E-004
228.000,2.28875000E-004
229.000,2.28875000E-004
230.000,2.32250000E-004
231.000,2.24000000E-004
232.000,2.26750000E-004
233.000,2.35500000E-004
