keV,response
0.000,6.85000000E-005
1.000,2.12500000E-004
2.000,2.38250000E-004
3.000,2.45375000E-004
4.000,2.38000000E-004
5.000,2.58625000E-004
6.000,2.68125000E-004
7.000,2.58625000E-004
8.000,2.67250000E-004
9.000,2.72000000E-004
10.000,2.77250000E-004
11.000,2.69375000E-004
12.000,2.67000000E-004
13.000,2.68875000E-004
14.000,2.73250000E-004
15.000,2.70250000E-004
16.000,2.63750000E-004
17.000,2.69375000E-004
18.000,2.73625000E-004
19.000,2.67000000E-004
20.000,2.66000000E-004
21.000,2.66375000E-004
22.000,2.65250000E-004
23.000,2.66375000E-004
24.000,2.68125000E-004
25.000,2.63000000E-004
26.000,2.69875000E-004
27.000,2.57375000E-004
28.000,2.74000000E-004
29.000,2.67250000E-004
30.000,2.66000000E-004
31.000,2.65750000E-004
32.000,2.64125000E-004
33.000,2.72000000E-004
34.000,2.61625000E-004
35.000,2.78875000E-004
36.000,2.82250000E-004
37.000,2.74250000E-004
38.000,2.71750000E-004
39.000,2.67750000E-004
40.000,2.73375000E-004
41.000,2.65000000E-004
42.000,2.73875000E-004
43.000,2.68375000E-004
44.000,2.73875000E-004
45.000,2.78250000E-004
46.000,2.63250000E-004
47.000,2.68000000E-004
48.000,2.64750000E-004
49.000,2.64125000E-004
50.000,2.65875000E-004
51.000,2.74125000E-004
52.000,2.65125000E-004
53.000,2.71500000E-004
54.000,2.70125000E-004
55.000,2.65500000E-004
56.000,2.61125000E-004
57.000,2.62875000E-004
58.000,2.63250000E-004
59.000,2.70625000E-004
60.000,2.63500000E-004
61.000,2.62500000E-004
62.000,2.79375000E-004
63.000,2.62625000E-004
64.000,2.64875000E-004
65.000,2.64250000E-004
66.000,2.62625000E-004
67.000,2.59125000E-004
68.000,2.71625000E-004
69.000,2.63875000E-004
70.000,2.72375000E-004
71.000,2.57625000E-004
72.000,2.66875000E-004
73.000,2.56875000E-004
74.000,2.69500000E-004
75.000,2.62000000E-004
76.000,2.56000000E-004
77.000,2.64000000E-004
78.000,2.67500000E-004
79.000,2.64500000E-004
80.000,2.60750000E-004
81.000,2.73250000E-004
82.000,2.61000000E-004
83.000,2.55125000E-004
84.000,2.72750000E-004
85.000,2.63375000E-004
86.000,2.64250000E-004
87.000,2.68000000E-004
88.000,2.58750000E-004
89.000,2.58750000E-004
90.000,2.50625000E-004
91.000,2.63500000E-004
92.000,2.59000000E-004
93.000,2.62125000E-004
94.000,2.57375000E-004
95.000,2.60250000E-004
96.000,2.52375000E-004
97.000,2.67375000E-004
98.000,2.59250000E-004
99.000,2.50625000E-004
100.000,2.63125000E-004
101.000,2.56750000E-004
102.000,2.57750000E-004
