keV,response
0.000,1.27500000E-005
1.000,2.56250000E-005
2.000,2.41250000E-005
3.000,2.35000000E-005
4.000,2.31250000E-005
5.000,2.66250000E-005
6.000,2.40000000E-005
7.000,2.66250000E-005
8.000,2.68750000E-005
9.000,2.73750000E-005
10.000,2.38750000E-005
11.000,2.68750000E-005
12.000,2.37500000E-005
13.000,2.72500000E-005
14.000,2.75000000E-005
15.000,2.61250000E-005
16.000,2.48750000E-005
17.000,2.61250000E-005
18.000,2.35000000E-005
19.000,2.60000000E-005
20.000,2.92500000E-005
21.000,2.52500000E-005
22.000,2.70000000E-005
23.000,2.45000000E-005
24.000,2.60000000E-005
25.000,2.96250000E-005
26.000,2.61250000E-005
27.000,2.71250000E-005
28.000,2.52500000E-005
29.000,2.02500000E-005
30.000,2.71250000E-005
31.000,2.52500000E-005
32.000,3.73750000E-005
33.000,3.78750000E-005
34.000,2.86250000E-005
35.000,2.68750000E-005
36.000,2.51250000E-005
37.000,3.13750000E-005
38.000,2.95000000E-005
39.000,2.72500000E-005
40.000,2.71250000E-005
41.000,2.67500000E-005
42.000,2.70000000E-005
43.000,2.50000000E-005
44.000,2.56250000E-005
45.000,2.26250000E-005
46.000,2.58750000E-005
47.000,2.83750000E-005
48.000,2.48750000E-005
49.000,2.86250000E-005
50.000,2.87500000E-005
51.000,2.50000000E-005
52.000,2.67500000E-005
53.000,2.52500000E-005
54.000,2.80000000E-005
55.000,2.58750000E-005
56.000,2.60000000E-005
57.000,2.85000000E-005
58.000,2.78750000E-005
59.000,2.42500000E-005
60.000,2.78750000E-005
61.000,3.06250000E-005
62.000,2.72500000E-005
63.000,2.38750000E-005
64.000,2.98750000E-005
65.000,3.27500000E-005
66.000,2.61250000E-005
67.000,2.20000000E-005
68.000,2.43750000E-005
69.000,2.62500000E-005
70.000,2.63750000E-005
71.000,2.75000000E-005
72.000,2.61250000E-005
73.000,2.45000000E-005
74.000,2.97500000E-005
75.000,2.71250000E-005
76.000,2.98750000E-005
77.000,2.60000000E-005
78.000,3.17500000E-005
79.000,3.06250000E-005
80.000,2.78750000E-005
81.000,2.83750000E-005
82.000,2.45000000E-005
83.000,2.67500000E-005
84.000,2.75000000E-005
85.000,3.10000000E-005
86.000,2.80000000E-005
87.000,2.81250000E-005
88.000,2.71250000E-005
89.000,2.82500000E-005
90.000,8.56250000E-005
91.000,3.15000000E-005
92.000,2.95000000E-005
93.000,1.29500000E-004
94.000,2.57500000E-005
95.000,2.50000000E-005
96.000,2.47500000E-005
97.000,2.40000000E-005
98.000,2.63750000E-005
99.000,2.81250000E-005
100.000,2.61250000E-005
101.000,2.67500000E-005
102.000,2.70000000E-005
103.000,2.96250000E-005
104.000,3.02500000E-005
105.000,2.68750000E-005
106.000,3.01250000E-005
107.000,9.33750000E-005
108.000,2.43750000E-005
109.000,2.70000000E-005
110.000,2.35000000E-005
111.000,2.88750000E-005
112.000,2.63750000E-005
113.000,2.58750000E-005
114.000,2.80000000E-005
115.000,2.85000000E-005
116.000,3.08750000E-005
117.000,2.71250000E-005
118.000,2.52500000E-005
119.000,2.61250000E-005
120.000,2.56250000E-005
121.000,2.88750000E-005
122.000,2.76250000E-005
