call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,34,21,1020,0,19,0,1.0354196853321835E-08,103.54196853321835,-562396.674975874,-1.4277733655053255E-19,-1.3789320270140191E-11,1.8616219676914625E-11,0
2,34,21,1020,0,19,0,1.0354196853321835E-08,103.54196853321835,-562396.674975874,-1.4277733655053255E-19,-1.3789320270140191E-11,1.8616219676914625E-11,0
3,34,22,1020,0,20,0,1.0929522992562724E-08,109.29522992562724,-481288.21238276205,-1.1071081918412855E-19,-1.0129519765818196E-11,9.2043705990363378E-11,0
4,34,22,1020,0,20,0,6.9827941965589048E-09,69.827941965589048,-478081.6314114682,-1.08041295011656E-19,-1.5472501690641026E-11,6.87805368215777E-12,0
5,34,21,1020,0,19,0,1.0354196853321835E-08,103.54196853321835,-561936.20171350194,-9.4226023151570607E-20,-9.1002734916461438E-12,1.4509282664221246E-11,0
6,34,22,1020,0,20,0,1.0928105578735331E-08,109.28105578735331,-479441.32036163518,-7.71781695049118E-20,-7.062355771442258E-12,2.1664448013325455E-11,0
7,34,22,1020,0,20,0,6.9799400375011109E-09,69.7994003750111,-476337.23719293566,-7.5869466921724858E-20,-1.0869644511858428E-11,1.389821591146756E-11,0
8,33,25,990,0,22,0,1.0354196853321835E-08,103.54196853321835,-566880.53454697854,9.6721643097626171E-09,0.93412984577935576,3.0272683204657369E-07,0
9,33,26,990,0,23,0,1.0805861217292839E-08,108.05861217292839,-503541.25204967742,9.32624181554287E-09,0.8630725148142655,7.6645292779176089E-08,0
10,33,26,990,0,22,0,7.0148070314941491E-09,70.148070314941492,-500676.81175495387,-3.4183806725853073E-13,-4.8730929549992117E-05,1.4390604263780915E-07,0
11,33,25,990,0,22,0,1.0354196853321835E-08,103.54196853321835,-566862.12597051554,9.6847123829356657E-09,0.93534172858888753,1.0011568463141884E-08,0
12,33,26,990,0,23,0,1.0828736917018092E-08,108.28736917018092,-503800.50043131394,9.3444120720801941E-09,0.86292724107045382,6.2378063603318878E-08,0
13,33,26,990,0,22,0,7.0427327961762673E-09,70.427327961762671,-500926.9160716483,-3.3664479830096861E-13,-4.7800308210435618E-05,4.1935915362500964E-07,0
14,33,25,990,0,22,0,1.0354196853321835E-08,103.54196853321835,-566852.86859846557,9.6870409365790326E-09,0.93556661842596067,3.7514890749434926E-07,0
15,33,26,990,0,23,0,1.0836050354189124E-08,108.36050354189123,-503864.24250483507,9.34870629436378E-09,0.86274112695957073,2.8584691591504452E-07,0
16,33,26,990,0,22,0,7.0505239277920371E-09,70.505239277920367,-500977.73812742304,-3.3532049691868004E-13,-4.7559656608908212E-05,3.8675036506674587E-07,0
17,24,23,720,0,21,0,1.0354196853321835E-08,103.54196853321835,-566846.20059766853,-2.3958668717824743E-05,-2313.9089450610859,5.2239101933082566E-11,0
18,24,24,720,0,22,0,1.0836238625581254E-08,108.36238625581254,-503843.85550114332,-1.447950879950987E-05,-1336.2116966793164,3.32086358412198E-10,0
19,24,23,720,0,21,0,7.0505897428729983E-09,70.50589742872998,-500940.7296958869,-1.5239552528839313E-05,-2161.4578474437585,1.5541701259280671E-10,0
