spectrum,det,part,component,kind,detected,decay_s,dt_decay_s,mda_decay_s,degenerate,collinearity,mda_peak_counts,total_yield_pct
G1S16_Am241_P25,G1S16,known,Am-241,single,1,1.1674E+005,3.7627E+002,7.5928E+002,0,0.1046,578.4,74.8095
G1S16_Ba133_P25,G1S16,known,Ba-133,single,1,2.4809E+004,6.3750E+001,1.2895E+002,0,0.3532,1605.4,264.8544
G1S16_Cd109_P25,G1S16,known,Cd-109,single,1,6.8114E+003,2.4819E+001,5.2564E+001,0,0.0070,112.2,116.3035
G1S16_Ce139_P25,G1S16,known,Ce-139,single,1,1.8555E+003,2.8059E+001,5.6677E+001,0,0.3046,469.8,171.0783
G1S16_Co60_P25,G1S16,known,Co-60,single,1,3.6942E+004,3.3204E+001,6.7860E+001,0,0.5056,206.7,199.8440
G1S16_Cs137_P25,G1S16,known,Cs-137,single,1,7.4033E+004,5.7933E+001,1.1845E+002,0,0.3040,296.8,93.0229
G1S16_Eu152_P25,G1S16,known,Eu-152,single,1,2.8735E+004,1.0085E+002,2.0296E+002,0,0.5548,4441.5,242.9866
G1S16_Mn54_P25,G1S16,known,Mn-54,single,1,2.8377E+004,6.3493E+001,1.2900E+002,0,0.3385,253.9,126.3352
G1S16_Na22_P25,G1S16,known,Na-22,single,1,6.6141E+004,1.3296E+002,2.7259E+002,0,0.3929,364.9,100.0808
G1S16_Th228_P25,G1S16,known,Th-228,chain,1,2.3136E+003,2.9144E+001,5.8666E+001,0,0.4508,1118.5,237.9770
G1S16_Y88_P25,G1S16,known,Y-88,single,1,5.9839E+002,1.3536E+001,2.7482E+001,0,0.1145,166.4,256.3332
G1S16_Am241_P5,G1S16,known,Am-241,single,1,9.1349E+004,7.1809E+001,1.4506E+002,0,0.0180,985.1,74.8095
G1S16_Ba133_P5,G1S16,known,Ba-133,single,1,2.0883E+004,4.4231E+001,8.9175E+001,0,0.5213,17211.9,264.8544
G1S16_Cd109_P5,G1S16,known,Cd-109,single,1,6.0628E+003,9.4623E+000,1.9365E+001,0,0.0050,688.3,116.3035
G1S16_Ce139_P5,G1S16,known,Ce-139,single,1,1.5514E+003,3.0400E+000,6.2215E+000,0,0.0971,852.4,171.0783
G1S16_Co57_P5,G1S16,known,Co-57,single,1,6.3116E+001,6.1947E-001,1.2693E+000,0,0.0683,130.4,163.4431
G1S16_Co60_P5,G1S16,known,Co-60,single,1,3.1872E+004,2.1387E+001,4.3623E+001,0,0.4676,1094.2,199.8440
G1S16_Cs137_P5,G1S16,known,Cs-137,single,1,6.3915E+004,1.7410E+001,3.5682E+001,0,0.2849,1214.5,93.0229
G1S16_Eu152_P5,G1S16,known,Eu-152,single,1,2.3223E+004,6.3331E+001,1.2758E+002,0,0.5799,20807.0,242.9866
G1S16_Mn54_P5,G1S16,known,Mn-54,single,1,2.4826E+004,1.2821E+001,2.6513E+001,0,0.4495,223.0,126.3352
G1S16_Na22_P5,G1S16,known,Na-22,single,1,5.5634E+004,1.4138E+002,2.9128E+002,0,0.6182,1599.8,100.0808
G1S16_Th228_P5,G1S16,known,Th-228,chain,1,1.8975E+003,8.0545E+000,1.6353E+001,0,0.5436,2330.4,237.9770
G1S16_Y88_P5,G1S16,known,Y-88,single,1,5.5913E+002,2.4036E+000,4.9642E+000,0,0.5757,126.1,256.3332
