BecquerelMonitor/EfficiencyMaker/ResponseMatrix.cs         ЧИСТ                                     скопирован             как есть  sha16 f451b11294672e0c  wt(CRLF,LF)=(3671, 0)  main(CRLF,LF)=(3619, 0)
BecquerelMonitor/EfficiencyMaker/EfficiencySimulator.cs    ЧИСТ                                     скопирован             CRLF->LF  sha16 2632e5eb29bab609  wt(CRLF,LF)=(8750, 0)  main(CRLF,LF)=(0, 8748)
BecquerelMonitor/EfficiencyMaker/ElectronData.cs           ЧИСТ                                     скопирован             CRLF->LF  sha16 962bc66ef58628fc  wt(CRLF,LF)=(1043, 0)  main(CRLF,LF)=(0, 1042)
BecquerelMonitor/EfficiencyMaker/EstarCalculator.cs        ЧИСТ                                     скопирован             CRLF->LF  sha16 ecb5a43ee3541552  wt(CRLF,LF)=(952, 0)  main(CRLF,LF)=(0, 951)
BecquerelMonitor/EfficiencyMaker/BremsstrahlungData.cs     ЧИСТ                                     скопирован             CRLF->LF  sha16 2199ca48f7db5df3  wt(CRLF,LF)=(846, 0)  main(CRLF,LF)=(0, 845)
tools/check_matrix_keys.py                                 ЧИСТ                                     скопирован             как есть  sha16 48b8fa2b819bba7a  wt(CRLF,LF)=(1008, 0)  main(CRLF,LF)=(1004, 0)
tools/effmaker/probes/CorpusMatrixProbe.cs                 ЧИСТ                                     скопирован             CRLF->LF  sha16 595f6ae1e8adf32b  wt(CRLF,LF)=(803, 0)  main(CRLF,LF)=(0, 801)
tools/effmaker/probes/CorpusEffProbe.cs                    ЧИСТ                                     скопирован             CRLF->LF  sha16 4514e4bb8bd0f5ed  wt(CRLF,LF)=(556, 0)  main(CRLF,LF)=(0, 555)
tools/effmaker/probes/G4RawProbe.cs                        ЧИСТ                                     скопирован             CRLF->LF  sha16 d4a9b67611814e38  wt(CRLF,LF)=(580, 0)  main(CRLF,LF)=(0, 579)
database/scheme.md                                         ЧИСТ                                     скопирован             CRLF->LF  sha16 71713d748777cfad  wt(CRLF,LF)=(1740, 0)  main(CRLF,LF)=(0, 1739)
tools/effmaker/handover-response-matrix.md                 ЧИСТ                                     скопирован             как есть  sha16 eaa2a935b71a612b  wt(CRLF,LF)=(3533, 0)  main(CRLF,LF)=(3469, 0)
