сцена                                   с мкс/ист  шум,%
AS80_lu_front                       307.7    7.01   0.82
AS80_point0                         200.1    4.68   0.60
AS80_th_disk                        353.4    7.88   0.76
ASN16_lu_side                       267.3    6.08   0.98
G1S_denta100_oisn10_100_p16         409.4    9.37   0.72
G1S_denta100_risn379_100_p16        429.1   10.00   0.63
G1S_denta120_oisn06_057_p24         420.3    9.64   0.70
G1S_denta120_oisn06_062_p24         415.9    9.53   0.70
G1S_denta120_oisn06_064_p24         418.7    9.59   0.70
G1S_denta120_oisn06_066_p24         426.7    9.78   0.70
G1S_denta120_oisn16_155_p24         413.2    9.43   0.78
G1S_denta120_oisn16_160_p24         416.9    9.52   0.78
G1S_denta120_oisn16_166_p24         416.7    9.51   0.77
G1S_denta120_oisn16_167_p24         425.3    9.73   0.77
G1S_mar1l_oisn06_055_p16            443.5   10.42   0.70
G1S_mar1l_oisn06_057_p16            434.8   10.21   0.70
G1S_mar1l_oisn06_057_p24            449.4   10.30   0.76
G1S_mar1l_oisn06_062_p16            437.3   10.27   0.69
G1S_mar1l_oisn06_062_p24            447.6   10.25   0.76
G1S_mar1l_oisn06_064_p24            449.6   10.31   0.76
G1S_mar1l_oisn06_066_p16            437.3   10.27   0.68
G1S_mar1l_oisn06_066_p24            444.5   10.17   0.76
G1S_mar1l_oisn16_155_p16            448.5   10.25   0.82
G1S_mar1l_oisn16_155_p24            446.6   10.21   0.83
G1S_mar1l_oisn16_160_p16            450.0   10.27   0.82
G1S_mar1l_oisn16_160_p24            457.1   10.44   0.83
G1S_mar1l_oisn16_166_p16            481.6   11.00   0.81
G1S_mar1l_oisn16_166_p24            497.4   11.32   0.82
G1S_mar1l_oisn16_167_p16            493.3   11.24   0.81
G1S_mar1l_oisn16_167_p24            469.4   10.70   0.82
G1S_mar1l_risn379_100_p16           477.7   11.12   0.70
G1S_petri60_oisn06_057_p24          418.7    9.48   0.63
G1S_petri60_oisn06_062_p24          395.6    9.05   0.63
G1S_petri60_oisn06_064_p24          414.4    9.43   0.63
G1S_petri60_oisn06_067_p24          393.8    9.01   0.63
G1S_petri60_oisn10_100_p16          388.4    8.88   0.67
G1S_petri60_oisn16_155_p24          386.2    8.82   0.69
G1S_petri60_oisn16_160_p24          389.3    8.89   0.69
G1S_petri60_oisn16_167_p24          389.6    8.89   0.69
G1S_petri60_risn379_100_p16         418.5    9.73   0.61
G1S_point25                         292.7    6.69   5.31
G1S_point5                          371.1    8.62   1.35
RC103_lu_front                      294.4    6.64   1.98
RC103_marinelli05_kcl               326.2    7.57   3.18
RC103_point0                        208.3    4.86   0.51
