P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=4000000
RESULT any=404226 eps_total=1.010565e-01
RESULT window=1460.820 counts=123161 eps=3.079025e-02
HISTBEGIN bins=1462 bin_kev=1.000000 decays=4000000
HIST 0 49
HIST 1 148
HIST 2 190
HIST 3 164
HIST 4 186
HIST 5 212
HIST 6 217
HIST 7 188
HIST 8 235
HIST 9 218
HIST 10 201
HIST 11 203
HIST 12 185
HIST 13 212
HIST 14 213
HIST 15 210
HIST 16 205
HIST 17 226
HIST 18 236
HIST 19 233
HIST 20 251
HIST 21 211
HIST 22 208
HIST 23 209
HIST 24 223
HIST 25 228
HIST 26 236
HIST 27 240
HIST 28 235
HIST 29 209
HIST 30 219
HIST 31 228
HIST 32 222
HIST 33 237
HIST 34 230
HIST 35 206
HIST 36 240
HIST 37 197
HIST 38 234
HIST 39 225
HIST 40 212
HIST 41 210
HIST 42 213
HIST 43 193
HIST 44 232
HIST 45 222
HIST 46 233
HIST 47 197
HIST 48 227
HIST 49 233
HIST 50 204
HIST 51 227
HIST 52 230
HIST 53 236
HIST 54 214
HIST 55 228
HIST 56 214
HIST 57 186
HIST 58 226
HIST 59 225
HIST 60 217
HIST 61 220
HIST 62 206
HIST 63 216
HIST 64 233
HIST 65 222
HIST 66 226
HIST 67 208
HIST 68 170
HIST 69 210
HIST 70 221
HIST 71 213
HIST 72 197
HIST 73 187
HIST 74 207
HIST 75 200
HIST 76 208
HIST 77 222
HIST 78 208
HIST 79 206
HIST 80 192
HIST 81 195
HIST 82 214
HIST 83 214
HIST 84 235
HIST 85 226
HIST 86 206
HIST 87 241
HIST 88 192
HIST 89 211
HIST 90 205
HIST 91 191
HIST 92 215
HIST 93 204
HIST 94 229
HIST 95 202
HIST 96 212
HIST 97 212
HIST 98 210
HIST 99 208
HIST 100 199
HIST 101 206
HIST 102 194
HIST 103 231
HIST 104 209
HIST 105 195
HIST 106 196
HIST 107 212
HIST 108 202
HIST 109 214
HIST 110 192
HIST 111 212
HIST 112 192
HIST 113 216
HIST 114 199
HIST 115 188
HIST 116 203
HIST 117 191
HIST 118 209
HIST 119 227
HIST 120 201
HIST 121 211
HIST 122 219
HIST 123 218
HIST 124 206
HIST 125 192
HIST 126 221
HIST 127 231
HIST 128 194
HIST 129 198
HIST 130 219
HIST 131 220
HIST 132 210
HIST 133 208
HIST 134 205
HIST 135 216
HIST 136 220
HIST 137 236
HIST 138 223
HIST 139 243
HIST 140 193
HIST 141 231
HIST 142 222
HIST 143 202
HIST 144 242
HIST 145 208
HIST 146 234
HIST 147 222
HIST 148 212
HIST 149 233
HIST 150 219
HIST 151 215
HIST 152 202
HIST 153 230
HIST 154 219
HIST 155 258
HIST 156 236
HIST 157 226
HIST 158 217
HIST 159 207
HIST 160 208
HIST 161 221
HIST 162 205
HIST 163 235
HIST 164 218
HIST 165 241
HIST 166 225
HIST 167 208
HIST 168 210
HIST 169 232
HIST 170 213
HIST 171 212
HIST 172 213
HIST 173 190
HIST 174 246
HIST 175 227
HIST 176 214
HIST 177 207
HIST 178 211
HIST 179 229
HIST 180 200
HIST 181 203
HIST 182 232
HIST 183 212
HIST 184 208
HIST 185 206
HIST 186 201
HIST 187 187
HIST 188 202
HIST 189 197
HIST 190 190
HIST 191 222
HIST 192 229
HIST 193 223
HIST 194 202
HIST 195 215
HIST 196 195
HIST 197 212
HIST 198 211
HIST 199 201
HIST 200 212
HIST 201 189
HIST 202 200
HIST 203 222
HIST 204 238
HIST 205 239
HIST 206 190
HIST 207 225
HIST 208 197
HIST 209 189
HIST 210 233
HIST 211 205
HIST 212 202
HIST 213 203
HIST 214 216
HIST 215 198
HIST 216 236
HIST 217 204
HIST 218 224
HIST 219 242
HIST 220 242
HIST 221 271
HIST 222 256
HIST 223 255
HIST 224 248
HIST 225 228
HIST 226 268
HIST 227 251
HIST 228 240
HIST 229 246
HIST 230 250
HIST 231 246
HIST 232 251
HIST 233 282
HIST 234 267
HIST 235 280
HIST 236 281
HIST 237 259
HIST 238 291
HIST 239 286
HIST 240 277
HIST 241 261
HIST 242 256
HIST 243 302
HIST 244 256
HIST 245 270
HIST 246 284
HIST 247 275
HIST 248 251
HIST 249 278
HIST 250 294
HIST 251 291
HIST 252 288
HIST 253 272
HIST 254 283
HIST 255 263
HIST 256 286
HIST 257 276
HIST 258 259
HIST 259 277
HIST 260 281
HIST 261 252
HIST 262 277
HIST 263 265
HIST 264 276
HIST 265 258
HIST 266 272
HIST 267 275
HIST 268 293
HIST 269 282
HIST 270 283
HIST 271 292
HIST 272 243
HIST 273 266
HIST 274 296
HIST 275 295
HIST 276 294
HIST 277 269
HIST 278 249
HIST 279 268
HIST 280 263
HIST 281 280
HIST 282 256
HIST 283 317
HIST 284 274
HIST 285 275
