P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=1
RESULT decays=4000000
RESULT any=515839 eps_total=1.289598e-01
RESULT window=661.657 counts=243164 eps=6.079100e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=4000000
HIST 0 131
HIST 1 410
HIST 2 442
HIST 3 452
HIST 4 448
HIST 5 493
HIST 6 477
HIST 7 487
HIST 8 498
HIST 9 476
HIST 10 495
HIST 11 514
HIST 12 535
HIST 13 528
HIST 14 536
HIST 15 524
HIST 16 480
HIST 17 538
HIST 18 493
HIST 19 510
HIST 20 502
HIST 21 540
HIST 22 502
HIST 23 530
HIST 24 519
HIST 25 487
HIST 26 500
HIST 27 560
HIST 28 510
HIST 29 523
HIST 30 495
HIST 31 504
HIST 32 500
HIST 33 515
HIST 34 465
HIST 35 527
HIST 36 545
HIST 37 507
HIST 38 510
HIST 39 527
HIST 40 521
HIST 41 516
HIST 42 497
HIST 43 474
HIST 44 478
HIST 45 489
HIST 46 479
HIST 47 505
HIST 48 514
HIST 49 521
HIST 50 520
HIST 51 514
HIST 52 525
HIST 53 466
HIST 54 485
HIST 55 490
HIST 56 484
HIST 57 503
HIST 58 478
HIST 59 522
HIST 60 494
HIST 61 514
HIST 62 509
HIST 63 490
HIST 64 486
HIST 65 504
HIST 66 478
HIST 67 496
HIST 68 519
HIST 69 492
HIST 70 476
HIST 71 508
HIST 72 499
HIST 73 488
HIST 74 454
HIST 75 548
HIST 76 451
HIST 77 503
HIST 78 516
HIST 79 511
HIST 80 486
HIST 81 493
HIST 82 522
HIST 83 516
HIST 84 490
HIST 85 480
HIST 86 480
HIST 87 498
HIST 88 482
HIST 89 456
HIST 90 503
HIST 91 494
HIST 92 492
HIST 93 494
HIST 94 487
HIST 95 540
HIST 96 426
HIST 97 473
HIST 98 501
HIST 99 468
HIST 100 453
HIST 101 481
HIST 102 480
HIST 103 476
HIST 104 466
HIST 105 478
HIST 106 492
HIST 107 505
HIST 108 474
HIST 109 505
HIST 110 491
HIST 111 469
HIST 112 560
HIST 113 483
HIST 114 485
HIST 115 512
HIST 116 495
HIST 117 485
HIST 118 484
HIST 119 500
HIST 120 494
HIST 121 540
HIST 122 532
HIST 123 485
HIST 124 484
HIST 125 544
HIST 126 495
HIST 127 461
HIST 128 506
HIST 129 515
HIST 130 520
HIST 131 530
HIST 132 530
HIST 133 514
HIST 134 472
HIST 135 451
HIST 136 462
HIST 137 529
HIST 138 533
HIST 139 457
HIST 140 477
HIST 141 529
HIST 142 485
HIST 143 476
HIST 144 508
HIST 145 463
HIST 146 512
HIST 147 472
HIST 148 499
HIST 149 484
HIST 150 484
HIST 151 502
HIST 152 513
HIST 153 501
HIST 154 506
HIST 155 462
HIST 156 497
HIST 157 487
HIST 158 506
HIST 159 492
HIST 160 528
HIST 161 483
HIST 162 501
HIST 163 461
HIST 164 502
HIST 165 498
HIST 166 523
HIST 167 485
HIST 168 500
HIST 169 498
HIST 170 461
HIST 171 473
HIST 172 507
HIST 173 504
HIST 174 528
HIST 175 510
HIST 176 548
HIST 177 548
HIST 178 538
HIST 179 476
HIST 180 522
HIST 181 546
HIST 182 500
HIST 183 521
HIST 184 576
HIST 185 525
HIST 186 548
HIST 187 592
HIST 188 545
HIST 189 533
HIST 190 622
HIST 191 592
HIST 192 636
HIST 193 602
HIST 194 640
HIST 195 645
HIST 196 652
HIST 197 622
HIST 198 601
HIST 199 591
HIST 200 605
HIST 201 673
HIST 202 609
HIST 203 686
HIST 204 668
HIST 205 622
HIST 206 664
HIST 207 595
HIST 208 668
HIST 209 646
HIST 210 682
HIST 211 682
HIST 212 674
HIST 213 664
HIST 214 666
HIST 215 682
HIST 216 627
HIST 217 669
HIST 218 633
HIST 219 604
HIST 220 650
HIST 221 663
HIST 222 661
HIST 223 666
HIST 224 634
HIST 225 647
HIST 226 651
HIST 227 651
HIST 228 675
