P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_4
RESULT decays=8000000
RESULT any=702273 eps_total=8.778413e-02
RESULT window=2614.511 counts=124478 eps=1.555975e-02
HISTBEGIN bins=2616 bin_kev=1.000000 decays=8000000
HIST 0 59
HIST 1 219
HIST 2 205
HIST 3 208
HIST 4 206
HIST 5 302
HIST 6 272
HIST 7 271
HIST 8 263
HIST 9 265
HIST 10 241
HIST 11 269
HIST 12 237
HIST 13 276
HIST 14 256
HIST 15 280
HIST 16 293
HIST 17 292
HIST 18 280
HIST 19 260
HIST 20 304
HIST 21 299
HIST 22 327
HIST 23 288
HIST 24 302
HIST 25 284
HIST 26 275
HIST 27 285
HIST 28 311
HIST 29 295
HIST 30 319
HIST 31 288
HIST 32 537
HIST 33 471
HIST 34 331
HIST 35 308
HIST 36 372
HIST 37 337
HIST 38 322
HIST 39 291
HIST 40 307
HIST 41 310
HIST 42 300
HIST 43 274
HIST 44 292
HIST 45 279
HIST 46 281
HIST 47 327
HIST 48 303
HIST 49 293
HIST 50 312
HIST 51 305
HIST 52 279
HIST 53 280
HIST 54 301
HIST 55 317
HIST 56 313
HIST 57 283
HIST 58 305
HIST 59 289
HIST 60 292
HIST 61 259
HIST 62 320
HIST 63 292
HIST 64 315
HIST 65 310
HIST 66 328
HIST 67 306
HIST 68 320
HIST 69 333
HIST 70 318
HIST 71 306
HIST 72 298
HIST 73 314
HIST 74 305
HIST 75 353
HIST 76 298
HIST 77 364
HIST 78 320
HIST 79 274
HIST 80 294
HIST 81 284
HIST 82 308
HIST 83 306
HIST 84 312
HIST 85 288
HIST 86 287
HIST 87 318
HIST 88 365
HIST 89 293
HIST 90 848
HIST 91 290
HIST 92 326
HIST 93 295
HIST 94 1285
HIST 95 314
HIST 96 311
HIST 97 308
HIST 98 326
HIST 99 305
HIST 100 319
HIST 101 285
HIST 102 290
HIST 103 315
HIST 104 286
HIST 105 465
HIST 106 572
HIST 107 307
HIST 108 261
HIST 109 453
HIST 110 334
HIST 111 280
HIST 112 295
HIST 113 306
HIST 114 301
HIST 115 311
HIST 116 294
HIST 117 296
HIST 118 306
HIST 119 270
HIST 120 301
HIST 121 305
HIST 122 273
HIST 123 297
HIST 124 287
HIST 125 303
HIST 126 346
HIST 127 306
HIST 128 322
HIST 129 323
HIST 130 299
HIST 131 262
HIST 132 317
HIST 133 303
HIST 134 303
HIST 135 281
HIST 136 325
HIST 137 289
HIST 138 297
HIST 139 358
HIST 140 329
HIST 141 325
HIST 142 336
HIST 143 301
HIST 144 324
HIST 145 328
HIST 146 338
HIST 147 317
HIST 148 331
HIST 149 346
HIST 150 289
HIST 151 326
HIST 152 331
HIST 153 341
HIST 154 331
HIST 155 330
HIST 156 334
HIST 157 292
HIST 158 324
HIST 159 328
HIST 160 302
HIST 161 344
HIST 162 349
HIST 163 342
HIST 164 355
HIST 165 293
HIST 166 320
HIST 167 295
HIST 168 301
HIST 169 311
HIST 170 321
HIST 171 343
HIST 172 343
HIST 173 328
HIST 174 318
HIST 175 306
HIST 176 338
HIST 177 337
HIST 178 341
HIST 179 320
HIST 180 334
HIST 181 337
HIST 182 347
HIST 183 274
HIST 184 336
HIST 185 362
HIST 186 335
HIST 187 341
HIST 188 355
HIST 189 348
HIST 190 322
HIST 191 319
HIST 192 327
HIST 193 299
HIST 194 357
HIST 195 324
HIST 196 361
HIST 197 348
HIST 198 325
HIST 199 352
HIST 200 333
HIST 201 304
HIST 202 354
HIST 203 325
HIST 204 308
HIST 205 334
HIST 206 331
HIST 207 369
HIST 208 330
HIST 209 397
HIST 210 357
HIST 211 359
HIST 212 362
HIST 213 347
HIST 214 320
HIST 215 335
HIST 216 339
HIST 217 325
HIST 218 301
HIST 219 346
HIST 220 330
HIST 221 301
HIST 222 305
HIST 223 323
HIST 224 315
HIST 225 322
HIST 226 305
HIST 227 334
HIST 228 350
HIST 229 339
HIST 230 356
HIST 231 343
HIST 232 351
HIST 233 386
HIST 234 406
HIST 235 375
HIST 236 398
HIST 237 353
HIST 238 379
HIST 239 1061
HIST 240 365
HIST 241 426
HIST 242 387
HIST 243 391
HIST 244 412
HIST 245 410
HIST 246 377
HIST 247 376
HIST 248 403
HIST 249 406
HIST 250 367
HIST 251 383
HIST 252 380
HIST 253 365
HIST 254 393
HIST 255 401
HIST 256 358
HIST 257 399
HIST 258 358
HIST 259 389
HIST 260 391
HIST 261 361
HIST 262 408
HIST 263 405
HIST 264 419
HIST 265 420
HIST 266 406
HIST 267 369
HIST 268 402
HIST 269 387
HIST 270 429
HIST 271 376
HIST 272 428
HIST 273 394
HIST 274 391
HIST 275 396
HIST 276 375
HIST 277 427
HIST 278 395
HIST 279 390
HIST 280 402
HIST 281 392
HIST 282 402
HIST 283 395
HIST 284 426
HIST 285 377
HIST 286 382
HIST 287 379
HIST 288 371
HIST 289 364
HIST 290 376
HIST 291 366
HIST 292 413
HIST 293 401
HIST 294 415
HIST 295 405
HIST 296 370
HIST 297 378
HIST 298 387
HIST 299 410
HIST 300 400
HIST 301 379
HIST 302 349
HIST 303 424
HIST 304 361
HIST 305 385
HIST 306 419
HIST 307 393
HIST 308 351
HIST 309 346
HIST 310 383
HIST 311 362
HIST 312 384
HIST 313 381
HIST 314 375
HIST 315 378
HIST 316 375
HIST 317 363
HIST 318 382
HIST 319 338
HIST 320 375
HIST 321 394
HIST 322 344
HIST 323 341
HIST 324 370
HIST 325 372
HIST 326 354
HIST 327 342
HIST 328 415
HIST 329 381
HIST 330 379
HIST 331 351
HIST 332 386
HIST 333 339
HIST 334 399
HIST 335 378
HIST 336 355
HIST 337 335
HIST 338 519
HIST 339 355
HIST 340 356
HIST 341 359
HIST 342 326
HIST 343 322
HIST 344 293
HIST 345 336
HIST 346 332
HIST 347 332
HIST 348 319
HIST 349 313
HIST 350 321
HIST 351 315
HIST 352 323
HIST 353 328
HIST 354 304
HIST 355 354
HIST 356 364
HIST 357 325
HIST 358 330
HIST 359 312
HIST 360 322
HIST 361 293
HIST 362 305
HIST 363 325
HIST 364 294
HIST 365 301
HIST 366 319
HIST 367 318
HIST 368 314
HIST 369 299
HIST 370 299
HIST 371 310
HIST 372 325
HIST 373 302
HIST 374 312
HIST 375 295
HIST 376 288
HIST 377 306
HIST 378 339
HIST 379 296
HIST 380 311
HIST 381 304
HIST 382 306
HIST 383 302
HIST 384 287
HIST 385 273
HIST 386 338
HIST 387 311
HIST 388 286
HIST 389 284
HIST 390 286
HIST 391 283
HIST 392 311
HIST 393 286
HIST 394 313
HIST 395 299
HIST 396 302
HIST 397 274
HIST 398 287
HIST 399 266
HIST 400 278
HIST 401 289
HIST 402 310
HIST 403 336
HIST 404 274
HIST 405 292
HIST 406 307
HIST 407 273
HIST 408 292
HIST 409 277
HIST 410 280
HIST 411 261
HIST 412 282
HIST 413 262
HIST 414 272
HIST 415 281
HIST 416 251
HIST 417 280
HIST 418 274
HIST 419 261
HIST 420 279
HIST 421 247
HIST 422 258
HIST 423 290
HIST 424 255
HIST 425 298
HIST 426 282
HIST 427 277
HIST 428 251
HIST 429 270
HIST 430 267
HIST 431 260
HIST 432 281
HIST 433 245
HIST 434 265
HIST 435 242
HIST 436 229
HIST 437 274
HIST 438 256
HIST 439 247
HIST 440 241
HIST 441 240
HIST 442 247
HIST 443 262
HIST 444 247
HIST 445 268
HIST 446 294
HIST 447 237
HIST 448 286
HIST 449 255
HIST 450 240
HIST 451 259
HIST 452 246
HIST 453 229
HIST 454 276
HIST 455 228
HIST 456 237
HIST 457 248
HIST 458 242
HIST 459 227
HIST 460 228
HIST 461 232
HIST 462 254
HIST 463 291
HIST 464 233
HIST 465 229
HIST 466 201
HIST 467 250
HIST 468 243
HIST 469 233
HIST 470 211
HIST 471 269
HIST 472 220
HIST 473 276
HIST 474 233
HIST 475 231
HIST 476 244
HIST 477 229
HIST 478 258
HIST 479 213
HIST 480 243
HIST 481 236
HIST 482 242
HIST 483 250
HIST 484 241
HIST 485 235
HIST 486 241
HIST 487 256
HIST 488 251
HIST 489 216
HIST 490 239
HIST 491 246
HIST 492 251
HIST 493 241
HIST 494 246
HIST 495 206
HIST 496 222
HIST 497 241
HIST 498 227
HIST 499 239
HIST 500 243
HIST 501 226
HIST 502 204
HIST 503 211
HIST 504 222
HIST 505 220
HIST 506 212
HIST 507 198
HIST 508 201
HIST 509 216
HIST 510 212
HIST 511 12265
HIST 512 207
HIST 513 228
HIST 514 194
HIST 515 215
HIST 516 210
HIST 517 195
HIST 518 206
HIST 519 206
HIST 520 192
HIST 521 196
HIST 522 230
HIST 523 189
HIST 524 178
HIST 525 204
HIST 526 206
HIST 527 226
HIST 528 237
HIST 529 209
HIST 530 215
HIST 531 212
HIST 532 220
HIST 533 205
HIST 534 205
HIST 535 203
HIST 536 198
HIST 537 182
HIST 538 217
HIST 539 231
HIST 540 199
HIST 541 223
HIST 542 217
HIST 543 211
HIST 544 211
HIST 545 229
HIST 546 187
HIST 547 197
HIST 548 212
HIST 549 202
HIST 550 204
HIST 551 211
HIST 552 219
HIST 553 174
HIST 554 187
HIST 555 198
HIST 556 193
HIST 557 203
HIST 558 198
HIST 559 205
HIST 560 209
HIST 561 212
HIST 562 188
HIST 563 199
HIST 564 182
HIST 565 180
HIST 566 209
HIST 567 178
HIST 568 197
HIST 569 174
HIST 570 185
HIST 571 200
HIST 572 183
HIST 573 198
HIST 574 202
