P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=1 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_5
RESULT decays=8000000
RESULT any=335985 eps_total=4.199812e-02
RESULT window=1460.820 counts=46886 eps=5.860750e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=8000000
HIST 0 52
HIST 1 215
HIST 2 222
HIST 3 215
HIST 4 229
HIST 5 273
HIST 6 275
HIST 7 254
HIST 8 265
HIST 9 257
HIST 10 294
HIST 11 301
HIST 12 269
HIST 13 280
HIST 14 257
HIST 15 297
HIST 16 285
HIST 17 295
HIST 18 306
HIST 19 274
HIST 20 307
HIST 21 292
HIST 22 364
HIST 23 289
HIST 24 355
HIST 25 272
HIST 26 328
HIST 27 248
HIST 28 296
HIST 29 272
HIST 30 318
HIST 31 300
HIST 32 273
HIST 33 279
HIST 34 320
HIST 35 313
HIST 36 293
HIST 37 281
HIST 38 294
HIST 39 271
HIST 40 273
HIST 41 297
HIST 42 276
HIST 43 279
HIST 44 305
HIST 45 301
HIST 46 301
HIST 47 296
HIST 48 298
HIST 49 298
HIST 50 289
HIST 51 335
HIST 52 271
HIST 53 841
HIST 54 1170
HIST 55 270
HIST 56 278
HIST 57 317
HIST 58 268
HIST 59 303
HIST 60 287
HIST 61 665
HIST 62 264
HIST 63 353
HIST 64 270
HIST 65 257
HIST 66 296
HIST 67 251
HIST 68 242
HIST 69 266
HIST 70 239
HIST 71 259
HIST 72 264
HIST 73 271
HIST 74 254
HIST 75 246
HIST 76 245
HIST 77 233
HIST 78 269
HIST 79 253
HIST 80 210
HIST 81 245
HIST 82 249
HIST 83 250
HIST 84 252
HIST 85 252
HIST 86 258
HIST 87 251
HIST 88 234
HIST 89 269
HIST 90 233
HIST 91 248
HIST 92 247
HIST 93 230
HIST 94 277
HIST 95 250
HIST 96 267
HIST 97 286
HIST 98 260
HIST 99 265
HIST 100 255
HIST 101 221
HIST 102 227
HIST 103 261
HIST 104 276
HIST 105 239
HIST 106 243
HIST 107 275
HIST 108 263
HIST 109 259
HIST 110 243
HIST 111 264
HIST 112 245
HIST 113 249
HIST 114 262
HIST 115 278
HIST 116 288
HIST 117 245
HIST 118 265
HIST 119 252
HIST 120 248
HIST 121 266
HIST 122 271
HIST 123 258
HIST 124 270
HIST 125 246
HIST 126 276
HIST 127 258
HIST 128 277
HIST 129 257
HIST 130 258
HIST 131 260
HIST 132 269
HIST 133 260
HIST 134 264
HIST 135 266
HIST 136 258
HIST 137 261
HIST 138 272
HIST 139 273
HIST 140 261
HIST 141 250
HIST 142 231
HIST 143 229
HIST 144 245
HIST 145 223
HIST 146 295
HIST 147 299
HIST 148 265
HIST 149 257
HIST 150 260
HIST 151 287
HIST 152 230
HIST 153 230
HIST 154 270
HIST 155 284
HIST 156 265
HIST 157 258
HIST 158 266
HIST 159 262
HIST 160 277
HIST 161 277
HIST 162 239
HIST 163 256
HIST 164 264
HIST 165 261
HIST 166 276
HIST 167 275
HIST 168 271
HIST 169 272
HIST 170 256
HIST 171 246
HIST 172 242
HIST 173 242
HIST 174 243
HIST 175 252
HIST 176 276
HIST 177 264
HIST 178 254
HIST 179 253
HIST 180 274
HIST 181 275
HIST 182 280
HIST 183 260
HIST 184 237
HIST 185 283
HIST 186 300
HIST 187 255
HIST 188 262
HIST 189 277
HIST 190 258
HIST 191 288
HIST 192 240
HIST 193 236
HIST 194 239
HIST 195 276
HIST 196 246
HIST 197 263
HIST 198 244
HIST 199 288
HIST 200 252
HIST 201 265
HIST 202 271
HIST 203 237
HIST 204 279
HIST 205 238
HIST 206 276
HIST 207 210
HIST 208 240
HIST 209 240
HIST 210 236
HIST 211 284
HIST 212 263
HIST 213 259
HIST 214 263
HIST 215 297
HIST 216 290
HIST 217 283
HIST 218 294
HIST 219 313
HIST 220 333
HIST 221 333
HIST 222 332
HIST 223 384
HIST 224 332
HIST 225 341
HIST 226 299
HIST 227 341
HIST 228 318
HIST 229 331
HIST 230 319
HIST 231 314
HIST 232 323
HIST 233 329
HIST 234 320
HIST 235 338
HIST 236 332
HIST 237 318
HIST 238 335
HIST 239 308
HIST 240 340
HIST 241 338
HIST 242 310
HIST 243 353
HIST 244 344
HIST 245 350
HIST 246 293
HIST 247 351
HIST 248 329
HIST 249 332
HIST 250 346
HIST 251 313
HIST 252 336
HIST 253 352
HIST 254 312
HIST 255 323
HIST 256 315
HIST 257 345
HIST 258 360
HIST 259 320
HIST 260 295
HIST 261 309
HIST 262 309
HIST 263 303
HIST 264 316
HIST 265 338
HIST 266 308
HIST 267 307
HIST 268 309
HIST 269 324
HIST 270 259
HIST 271 312
HIST 272 324
HIST 273 317
HIST 274 332
HIST 275 296
HIST 276 299
HIST 277 288
HIST 278 300
HIST 279 294
HIST 280 294
HIST 281 280
HIST 282 289
HIST 283 289
HIST 284 277
HIST 285 278
HIST 286 307
HIST 287 304
HIST 288 304
HIST 289 316
HIST 290 276
HIST 291 302
HIST 292 265
HIST 293 293
HIST 294 273
HIST 295 279
HIST 296 284
HIST 297 278
HIST 298 263
HIST 299 279
HIST 300 270
HIST 301 295
HIST 302 283
HIST 303 275
HIST 304 287
HIST 305 300
HIST 306 276
HIST 307 253
HIST 308 276
HIST 309 298
HIST 310 258
HIST 311 274
HIST 312 276
HIST 313 292
HIST 314 264
HIST 315 242
HIST 316 263
HIST 317 234
HIST 318 260
HIST 319 287
HIST 320 261
HIST 321 285
HIST 322 242
HIST 323 243
HIST 324 259
HIST 325 264
HIST 326 285
HIST 327 228
HIST 328 280
HIST 329 268
HIST 330 246
HIST 331 232
HIST 332 226
HIST 333 265
HIST 334 268
HIST 335 254
HIST 336 237
HIST 337 253
HIST 338 238
HIST 339 233
HIST 340 239
HIST 341 224
HIST 342 248
HIST 343 236
HIST 344 252
HIST 345 225
HIST 346 245
HIST 347 258
HIST 348 233
HIST 349 217
HIST 350 253
HIST 351 248
HIST 352 210
HIST 353 266
HIST 354 239
HIST 355 218
HIST 356 237
HIST 357 238
HIST 358 221
HIST 359 231
HIST 360 243
HIST 361 241
HIST 362 229
HIST 363 235
HIST 364 224
HIST 365 259
HIST 366 225
HIST 367 225
HIST 368 246
HIST 369 245
HIST 370 233
HIST 371 218
HIST 372 238
HIST 373 247
HIST 374 264
HIST 375 237
HIST 376 236
HIST 377 228
HIST 378 217
HIST 379 232
HIST 380 242
HIST 381 236
HIST 382 247
HIST 383 197
HIST 384 244
HIST 385 244
HIST 386 216
HIST 387 214
HIST 388 233
HIST 389 227
HIST 390 215
HIST 391 190
HIST 392 217
HIST 393 217
HIST 394 204
HIST 395 199
HIST 396 241
HIST 397 226
HIST 398 199
HIST 399 245
HIST 400 225
HIST 401 224
HIST 402 225
HIST 403 228
HIST 404 238
HIST 405 204
HIST 406 245
HIST 407 247
HIST 408 217
HIST 409 205
HIST 410 200
HIST 411 205
HIST 412 204
HIST 413 229
HIST 414 231
HIST 415 189
HIST 416 190
HIST 417 204
HIST 418 202
HIST 419 205
HIST 420 183
HIST 421 211
HIST 422 197
HIST 423 216
HIST 424 204
HIST 425 190
HIST 426 219
HIST 427 209
HIST 428 239
HIST 429 214
HIST 430 220
HIST 431 210
HIST 432 212
HIST 433 234
HIST 434 188
HIST 435 231
HIST 436 207
HIST 437 203
HIST 438 222
HIST 439 2239
HIST 440 207
HIST 441 200
HIST 442 220
HIST 443 187
HIST 444 195
HIST 445 214
HIST 446 216
HIST 447 213
HIST 448 227
HIST 449 210
HIST 450 203
HIST 451 234
HIST 452 207
HIST 453 219
HIST 454 208
HIST 455 188
HIST 456 206
HIST 457 206
HIST 458 213
HIST 459 185
HIST 460 210
HIST 461 188
HIST 462 200
HIST 463 205
HIST 464 223
HIST 465 216
HIST 466 196
HIST 467 202
HIST 468 205
HIST 469 221
HIST 470 198
HIST 471 208
HIST 472 208
HIST 473 206
HIST 474 215
HIST 475 237
HIST 476 192
HIST 477 224
HIST 478 207
HIST 479 217
HIST 480 188
HIST 481 189
HIST 482 185
HIST 483 194
HIST 484 183
HIST 485 172
HIST 486 208
HIST 487 191
HIST 488 202
HIST 489 181
HIST 490 178
HIST 491 192
HIST 492 201
HIST 493 168
HIST 494 203
HIST 495 189
HIST 496 207
HIST 497 204
HIST 498 212
HIST 499 189
HIST 500 200
HIST 501 175
HIST 502 193
HIST 503 223
HIST 504 179
HIST 505 218
HIST 506 198
HIST 507 210
HIST 508 191
HIST 509 193
HIST 510 215
HIST 511 738
HIST 512 165
HIST 513 182
HIST 514 195
HIST 515 200
HIST 516 193
HIST 517 191
HIST 518 190
HIST 519 190
HIST 520 195
HIST 521 189
HIST 522 214
HIST 523 183
HIST 524 209
HIST 525 185
HIST 526 181
HIST 527 187
HIST 528 203
HIST 529 213
HIST 530 175
HIST 531 183
HIST 532 202
HIST 533 187
HIST 534 189
HIST 535 207
HIST 536 209
HIST 537 188
HIST 538 188
HIST 539 191
HIST 540 174
HIST 541 192
HIST 542 185
HIST 543 205
HIST 544 206
HIST 545 221
HIST 546 200
HIST 547 207
HIST 548 190
HIST 549 167
HIST 550 196
HIST 551 189
HIST 552 197
HIST 553 182
HIST 554 212
HIST 555 191
HIST 556 206
HIST 557 181
HIST 558 195
HIST 559 198
HIST 560 180
HIST 561 202
HIST 562 190
HIST 563 195
HIST 564 206
HIST 565 165
HIST 566 175
HIST 567 200
HIST 568 154
HIST 569 207
HIST 570 202
HIST 571 182
HIST 572 178
HIST 573 200
HIST 574 180
HIST 575 172
HIST 576 161
HIST 577 195
HIST 578 190
HIST 579 177
HIST 580 193
HIST 581 184
HIST 582 198
HIST 583 180
HIST 584 191
HIST 585 170
HIST 586 176
HIST 587 184
HIST 588 166
HIST 589 166
HIST 590 189
HIST 591 175
HIST 592 188
HIST 593 179
HIST 594 172
HIST 595 178
HIST 596 197
HIST 597 208
HIST 598 193
HIST 599 184
HIST 600 184
HIST 601 158
