P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=8000000
RESULT any=236262 eps_total=2.953275e-02
RESULT window=59.541 counts=172513 eps=2.156412e-02
HISTBEGIN bins=61 bin_kev=1.000000 decays=8000000
HIST 0 2
HIST 1 26
HIST 2 29
HIST 3 35
HIST 4 39
HIST 5 79
HIST 6 93
HIST 7 117
HIST 8 109
HIST 9 109
HIST 10 128
HIST 11 136
HIST 12 116
HIST 13 107
HIST 14 143
HIST 15 112
HIST 16 125
HIST 17 181
HIST 18 217
HIST 19 251
HIST 20 311
HIST 21 374
HIST 22 415
HIST 23 460
HIST 24 816
HIST 25 1854
HIST 26 569
HIST 27 3424
HIST 28 581
HIST 29 13372
HIST 30 313
HIST 31 11208
HIST 32 52
HIST 33 66
HIST 34 62
HIST 35 67
HIST 36 59
HIST 37 89
HIST 38 96
HIST 39 101
HIST 40 96
HIST 41 130
HIST 42 216
HIST 43 216
HIST 44 250
HIST 45 268
HIST 46 335
HIST 47 344
HIST 48 555
HIST 49 943
HIST 50 1209
HIST 51 1388
HIST 52 1678
HIST 53 1779
HIST 54 1975
HIST 55 2488
HIST 56 3060
HIST 57 3869
HIST 58 4192
HIST 59 4168
HIST 60 170660
HISTEND
