P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=1
RESULT decays=8000000
RESULT any=461172 eps_total=5.764650e-02
RESULT window=661.657 counts=134434 eps=1.680425e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=8000000
HIST 0 171
HIST 1 528
HIST 2 587
HIST 3 628
HIST 4 591
HIST 5 656
HIST 6 671
HIST 7 692
HIST 8 721
HIST 9 640
HIST 10 665
HIST 11 704
HIST 12 637
HIST 13 696
HIST 14 706
HIST 15 729
HIST 16 722
HIST 17 699
HIST 18 666
HIST 19 766
HIST 20 742
HIST 21 712
HIST 22 825
HIST 23 819
HIST 24 840
HIST 25 713
HIST 26 883
HIST 27 684
HIST 28 689
HIST 29 703
HIST 30 696
HIST 31 694
HIST 32 692
HIST 33 759
HIST 34 641
HIST 35 693
HIST 36 728
HIST 37 676
HIST 38 705
HIST 39 673
HIST 40 664
HIST 41 639
HIST 42 683
HIST 43 668
HIST 44 700
HIST 45 667
HIST 46 647
HIST 47 667
HIST 48 751
HIST 49 720
HIST 50 730
HIST 51 748
HIST 52 762
HIST 53 2025
HIST 54 3067
HIST 55 701
HIST 56 686
HIST 57 702
HIST 58 683
HIST 59 729
HIST 60 677
HIST 61 1731
HIST 62 710
HIST 63 893
HIST 64 648
HIST 65 604
HIST 66 674
HIST 67 636
HIST 68 675
HIST 69 625
HIST 70 616
HIST 71 665
HIST 72 630
HIST 73 631
HIST 74 652
HIST 75 633
HIST 76 648
HIST 77 615
HIST 78 610
HIST 79 613
HIST 80 621
HIST 81 636
HIST 82 596
HIST 83 624
HIST 84 634
HIST 85 679
HIST 86 666
HIST 87 613
HIST 88 602
HIST 89 595
HIST 90 605
HIST 91 645
HIST 92 642
HIST 93 610
HIST 94 612
HIST 95 599
HIST 96 613
HIST 97 600
HIST 98 605
HIST 99 600
HIST 100 626
HIST 101 611
HIST 102 619
HIST 103 637
HIST 104 648
HIST 105 579
HIST 106 621
HIST 107 621
HIST 108 587
HIST 109 624
HIST 110 602
HIST 111 583
HIST 112 576
HIST 113 609
HIST 114 629
HIST 115 632
HIST 116 672
HIST 117 605
HIST 118 631
HIST 119 640
HIST 120 643
HIST 121 633
HIST 122 691
HIST 123 647
HIST 124 608
HIST 125 642
HIST 126 616
HIST 127 592
HIST 128 631
HIST 129 665
HIST 130 643
HIST 131 647
HIST 132 634
HIST 133 617
HIST 134 608
HIST 135 641
HIST 136 631
HIST 137 643
HIST 138 596
HIST 139 599
HIST 140 681
HIST 141 605
HIST 142 625
HIST 143 643
HIST 144 599
HIST 145 617
HIST 146 605
HIST 147 572
HIST 148 625
HIST 149 632
HIST 150 643
HIST 151 650
HIST 152 623
HIST 153 653
HIST 154 632
HIST 155 612
HIST 156 623
HIST 157 573
HIST 158 669
HIST 159 585
HIST 160 609
HIST 161 568
HIST 162 592
HIST 163 610
HIST 164 594
HIST 165 676
HIST 166 623
HIST 167 669
HIST 168 589
HIST 169 660
HIST 170 639
HIST 171 673
HIST 172 640
HIST 173 621
HIST 174 650
HIST 175 653
HIST 176 648
HIST 177 627
HIST 178 621
HIST 179 646
HIST 180 635
HIST 181 669
HIST 182 673
HIST 183 673
HIST 184 691
HIST 185 757
HIST 186 784
HIST 187 801
HIST 188 834
HIST 189 834
HIST 190 807
HIST 191 850
HIST 192 799
HIST 193 799
HIST 194 850
HIST 195 814
HIST 196 888
HIST 197 838
HIST 198 800
HIST 199 821
HIST 200 878
HIST 201 843
HIST 202 859
HIST 203 838
HIST 204 861
HIST 205 833
HIST 206 833
HIST 207 828
HIST 208 809
HIST 209 849
HIST 210 840
HIST 211 820
HIST 212 783
HIST 213 782
HIST 214 814
HIST 215 796
HIST 216 837
HIST 217 814
HIST 218 768
HIST 219 829
HIST 220 811
HIST 221 782
HIST 222 760
HIST 223 762
HIST 224 820
HIST 225 769
HIST 226 757
HIST 227 769
HIST 228 772
HIST 229 735
HIST 230 743
HIST 231 749
HIST 232 773
HIST 233 747
HIST 234 766
HIST 235 779
HIST 236 753
HIST 237 716
HIST 238 780
HIST 239 743
HIST 240 738
HIST 241 757
HIST 242 728
HIST 243 733
HIST 244 752
HIST 245 700
HIST 246 790
HIST 247 697
HIST 248 719
HIST 249 732
HIST 250 753
HIST 251 716
HIST 252 743
HIST 253 697
HIST 254 709
HIST 255 673
HIST 256 738
HIST 257 667
HIST 258 722
HIST 259 692
HIST 260 652
HIST 261 678
HIST 262 677
HIST 263 653
HIST 264 664
HIST 265 676
HIST 266 655
HIST 267 685
HIST 268 622
HIST 269 646
HIST 270 677
HIST 271 682
HIST 272 655
HIST 273 641
HIST 274 603
HIST 275 650
HIST 276 661
HIST 277 669
HIST 278 620
HIST 279 634
HIST 280 658
HIST 281 618
HIST 282 683
HIST 283 635
HIST 284 631
HIST 285 617
HIST 286 631
HIST 287 591
HIST 288 642
HIST 289 597
HIST 290 616
HIST 291 645
HIST 292 622
HIST 293 584
HIST 294 588
HIST 295 609
HIST 296 637
HIST 297 599
HIST 298 643
HIST 299 648
HIST 300 614
HIST 301 577
HIST 302 566
HIST 303 561
HIST 304 585
HIST 305 599
HIST 306 584
HIST 307 571
HIST 308 661
HIST 309 581
HIST 310 626
HIST 311 572
HIST 312 560
HIST 313 593
HIST 314 555
HIST 315 524
HIST 316 563
HIST 317 601
HIST 318 604
HIST 319 593
HIST 320 552
HIST 321 584
HIST 322 586
HIST 323 587
HIST 324 577
HIST 325 565
HIST 326 569
HIST 327 549
HIST 328 554
HIST 329 548
HIST 330 545
HIST 331 563
HIST 332 545
HIST 333 521
HIST 334 533
HIST 335 526
HIST 336 584
HIST 337 564
HIST 338 535
HIST 339 537
HIST 340 558
HIST 341 546
HIST 342 559
HIST 343 514
HIST 344 506
HIST 345 528
HIST 346 586
HIST 347 516
HIST 348 543
HIST 349 528
HIST 350 559
HIST 351 541
HIST 352 583
HIST 353 569
HIST 354 553
HIST 355 558
HIST 356 569
HIST 357 554
HIST 358 570
HIST 359 520
HIST 360 532
HIST 361 548
HIST 362 538
HIST 363 515
HIST 364 549
HIST 365 552
HIST 366 544
HIST 367 546
HIST 368 545
HIST 369 516
HIST 370 518
HIST 371 536
HIST 372 501
HIST 373 543
HIST 374 528
HIST 375 525
HIST 376 569
HIST 377 530
HIST 378 586
HIST 379 531
HIST 380 524
HIST 381 563
HIST 382 515
HIST 383 580
HIST 384 544
HIST 385 529
HIST 386 505
HIST 387 544
HIST 388 507
HIST 389 540
HIST 390 556
HIST 391 562
HIST 392 538
HIST 393 518
HIST 394 542
HIST 395 531
HIST 396 553
HIST 397 517
HIST 398 522
HIST 399 516
HIST 400 497
HIST 401 553
HIST 402 557
HIST 403 496
HIST 404 516
HIST 405 533
HIST 406 526
HIST 407 523
HIST 408 576
HIST 409 547
HIST 410 533
HIST 411 549
HIST 412 531
HIST 413 517
HIST 414 515
HIST 415 540
HIST 416 488
HIST 417 518
HIST 418 524
HIST 419 500
HIST 420 528
HIST 421 562
HIST 422 494
HIST 423 521
HIST 424 520
HIST 425 538
HIST 426 513
HIST 427 578
HIST 428 515
HIST 429 481
HIST 430 530
HIST 431 541
HIST 432 525
HIST 433 537
HIST 434 494
HIST 435 509
HIST 436 548
HIST 437 528
HIST 438 529
HIST 439 522
HIST 440 540
HIST 441 569
HIST 442 561
HIST 443 588
HIST 444 535
HIST 445 529
HIST 446 552
HIST 447 548
HIST 448 545
HIST 449 549
HIST 450 546
HIST 451 548
HIST 452 514
HIST 453 528
HIST 454 597
HIST 455 536
HIST 456 557
HIST 457 554
HIST 458 524
HIST 459 533
HIST 460 502
HIST 461 602
HIST 462 556
HIST 463 552
HIST 464 534
HIST 465 561
HIST 466 561
HIST 467 557
HIST 468 537
HIST 469 563
HIST 470 525
HIST 471 541
HIST 472 522
HIST 473 514
HIST 474 494
HIST 475 491
HIST 476 521
HIST 477 409
HIST 478 368
HIST 479 315
HIST 480 293
HIST 481 269
HIST 482 250
HIST 483 268
HIST 484 242
HIST 485 221
HIST 486 244
HIST 487 219
HIST 488 211
HIST 489 209
HIST 490 207
HIST 491 211
HIST 492 210
HIST 493 191
HIST 494 192
HIST 495 181
HIST 496 179
HIST 497 193
HIST 498 172
HIST 499 177
HIST 500 179
HIST 501 161
HIST 502 158
HIST 503 170
HIST 504 155
HIST 505 156
HIST 506 162
HIST 507 142
HIST 508 143
HIST 509 153
HIST 510 148
HIST 511 143
HIST 512 153
HIST 513 141
HIST 514 132
HIST 515 130
HIST 516 136
HIST 517 151
HIST 518 150
HIST 519 136
HIST 520 148
HIST 521 146
HIST 522 135
HIST 523 132
HIST 524 122
HIST 525 99
HIST 526 122
HIST 527 110
HIST 528 119
HIST 529 106
HIST 530 123
HIST 531 108
HIST 532 107
HIST 533 116
HIST 534 116
HIST 535 94
HIST 536 142
HIST 537 96
HIST 538 95
HIST 539 112
HIST 540 106
HIST 541 104
HIST 542 82
HIST 543 113
HIST 544 97
HIST 545 87
HIST 546 106
HIST 547 94
HIST 548 103
HIST 549 95
HIST 550 118
HIST 551 111
HIST 552 82
HIST 553 94
HIST 554 99
HIST 555 105
HIST 556 106
HIST 557 113
HIST 558 87
HIST 559 84
HIST 560 96
HIST 561 87
HIST 562 92
HIST 563 93
HIST 564 91
HIST 565 100
HIST 566 82
HIST 567 89
HIST 568 98
HIST 569 103
HIST 570 75
HIST 571 84
HIST 572 106
HIST 573 82
HIST 574 89
HIST 575 94
HIST 576 88
HIST 577 88
HIST 578 100
HIST 579 92
HIST 580 101
HIST 581 98
HIST 582 87
HIST 583 91
HIST 584 99
HIST 585 91
HIST 586 89
HIST 587 89
HIST 588 93
HIST 589 81
HIST 590 86
HIST 591 98
HIST 592 90
HIST 593 87
HIST 594 69
HIST 595 82
HIST 596 85
HIST 597 70
