P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_3
RESULT decays=40000000
RESULT any=1564548 eps_total=3.911370e-02
RESULT window=1460.820 counts=120553 eps=3.013825e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=40000000
HIST 0 554
HIST 1 1383
HIST 2 1487
HIST 3 1519
HIST 4 1540
HIST 5 1651
HIST 6 1783
HIST 7 1705
HIST 8 1828
HIST 9 1682
HIST 10 1781
HIST 11 1796
HIST 12 1875
HIST 13 1849
HIST 14 1784
HIST 15 1887
HIST 16 1846
HIST 17 1874
HIST 18 1824
HIST 19 1843
HIST 20 1763
HIST 21 1833
HIST 22 1825
HIST 23 1840
HIST 24 1784
HIST 25 1811
HIST 26 1875
HIST 27 1799
HIST 28 1766
HIST 29 1791
HIST 30 1728
HIST 31 1715
HIST 32 1713
HIST 33 1661
HIST 34 1775
HIST 35 1682
HIST 36 1707
HIST 37 1579
HIST 38 1742
HIST 39 1703
HIST 40 1670
HIST 41 1706
HIST 42 1599
HIST 43 1621
HIST 44 1623
HIST 45 1606
HIST 46 1650
HIST 47 1618
HIST 48 1599
HIST 49 1637
HIST 50 1609
HIST 51 1633
HIST 52 1602
HIST 53 1572
HIST 54 1592
HIST 55 1560
HIST 56 1626
HIST 57 1469
HIST 58 1497
HIST 59 1567
HIST 60 1510
HIST 61 1532
HIST 62 1482
HIST 63 1512
HIST 64 1554
HIST 65 1539
HIST 66 1501
HIST 67 1475
HIST 68 1507
HIST 69 1566
HIST 70 1547
HIST 71 1553
HIST 72 1518
HIST 73 1489
HIST 74 1484
HIST 75 1531
HIST 76 1428
HIST 77 1412
HIST 78 1475
HIST 79 1424
HIST 80 1473
HIST 81 1377
HIST 82 1451
HIST 83 1471
HIST 84 1392
HIST 85 1483
HIST 86 1482
HIST 87 1385
HIST 88 1415
HIST 89 1399
HIST 90 1404
HIST 91 1444
HIST 92 1390
HIST 93 1512
HIST 94 1455
HIST 95 1467
HIST 96 1426
HIST 97 1484
HIST 98 1388
HIST 99 1413
HIST 100 1357
HIST 101 1407
HIST 102 1421
HIST 103 1360
HIST 104 1336
HIST 105 1388
HIST 106 1410
HIST 107 1328
HIST 108 1391
HIST 109 1394
HIST 110 1408
HIST 111 1363
HIST 112 1338
HIST 113 1381
HIST 114 1382
HIST 115 1281
HIST 116 1320
HIST 117 1380
HIST 118 1373
HIST 119 1337
HIST 120 1429
HIST 121 1329
HIST 122 1356
HIST 123 1334
HIST 124 1312
HIST 125 1342
HIST 126 1368
HIST 127 1354
HIST 128 1306
HIST 129 1375
HIST 130 1298
HIST 131 1352
HIST 132 1294
HIST 133 1338
HIST 134 1331
HIST 135 1341
HIST 136 1365
HIST 137 1402
HIST 138 1376
HIST 139 1283
HIST 140 1332
HIST 141 1319
HIST 142 1349
HIST 143 1304
HIST 144 1317
HIST 145 1325
HIST 146 1308
