P55 flags: vacuum=1 nofluct=1 nodelta=0 lowcut=0 killesc=0
RESULT decays=40000000
RESULT any=1563685 eps_total=3.909212e-02
RESULT window=1460.820 counts=120345 eps=3.008625e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=40000000
HIST 0 378
HIST 1 1230
HIST 2 1322
HIST 3 1423
HIST 4 1378
HIST 5 1523
HIST 6 1650
HIST 7 1599
HIST 8 1740
HIST 9 1586
HIST 10 1686
HIST 11 1632
HIST 12 1712
HIST 13 1800
HIST 14 1783
HIST 15 1786
HIST 16 1818
HIST 17 1852
HIST 18 1720
HIST 19 1793
HIST 20 1755
HIST 21 1750
HIST 22 1820
HIST 23 1795
HIST 24 1704
HIST 25 1793
HIST 26 1780
HIST 27 1728
HIST 28 1771
HIST 29 1767
HIST 30 1742
HIST 31 1652
HIST 32 1680
HIST 33 1701
HIST 34 1665
HIST 35 1671
HIST 36 1640
HIST 37 1591
HIST 38 1732
HIST 39 1687
HIST 40 1649
HIST 41 1682
HIST 42 1624
HIST 43 1609
HIST 44 1627
HIST 45 1563
HIST 46 1581
HIST 47 1597
HIST 48 1594
HIST 49 1651
HIST 50 1563
HIST 51 1663
HIST 52 1567
HIST 53 1616
HIST 54 1566
HIST 55 1533
HIST 56 1626
HIST 57 1478
HIST 58 1491
HIST 59 1621
HIST 60 1519
HIST 61 1514
HIST 62 1501
HIST 63 1515
HIST 64 1549
HIST 65 1576
HIST 66 1533
HIST 67 1522
HIST 68 1503
HIST 69 1562
HIST 70 1597
HIST 71 1550
HIST 72 1470
HIST 73 1498
HIST 74 1439
HIST 75 1521
HIST 76 1473
HIST 77 1427
HIST 78 1463
HIST 79 1407
HIST 80 1507
HIST 81 1472
HIST 82 1392
HIST 83 1425
HIST 84 1399
HIST 85 1463
HIST 86 1485
HIST 87 1408
HIST 88 1392
HIST 89 1389
HIST 90 1395
HIST 91 1427
HIST 92 1431
HIST 93 1444
HIST 94 1482
HIST 95 1435
HIST 96 1424
HIST 97 1439
HIST 98 1376
HIST 99 1402
HIST 100 1400
HIST 101 1443
HIST 102 1427
HIST 103 1385
HIST 104 1382
HIST 105 1409
HIST 106 1396
HIST 107 1373
HIST 108 1370
HIST 109 1398
HIST 110 1400
HIST 111 1408
HIST 112 1375
HIST 113 1382
HIST 114 1356
HIST 115 1272
HIST 116 1385
HIST 117 1379
HIST 118 1399
HIST 119 1322
HIST 120 1418
HIST 121 1350
HIST 122 1346
HIST 123 1293
HIST 124 1385
HIST 125 1351
HIST 126 1326
HIST 127 1357
HIST 128 1340
HIST 129 1336
HIST 130 1349
HIST 131 1401
HIST 132 1307
HIST 133 1334
HIST 134 1341
HIST 135 1363
HIST 136 1370
