P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=40000000
RESULT any=1410796 eps_total=3.526990e-02
RESULT window=2614.511 counts=40001 eps=1.000025e-03
HISTBEGIN bins=2616 bin_kev=1.000000 decays=40000000
HIST 0 365
HIST 1 882
HIST 2 922
HIST 3 923
HIST 4 905
HIST 5 933
HIST 6 1081
HIST 7 1134
HIST 8 1020
HIST 9 1005
HIST 10 1032
HIST 11 1065
HIST 12 1008
HIST 13 1045
HIST 14 1110
HIST 15 1089
HIST 16 1092
HIST 17 1045
HIST 18 1094
HIST 19 1041
HIST 20 1002
HIST 21 1066
HIST 22 1102
HIST 23 1083
HIST 24 1069
HIST 25 1055
HIST 26 1132
HIST 27 1134
HIST 28 1033
HIST 29 1030
HIST 30 1084
HIST 31 1059
HIST 32 973
HIST 33 1052
HIST 34 1020
HIST 35 1044
HIST 36 1011
HIST 37 989
HIST 38 990
HIST 39 1018
HIST 40 1026
HIST 41 981
HIST 42 1012
HIST 43 1033
HIST 44 990
HIST 45 973
HIST 46 960
HIST 47 997
HIST 48 996
HIST 49 961
HIST 50 955
HIST 51 906
HIST 52 953
HIST 53 914
HIST 54 971
HIST 55 944
HIST 56 938
HIST 57 951
HIST 58 911
HIST 59 967
HIST 60 895
HIST 61 916
HIST 62 910
HIST 63 886
HIST 64 887
HIST 65 870
HIST 66 912
HIST 67 920
HIST 68 892
HIST 69 908
HIST 70 948
HIST 71 905
HIST 72 847
HIST 73 869
HIST 74 904
HIST 75 858
HIST 76 884
HIST 77 890
HIST 78 898
HIST 79 850
HIST 80 871
HIST 81 876
HIST 82 817
HIST 83 862
HIST 84 828
HIST 85 830
HIST 86 872
HIST 87 899
HIST 88 805
HIST 89 835
HIST 90 889
HIST 91 857
HIST 92 846
HIST 93 834
HIST 94 838
HIST 95 839
HIST 96 869
HIST 97 840
HIST 98 784
HIST 99 811
HIST 100 912
HIST 101 819
HIST 102 839
HIST 103 819
HIST 104 837
HIST 105 810
HIST 106 777
HIST 107 751
HIST 108 828
HIST 109 844
HIST 110 880
HIST 111 800
HIST 112 887
HIST 113 790
HIST 114 822
HIST 115 803
HIST 116 787
HIST 117 813
HIST 118 811
HIST 119 792
HIST 120 792
HIST 121 832
HIST 122 812
HIST 123 821
HIST 124 769
HIST 125 826
HIST 126 812
HIST 127 809
HIST 128 795
HIST 129 804
HIST 130 782
HIST 131 791
HIST 132 821
HIST 133 741
HIST 134 796
HIST 135 782
HIST 136 784
HIST 137 746
HIST 138 757
HIST 139 808
HIST 140 814
HIST 141 734
HIST 142 744
HIST 143 745
HIST 144 727
HIST 145 781
HIST 146 842
HIST 147 799
HIST 148 737
HIST 149 817
HIST 150 752
HIST 151 800
HIST 152 768
HIST 153 744
HIST 154 767
HIST 155 783
HIST 156 865
HIST 157 726
HIST 158 754
HIST 159 803
HIST 160 762
HIST 161 739
HIST 162 762
HIST 163 731
HIST 164 765
HIST 165 787
HIST 166 770
HIST 167 700
HIST 168 704
HIST 169 747
HIST 170 723
HIST 171 774
HIST 172 764
HIST 173 729
HIST 174 736
HIST 175 769
HIST 176 729
HIST 177 726
HIST 178 791
HIST 179 697
HIST 180 733
HIST 181 710
HIST 182 744
HIST 183 740
HIST 184 689
HIST 185 706
HIST 186 736
HIST 187 735
HIST 188 699
HIST 189 728
HIST 190 719
HIST 191 712
HIST 192 727
HIST 193 693
HIST 194 719
HIST 195 702
HIST 196 703
HIST 197 659
HIST 198 658
HIST 199 733
HIST 200 700
HIST 201 728
HIST 202 700
HIST 203 725
HIST 204 712
HIST 205 663
HIST 206 720
HIST 207 718
HIST 208 692
HIST 209 685
HIST 210 723
HIST 211 711
HIST 212 721
HIST 213 738
HIST 214 682
HIST 215 695
HIST 216 711
HIST 217 730
HIST 218 722
HIST 219 686
HIST 220 693
HIST 221 715
HIST 222 690
HIST 223 706
HIST 224 705
HIST 225 663
HIST 226 686
HIST 227 693
HIST 228 685
HIST 229 720
HIST 230 757
HIST 231 692
HIST 232 740
HIST 233 720
HIST 234 788
HIST 235 779
HIST 236 792
HIST 237 832
HIST 238 771
HIST 239 832
HIST 240 822
HIST 241 822
HIST 242 817
HIST 243 753
HIST 244 788
HIST 245 838
HIST 246 792
HIST 247 841
HIST 248 817
HIST 249 834
HIST 250 825
HIST 251 857
HIST 252 866
HIST 253 798
HIST 254 764
HIST 255 821
HIST 256 849
HIST 257 814
HIST 258 766
HIST 259 826
HIST 260 777
HIST 261 772
HIST 262 862
HIST 263 810
HIST 264 788
HIST 265 786
HIST 266 743
HIST 267 821
HIST 268 788
HIST 269 777
HIST 270 789
HIST 271 787
HIST 272 755
HIST 273 763
HIST 274 793
HIST 275 776
HIST 276 766
HIST 277 714
HIST 278 757
HIST 279 750
HIST 280 762
HIST 281 720
HIST 282 757
HIST 283 764
HIST 284 741
HIST 285 758
HIST 286 772
HIST 287 755
HIST 288 780
HIST 289 745
HIST 290 784
HIST 291 723
HIST 292 701
HIST 293 679
HIST 294 729
HIST 295 764
HIST 296 722
HIST 297 724
HIST 298 685
HIST 299 735
HIST 300 722
HIST 301 701
HIST 302 737
HIST 303 736
HIST 304 680
HIST 305 664
HIST 306 720
HIST 307 706
HIST 308 723
HIST 309 668
HIST 310 727
HIST 311 721
HIST 312 718
HIST 313 652
HIST 314 709
HIST 315 710
HIST 316 699
HIST 317 695
HIST 318 690
HIST 319 701
HIST 320 696
HIST 321 695
HIST 322 672
HIST 323 712
HIST 324 713
HIST 325 627
HIST 326 672
HIST 327 693
HIST 328 751
HIST 329 662
HIST 330 658
HIST 331 680
HIST 332 711
HIST 333 639
HIST 334 663
HIST 335 696
HIST 336 614
HIST 337 703
HIST 338 647
HIST 339 651
HIST 340 656
HIST 341 652
HIST 342 710
HIST 343 655
HIST 344 675
HIST 345 643
HIST 346 603
HIST 347 660
HIST 348 649
HIST 349 684
HIST 350 663
HIST 351 626
HIST 352 610
HIST 353 613
HIST 354 684
HIST 355 690
HIST 356 613
HIST 357 608
HIST 358 649
HIST 359 627
HIST 360 632
HIST 361 599
HIST 362 627
HIST 363 613
HIST 364 607
HIST 365 644
HIST 366 637
HIST 367 640
HIST 368 624
HIST 369 649
HIST 370 615
HIST 371 670
HIST 372 585
HIST 373 599
HIST 374 638
HIST 375 658
HIST 376 595
HIST 377 684
HIST 378 594
HIST 379 606
HIST 380 608
HIST 381 663
HIST 382 630
HIST 383 639
HIST 384 613
HIST 385 601
HIST 386 605
HIST 387 644
HIST 388 582
HIST 389 628
HIST 390 597
HIST 391 638
HIST 392 594
HIST 393 655
HIST 394 631
HIST 395 592
HIST 396 642
HIST 397 602
HIST 398 602
HIST 399 590
HIST 400 601
HIST 401 604
HIST 402 634
HIST 403 601
HIST 404 592
HIST 405 594
HIST 406 596
HIST 407 628
HIST 408 610
HIST 409 600
HIST 410 614
HIST 411 593
HIST 412 572
HIST 413 595
