P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=1
RESULT decays=40000000
RESULT any=11946275 eps_total=2.986569e-01
RESULT window=59.541 counts=9238020 eps=2.309505e-01
HISTBEGIN bins=61 bin_kev=1.000000 decays=40000000
HIST 0 295
HIST 1 1357
HIST 2 1905
HIST 3 2019
HIST 4 2184
HIST 5 3801
HIST 6 5267
HIST 7 5533
HIST 8 5764
HIST 9 6190
HIST 10 6365
HIST 11 5886
HIST 12 4189
HIST 13 3982
HIST 14 4281
HIST 15 4650
HIST 16 5078
HIST 17 6303
HIST 18 8629
HIST 19 10604
HIST 20 12151
HIST 21 13974
HIST 22 14593
HIST 23 15038
HIST 24 35554
HIST 25 90342
HIST 26 18344
HIST 27 174552
HIST 28 16732
HIST 29 716744
HIST 30 10589
HIST 31 603681
HIST 32 3081
HIST 33 2883
HIST 34 3180
HIST 35 2770
HIST 36 3309
HIST 37 3759
HIST 38 3570
HIST 39 3433
HIST 40 3640
HIST 41 4218
HIST 42 5091
HIST 43 5949
HIST 44 6547
HIST 45 7527
HIST 46 8888
HIST 47 11264
HIST 48 17325
HIST 49 35497
HIST 50 49530
HIST 51 55545
HIST 52 58007
HIST 53 60144
HIST 54 64036
HIST 55 76974
HIST 56 93440
HIST 57 116151
HIST 58 120571
HIST 59 115136
HIST 60 9188234
HISTEND
