P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=1 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_3
RESULT decays=40000000
RESULT any=2230596 eps_total=5.576490e-02
RESULT window=661.657 counts=493975 eps=1.234937e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=40000000
HIST 0 1083
HIST 1 3447
HIST 2 3646
HIST 3 3784
HIST 4 3714
HIST 5 4018
HIST 6 4221
HIST 7 4348
HIST 8 4359
HIST 9 4282
HIST 10 4201
HIST 11 4274
HIST 12 4503
HIST 13 4362
HIST 14 4225
HIST 15 4258
HIST 16 4344
HIST 17 4291
HIST 18 4258
HIST 19 4198
HIST 20 4208
HIST 21 4265
HIST 22 4297
HIST 23 4202
HIST 24 4174
HIST 25 3909
HIST 26 4309
HIST 27 4126
HIST 28 4184
HIST 29 4084
HIST 30 4277
HIST 31 4119
HIST 32 4118
HIST 33 4125
HIST 34 4115
HIST 35 4159
HIST 36 4296
HIST 37 4146
HIST 38 4028
HIST 39 4003
HIST 40 4220
HIST 41 4088
HIST 42 4180
HIST 43 4079
HIST 44 4029
HIST 45 4007
HIST 46 4069
HIST 47 3989
HIST 48 3992
HIST 49 3987
HIST 50 3963
HIST 51 4036
HIST 52 4019
HIST 53 3988
HIST 54 3967
HIST 55 4017
HIST 56 4039
HIST 57 3950
HIST 58 3983
HIST 59 3919
HIST 60 3875
HIST 61 3984
HIST 62 3924
HIST 63 3811
HIST 64 3894
HIST 65 3866
HIST 66 3788
HIST 67 3931
HIST 68 3864
HIST 69 3808
HIST 70 3805
HIST 71 3732
HIST 72 3842
HIST 73 3926
HIST 74 3824
HIST 75 3801
HIST 76 3874
HIST 77 3889
HIST 78 3840
HIST 79 3828
HIST 80 3793
HIST 81 3744
HIST 82 3695
HIST 83 3622
HIST 84 3818
HIST 85 3722
HIST 86 3740
HIST 87 3716
HIST 88 3774
HIST 89 3700
HIST 90 3649
HIST 91 3773
HIST 92 3682
HIST 93 3706
HIST 94 3728
HIST 95 3748
HIST 96 3618
HIST 97 3623
HIST 98 3533
HIST 99 3623
HIST 100 3461
HIST 101 3531
HIST 102 3575
HIST 103 3604
HIST 104 3686
HIST 105 3588
HIST 106 3580
HIST 107 3625
HIST 108 3522
HIST 109 3573
HIST 110 3623
HIST 111 3543
HIST 112 3559
HIST 113 3536
HIST 114 3575
HIST 115 3475
HIST 116 3653
HIST 117 3656
HIST 118 3675
HIST 119 3583
HIST 120 3583
HIST 121 3588
HIST 122 3576
HIST 123 3628
HIST 124 3465
HIST 125 3564
HIST 126 3538
HIST 127 3628
HIST 128 3556
HIST 129 3508
HIST 130 3482
HIST 131 3474
HIST 132 3520
HIST 133 3574
HIST 134 3416
HIST 135 3387
HIST 136 3521
HIST 137 3443
HIST 138 3488
HIST 139 3456
HIST 140 3455
HIST 141 3615
HIST 142 3430
HIST 143 3463
HIST 144 3450
HIST 145 3484
HIST 146 3323
HIST 147 3369
HIST 148 3486
HIST 149 3392
HIST 150 3392
HIST 151 3455
HIST 152 3419
HIST 153 3404
HIST 154 3426
HIST 155 3407
HIST 156 3413
HIST 157 3342
HIST 158 3438
HIST 159 3452
HIST 160 3387
HIST 161 3346
HIST 162 3363
HIST 163 3420
HIST 164 3458
HIST 165 3319
HIST 166 3549
HIST 167 3359
HIST 168 3348
HIST 169 3424
HIST 170 3336
HIST 171 3268
HIST 172 3469
HIST 173 3292
HIST 174 3362
HIST 175 3416
HIST 176 3406
HIST 177 3461
HIST 178 3369
HIST 179 3355
HIST 180 3374
HIST 181 3401
HIST 182 3562
HIST 183 3667
HIST 184 3760
HIST 185 3982
HIST 186 4110
HIST 187 4165
HIST 188 4196
HIST 189 4331
HIST 190 4438
HIST 191 4352
HIST 192 4333
HIST 193 4438
HIST 194 4360
HIST 195 4283
HIST 196 4329
HIST 197 4174
HIST 198 4230
HIST 199 4333
HIST 200 4111
HIST 201 4361
HIST 202 4266
HIST 203 4209
HIST 204 4253
HIST 205 4311
HIST 206 4156
HIST 207 4164
HIST 208 4199
HIST 209 4076
HIST 210 4101
HIST 211 4184
HIST 212 4132
HIST 213 4070
HIST 214 4029
HIST 215 4103
HIST 216 3947
HIST 217 3980
HIST 218 3998
HIST 219 3840
HIST 220 3989
HIST 221 3894
HIST 222 3982
