P55 flags: vacuum=1 nofluct=1 nodelta=0 lowcut=1 killesc=1
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_0
 Energy thresholds :  gamma  29.856 keV    e-  33.7049 keV    e+  592.153 keV proton 100 keV
RESULT decays=200000
RESULT any=55790 eps_total=2.789500e-01
RESULT window=661.657 counts=31097 eps=1.554850e-01
HISTBEGIN bins=663 bin_kev=1.000000 decays=200000
HIST 0 10
HIST 1 42
HIST 2 40
HIST 3 47
HIST 4 41
HIST 5 42
HIST 6 52
HIST 7 48
HIST 8 44
HIST 9 59
HIST 10 63
HIST 11 53
HIST 12 51
HIST 13 60
HIST 14 47
HIST 15 52
HIST 16 61
HIST 17 49
HIST 18 43
HIST 19 50
HIST 20 56
HIST 21 64
HIST 22 56
HIST 23 35
HIST 24 61
HIST 25 55
HIST 26 59
HIST 27 57
HIST 28 47
HIST 29 63
HIST 30 44
HIST 31 61
HIST 32 53
HIST 33 66
HIST 34 60
HIST 35 58
HIST 36 42
HIST 37 60
HIST 38 49
HIST 39 52
HIST 40 55
HIST 41 43
HIST 42 39
HIST 43 53
HIST 44 45
HIST 45 49
HIST 46 57
HIST 47 68
HIST 48 45
HIST 49 63
HIST 50 56
HIST 51 45
HIST 52 44
HIST 53 56
HIST 54 60
HIST 55 57
HIST 56 52
HIST 57 41
HIST 58 39
HIST 59 45
HIST 60 66
HIST 61 47
HIST 62 59
HIST 63 52
HIST 64 59
HIST 65 53
HIST 66 45
HIST 67 62
HIST 68 63
HIST 69 51
HIST 70 46
HIST 71 56
HIST 72 43
HIST 73 60
HIST 74 44
HIST 75 56
HIST 76 48
HIST 77 65
HIST 78 59
HIST 79 60
HIST 80 67
HIST 81 44
HIST 82 48
HIST 83 46
HIST 84 65
HIST 85 46
HIST 86 57
HIST 87 61
HIST 88 49
HIST 89 59
HIST 90 63
HIST 91 57
HIST 92 51
HIST 93 52
HIST 94 52
HIST 95 68
HIST 96 44
HIST 97 47
HIST 98 53
HIST 99 48
HIST 100 46
HIST 101 65
HIST 102 57
HIST 103 49
HIST 104 51
HIST 105 62
HIST 106 58
HIST 107 58
HIST 108 52
HIST 109 55
HIST 110 62
HIST 111 40
HIST 112 56
HIST 113 64
HIST 114 50
HIST 115 60
HIST 116 57
