RESULT decays=4000000
RESULT any=156661 eps_total=3.916525e-02
RESULT window=1460.820 counts=12183 eps=3.045750e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=4000000
HIST 0 58
HIST 1 134
HIST 2 159
HIST 3 150
HIST 4 140
HIST 5 181
HIST 6 177
HIST 7 173
HIST 8 198
HIST 9 154
HIST 10 199
HIST 11 156
HIST 12 175
HIST 13 176
HIST 14 156
HIST 15 181
HIST 16 213
HIST 17 202
HIST 18 177
HIST 19 177
HIST 20 168
HIST 21 171
HIST 22 198
HIST 23 186
HIST 24 190
HIST 25 174
HIST 26 174
HIST 27 175
HIST 28 167
HIST 29 196
HIST 30 154
HIST 31 181
HIST 32 189
HIST 33 186
HIST 34 187
HIST 35 167
HIST 36 165
HIST 37 180
HIST 38 191
HIST 39 171
HIST 40 164
HIST 41 173
HIST 42 155
HIST 43 153
HIST 44 176
HIST 45 177
HIST 46 158
HIST 47 175
HIST 48 171
HIST 49 171
HIST 50 165
HIST 51 154
HIST 52 155
HIST 53 153
HIST 54 147
HIST 55 149
HIST 56 150
HIST 57 142
HIST 58 148
HIST 59 158
HIST 60 157
HIST 61 135
HIST 62 144
HIST 63 160
HIST 64 158
HIST 65 153
HIST 66 176
HIST 67 175
HIST 68 130
HIST 69 161
HIST 70 179
HIST 71 168
HIST 72 153
HIST 73 147
HIST 74 142
HIST 75 169
HIST 76 144
HIST 77 156
HIST 78 136
HIST 79 135
HIST 80 171
HIST 81 166
HIST 82 147
HIST 83 159
HIST 84 136
HIST 85 148
HIST 86 168
HIST 87 164
HIST 88 143
HIST 89 125
HIST 90 133
HIST 91 139
HIST 92 164
HIST 93 148
HIST 94 152
HIST 95 142
HIST 96 147
HIST 97 161
HIST 98 141
HIST 99 143
HIST 100 133
HIST 101 151
HIST 102 134
HIST 103 135
HIST 104 126
HIST 105 141
HIST 106 133
HIST 107 129
HIST 108 141
HIST 109 144
HIST 110 144
HIST 111 152
HIST 112 140
HIST 113 124
HIST 114 135
HIST 115 124
HIST 116 154
HIST 117 141
HIST 118 141
HIST 119 134
HIST 120 147
HIST 121 148
HIST 122 121
HIST 123 128
HIST 124 130
HIST 125 121
HIST 126 119
HIST 127 145
HIST 128 131
HIST 129 130
HIST 130 126
HIST 131 136
HIST 132 134
HIST 133 139
HIST 134 139
HIST 135 127
HIST 136 148
HIST 137 124
HIST 138 127
HIST 139 111
HIST 140 147
HIST 141 136
HIST 142 132
HIST 143 119
HIST 144 134
HIST 145 138
HIST 146 137
HIST 147 121
HIST 148 122
HIST 149 114
HIST 150 144
HIST 151 142
HIST 152 136
HIST 153 136
HIST 154 118
HIST 155 137
HIST 156 123
HIST 157 127
HIST 158 117
HIST 159 139
HIST 160 125
HIST 161 125
HIST 162 115
HIST 163 131
HIST 164 157
HIST 165 139
HIST 166 135
HIST 167 143
HIST 168 124
HIST 169 132
HIST 170 113
HIST 171 127
HIST 172 142
HIST 173 129
HIST 174 144
HIST 175 135
HIST 176 114
HIST 177 128
HIST 178 147
HIST 179 147
HIST 180 143
HIST 181 116
HIST 182 133
HIST 183 142
HIST 184 122
HIST 185 135
HIST 186 122
HIST 187 120
HIST 188 148
HIST 189 118
HIST 190 120
HIST 191 135
HIST 192 127
HIST 193 139
HIST 194 137
HIST 195 132
HIST 196 121
HIST 197 123
HIST 198 108
HIST 199 125
HIST 200 140
HIST 201 133
HIST 202 112
HIST 203 120
HIST 204 111
HIST 205 126
HIST 206 108
HIST 207 124
HIST 208 122
HIST 209 137
HIST 210 118
HIST 211 131
HIST 212 137
HIST 213 126
HIST 214 129
HIST 215 119
HIST 216 109
HIST 217 110
HIST 218 146
HIST 219 140
HIST 220 145
HIST 221 158
HIST 222 159
HIST 223 133
HIST 224 170
HIST 225 150
HIST 226 158
HIST 227 149
HIST 228 146
HIST 229 155
HIST 230 134
HIST 231 170
HIST 232 140
HIST 233 164
HIST 234 148
HIST 235 143
HIST 236 168
HIST 237 137
HIST 238 147
HIST 239 163
HIST 240 140
HIST 241 152
HIST 242 132
HIST 243 156
HIST 244 123
HIST 245 153
HIST 246 141
HIST 247 141
HIST 248 122
HIST 249 145
HIST 250 146
HIST 251 149
HIST 252 143
HIST 253 140
HIST 254 141
HIST 255 132
HIST 256 156
HIST 257 157
HIST 258 152
HIST 259 147
HIST 260 146
HIST 261 147
HIST 262 159
HIST 263 149
HIST 264 145
HIST 265 137
HIST 266 133
HIST 267 138
HIST 268 125
HIST 269 125
HIST 270 127
HIST 271 137
HIST 272 127
HIST 273 122
HIST 274 141
HIST 275 137
HIST 276 136
HIST 277 138
HIST 278 153
HIST 279 140
HIST 280 129
HIST 281 121
HIST 282 131
HIST 283 137
HIST 284 143
HIST 285 120
HIST 286 133
HIST 287 128
HIST 288 143
HIST 289 139
HIST 290 124
HIST 291 136
HIST 292 135
HIST 293 116
HIST 294 127
HIST 295 123
HIST 296 134
HIST 297 104
HIST 298 142
HIST 299 119
HIST 300 138
HIST 301 121
HIST 302 109
HIST 303 127
HIST 304 123
HIST 305 130
HIST 306 119
HIST 307 130
HIST 308 135
HIST 309 106
HIST 310 132
HIST 311 122
HIST 312 113
HIST 313 137
HIST 314 122
HIST 315 103
HIST 316 133
HIST 317 139
HIST 318 120
HIST 319 111
HIST 320 119
HIST 321 121
HIST 322 110
HIST 323 110
HIST 324 104
HIST 325 125
HIST 326 103
HIST 327 114
HIST 328 113
HIST 329 127
HIST 330 105
HIST 331 132
HIST 332 125
HIST 333 104
HIST 334 108
HIST 335 118
HIST 336 126
HIST 337 108
HIST 338 121
HIST 339 117
HIST 340 106
HIST 341 112
HIST 342 121
HIST 343 122
