keV,response
0.000,3.37500000E-006
1.000,3.05250000E-005
2.000,4.65500000E-005
3.000,4.84000000E-005
4.000,5.33000000E-005
5.000,8.34750000E-005
6.000,1.24625000E-004
7.000,1.33075000E-004
8.000,1.43525000E-004
9.000,1.46275000E-004
10.000,1.50675000E-004
11.000,1.41400000E-004
12.000,1.17800000E-004
13.000,1.10450000E-004
14.000,1.13875000E-004
15.000,1.19625000E-004
16.000,1.31700000E-004
17.000,1.56550000E-004
18.000,2.17850000E-004
19.000,2.66200000E-004
20.000,3.06050000E-004
21.000,3.50975000E-004
22.000,3.71475000E-004
23.000,3.78075000E-004
24.000,2.87850000E-003
25.000,3.71400000E-004
26.000,3.98900000E-004
27.000,4.60020000E-003
28.000,4.12325000E-004
29.000,1.77004250E-002
30.000,2.59325000E-004
31.000,1.49381250E-002
32.000,7.23750000E-005
33.000,6.75000000E-005
34.000,7.44500000E-005
35.000,7.02500000E-005
36.000,7.67000000E-005
37.000,9.42250000E-005
38.000,8.84250000E-005
39.000,8.86250000E-005
40.000,9.15500000E-005
41.000,1.06450000E-004
42.000,1.31225000E-004
43.000,1.51550000E-004
44.000,1.67475000E-004
45.000,1.87275000E-004
46.000,2.27800000E-004
47.000,2.91050000E-004
48.000,4.67750000E-004
49.000,8.74000000E-004
50.000,1.21522500E-003
51.000,1.37510000E-003
52.000,1.43922500E-003
53.000,1.50545000E-003
54.000,1.61077500E-003
55.000,1.90180000E-003
56.000,2.32025000E-003
57.000,2.86735000E-003
58.000,2.93710000E-003
59.000,2.88900000E-003
60.000,2.29319430E-001
