geometry,spectrum,preset,vessel
ASN16_rn_front,radon1_front,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.15 г/см³ (целлюлоза), ВПРИТЫК к торцу 15×18"
ASN16_rn_front,radon2_front,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.15 г/см³ (целлюлоза), ВПРИТЫК к торцу 15×18"
ASN16_rn_front_r010,radon1_front_r010,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.10 г/см³ (целлюлоза), ВПРИТЫК к торцу 15×18"
ASN16_rn_front_r010,radon2_front_r010,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.10 г/см³ (целлюлоза), ВПРИТЫК к торцу 15×18"
ASN16_rn_front_r025,radon1_front_r025,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.25 г/см³ (целлюлоза), ВПРИТЫК к торцу 15×18"
ASN16_rn_front_r025,radon2_front_r025,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.25 г/см³ (целлюлоза), ВПРИТЫК к торцу 15×18"
ASN16_rn_side,radon1_side,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.15 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
ASN16_rn_side,radon2_side,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.15 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
ASN16_rn_side_r010,radon1_side_r010,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.10 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
ASN16_rn_side_r010,radon2_side_r010,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.10 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
ASN16_rn_side_r025,radon1_side_r025,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.25 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
ASN16_rn_side_r025,radon2_side_r025,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.25 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
